evaluation_run,checkpoint,dataset,protocol,evaluation_unit,total_count,correct_count,harmonic_1p5x_count,harmonic_2x_count,harmonic_0p5x_count,harmonic_0p333x_count,other_large_error_count
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C010,BH-rPPG,Official,recording,105,96,4,0,0,0,5
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C010,BH-rPPG,Old,window,5323,3946,259,254,35,0,829
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C010,BH-rPPG,PRISM,window,523,424,24,13,0,0,62
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C010,COHFACE,Official,recording,160,113,5,0,1,0,41
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C010,COHFACE,Old,window,8242,3769,564,264,410,0,3235
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C010,COHFACE,PRISM,window,810,434,49,12,22,0,293
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C010,PURE,Official,recording,12,12,0,0,0,0,0
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C010,PURE,Old,window,735,731,0,1,0,0,3
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C010,PURE,PRISM,window,77,76,0,0,0,0,1
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C010,TokyoTech,Official,recording,9,9,0,0,0,0,0
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C010,TokyoTech,Old,window,1521,1262,6,46,4,0,203
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C010,TokyoTech,PRISM,window,153,133,1,1,0,0,18
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C010,UBFC-PHYS,Official,recording,60,39,8,0,0,0,13
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C010,UBFC-PHYS,Old,window,10140,3874,1206,1407,299,27,3327
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C010,UBFC-PHYS,PRISM,window,1020,436,137,113,19,0,315
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C010,UBFC-rPPG,Official,recording,42,40,0,0,0,0,2
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C010,UBFC-rPPG,Old,window,2280,2169,8,0,3,3,97
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C010,UBFC-rPPG,PRISM,window,239,226,2,0,0,0,11
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C025,BH-rPPG,Official,recording,105,94,3,0,0,0,8
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C025,BH-rPPG,Old,window,5323,3810,228,184,47,0,1054
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C025,BH-rPPG,PRISM,window,523,409,25,8,0,0,81
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C025,COHFACE,Official,recording,160,113,5,0,1,0,41
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C025,COHFACE,Old,window,8242,3466,507,233,623,0,3413
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C025,COHFACE,PRISM,window,810,410,50,23,29,0,298
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C025,PURE,Official,recording,12,12,0,0,0,0,0
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C025,PURE,Old,window,735,724,2,2,0,0,7
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C025,PURE,PRISM,window,77,76,0,0,0,0,1
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C025,TokyoTech,Official,recording,9,9,0,0,0,0,0
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C025,TokyoTech,Old,window,1521,1331,1,3,15,0,171
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C025,TokyoTech,PRISM,window,153,138,0,0,1,0,14
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C025,UBFC-PHYS,Official,recording,60,36,7,1,0,0,16
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C025,UBFC-PHYS,Old,window,10140,3776,1139,1270,408,38,3509
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C025,UBFC-PHYS,PRISM,window,1020,437,123,101,27,0,332
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C025,UBFC-rPPG,Official,recording,42,40,0,0,0,0,2
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C025,UBFC-rPPG,Old,window,2280,2127,5,0,15,2,131
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C025,UBFC-rPPG,PRISM,window,239,223,1,0,1,0,14
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C050,BH-rPPG,Official,recording,105,80,14,0,0,0,11
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C050,BH-rPPG,Old,window,5323,3807,198,163,81,0,1074
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C050,BH-rPPG,PRISM,window,523,421,17,11,1,0,73
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C050,COHFACE,Official,recording,160,109,19,4,0,0,28
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C050,COHFACE,Old,window,8242,3875,947,345,252,0,2823
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C050,COHFACE,PRISM,window,810,407,108,26,7,0,262
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C050,PURE,Official,recording,12,12,0,0,0,0,0
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C050,PURE,Old,window,735,706,1,22,0,0,6
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C050,PURE,PRISM,window,77,73,0,3,0,0,1
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C050,TokyoTech,Official,recording,9,8,0,0,0,0,1
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C050,TokyoTech,Old,window,1521,1260,12,17,17,0,215
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C050,TokyoTech,PRISM,window,153,134,1,1,0,0,17
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C050,UBFC-PHYS,Official,recording,60,37,8,0,0,0,15
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C050,UBFC-PHYS,Old,window,10140,3687,1312,1640,264,19,3218
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C050,UBFC-PHYS,PRISM,window,1020,406,159,121,16,0,318
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C050,UBFC-rPPG,Official,recording,42,39,0,0,0,0,3
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C050,UBFC-rPPG,Old,window,2280,2075,12,9,20,2,162
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L3_C050,UBFC-rPPG,PRISM,window,239,222,0,0,2,0,15
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H100,BH-rPPG,Official,recording,105,92,4,0,0,0,9
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H100,BH-rPPG,Old,window,5323,3357,106,64,184,1,1611
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H100,BH-rPPG,PRISM,window,523,393,13,5,3,0,109
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H100,COHFACE,Official,recording,160,101,12,1,1,0,45
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H100,COHFACE,Old,window,8242,3012,536,338,688,0,3668
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H100,COHFACE,PRISM,window,810,376,58,26,35,0,315
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H100,PURE,Official,recording,12,12,0,0,0,0,0
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H100,PURE,Old,window,735,674,6,20,0,0,35
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H100,PURE,PRISM,window,77,67,2,5,0,0,3
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H100,TokyoTech,Official,recording,9,8,0,0,0,0,1
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H100,TokyoTech,Old,window,1521,1294,2,5,5,0,215
evaluation_protocols_a4_loss_weight_tuning,PURE_A4_L4_C025_H100,TokyoTech,PRISM,window,153,139,0,0,0,0,14
