run_name,description,checkpoint,dataset,split_begin,split_end,file_list,protocol,protocol_display_name,aggregation,window_seconds,stride_seconds,nfft,fft_bin_spacing_bpm,bandpass_low_hz,bandpass_high_hz,bandpass_order,number_of_recordings,number_of_measurements,primary_recording_macro_mae_bpm,recording_macro_mae_standard_error_bpm,recording_macro_rmse_bpm,pooled_measurement_mae_bpm,pooled_measurement_rmse_bpm,pooled_measurement_mape_percent,pooled_measurement_pearson,absolute_error_sd_bpm,accuracy_within_5_bpm_percent,pooled_mae_standard_error_bpm,reported_rmse_plus_minus_official_formula,pooled_mape_standard_error_percent,pooled_pearson_standard_error,mean_waveform_pearson,mean_snr_db,snr_standard_error_db,number_of_expected_recordings,number_of_failed_recordings,completion_status
PURE_CHECKPOINT/Eval_On_PURE,Locally trained PURE checkpoint evaluated on PURE (native held-out split),/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/PURE/PURE_RhythmMamba_Epoch29.pth,PURE,0.6,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/PURE/DataFileLists/PURE_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.6_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,24,24,0.4050405040504034,0.05736970649856848,0.4050405040504034,0.4050405040504034,0.49299960171481905,0.535186754730285,0.9998903624411589,0.2810530152294498,100.0,0.05736970649856848,0.047586244277099114,0.09856008278846483,0.0031569771019399812,0.6355517218976419,12.29945097251211,1.1507668849757187,24,0,PASSED
PURE_CHECKPOINT/Eval_On_PURE,Locally trained PURE checkpoint evaluated on PURE (native held-out split),/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/PURE/PURE_RhythmMamba_Epoch29.pth,PURE,0.6,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/PURE/DataFileLists/PURE_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.6_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,24,1464,1.2202707837764726,0.2530406333151458,2.4059587436576018,1.217896174863388,4.1090829684407755,1.8820102176417668,0.992276941178893,3.924447954653391,98.15573770491804,0.10256709036101748,5.128700120474905,0.1947794495365473,0.00324411199823404,0.6036714893071585,nan,nan,24,0,PASSED
PURE_CHECKPOINT/Eval_On_PURE,Locally trained PURE checkpoint evaluated on PURE (native held-out split),/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/PURE/PURE_RhythmMamba_Epoch29.pth,PURE,0.6,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/PURE/DataFileLists/PURE_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.6_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,24,153,0.9098052978515625,0.12506359276842635,1.3133573671090526,0.9011661305147058,1.731701061716583,1.1781244267821984,0.9986769374596537,1.478745472474385,97.38562091503267,0.11954948581207417,1.122402922916629,0.11499432103524887,0.0041847836835601825,0.5912795272858511,nan,nan,24,0,PASSED
PURE_CHECKPOINT/Eval_On_UBFC,Locally trained PURE checkpoint evaluated on UBFC (complete external dataset),/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/PURE/PURE_RhythmMamba_Epoch29.pth,UBFC,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC/DataFileLists/UBFC_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,42,42,1.208692297801208,0.25640204897481716,1.208692297801208,1.208692297801208,2.0547752969461928,1.2994552438150753,0.993072759305332,1.661675193946263,95.23809523809523,0.25640204897481716,1.809165669340299,0.3014225385117189,0.018578545910333012,0.7623245343139218,5.242280652876147,1.1214820654951425,42,0,PASSED
PURE_CHECKPOINT/Eval_On_UBFC,Locally trained PURE checkpoint evaluated on UBFC (complete external dataset),/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/PURE/PURE_RhythmMamba_Epoch29.pth,UBFC,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC/DataFileLists/UBFC_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,42,2280,1.6358744267925398,0.18363777376816148,3.300335572629643,1.5732456140350877,4.298867659965207,1.666640034694265,0.9698303682106489,4.000645122453889,95.52631578947368,0.08378429226139601,3.813162866700608,0.09532667955087525,0.005107666812800828,0.6642507311363343,nan,nan,42,0,PASSED
PURE_CHECKPOINT/Eval_On_UBFC,Locally trained PURE checkpoint evaluated on UBFC (complete external dataset),/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/PURE/PURE_RhythmMamba_Epoch29.pth,UBFC,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC/DataFileLists/UBFC_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,42,239,1.26068115234375,0.20460913213590942,1.8919879736528535,1.2333187598064854,2.932267270234688,1.3258502477699499,0.9854176699935601,2.660284981124951,94.97907949790795,0.17207953037249227,2.9303646812572315,0.2014443191957679,0.01105261976399821,0.6630740369076615,nan,nan,42,0,PASSED
PURE_CHECKPOINT/Eval_On_TOKYOTECH,Locally trained PURE checkpoint evaluated on TOKYOTECH (complete external dataset),/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/PURE/PURE_RhythmMamba_Epoch29.pth,TOKYOTECH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/TOKYOTECH/DataFileLists/TOKYOTECH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,9,9,0.9600960096009585,0.4472583213320896,0.9600960096009585,0.9600960096009585,1.6498922394080384,1.346350484811322,0.9904620695407965,1.3417749639962688,100.0,0.4472583213320896,1.9368125857029197,0.6785195859337337,0.05207808532930195,-0.4884773813980823,5.57703013164668,2.0184487492364744,9,0,PASSED
PURE_CHECKPOINT/Eval_On_TOKYOTECH,Locally trained PURE checkpoint evaluated on TOKYOTECH (complete external dataset),/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/PURE/PURE_RhythmMamba_Epoch29.pth,TOKYOTECH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/TOKYOTECH/DataFileLists/TOKYOTECH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,9,1521,5.897435897435897,2.499265553096152,12.01868439462398,5.897435897435898,16.767113486660612,8.020402514378523,0.5160715883184666,15.695742878570313,85.60157790927022,0.402454945604367,31.157821613212153,0.5772999266393113,0.021977157866604376,-0.46334047754836577,nan,nan,9,0,PASSED
PURE_CHECKPOINT/Eval_On_TOKYOTECH,Locally trained PURE checkpoint evaluated on TOKYOTECH (complete external dataset),/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/PURE/PURE_RhythmMamba_Epoch29.pth,TOKYOTECH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/TOKYOTECH/DataFileLists/TOKYOTECH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,9,153,3.5544002757352944,1.349992620229686,6.559368349936714,3.554400275735294,10.132079037048587,4.725134845693776,0.7345833158885108,9.488164432220401,88.88888888888889,0.7670726303386928,39.66952943913596,1.0997997385404705,0.055217052266921585,-0.4851806747431468,nan,nan,9,0,PASSED
PURE_CHECKPOINT/Eval_On_BH,Locally trained PURE checkpoint evaluated on BH (complete external dataset),/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/PURE/PURE_RhythmMamba_Epoch29.pth,BH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/BH/DataFileLists/BH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,105,105,6.372637263726372,1.4790283177513361,6.372637263726372,6.372637263726372,16.440821329532792,9.263783121877324,0.475493516709008,15.155530353457989,87.61904761904762,1.4790283177513361,95.85485037558927,2.2390115648180258,0.08668131093670554,-0.009381562227985992,3.428128831947836,0.8287892839436382,105,0,PASSED
