run_name,description,checkpoint,dataset,split_begin,split_end,file_list,protocol,protocol_display_name,aggregation,window_seconds,stride_seconds,nfft,fft_bin_spacing_bpm,bandpass_low_hz,bandpass_high_hz,bandpass_order,number_of_recordings,number_of_measurements,primary_recording_macro_mae_bpm,recording_macro_mae_standard_error_bpm,recording_macro_rmse_bpm,pooled_measurement_mae_bpm,pooled_measurement_rmse_bpm,pooled_measurement_mape_percent,pooled_measurement_pearson,absolute_error_sd_bpm,accuracy_within_5_bpm_percent,pooled_mae_standard_error_bpm,reported_rmse_plus_minus_official_formula,pooled_mape_standard_error_percent,pooled_pearson_standard_error,mean_waveform_pearson,mean_snr_db,snr_standard_error_db,number_of_expected_recordings,number_of_failed_recordings,completion_status
UBFC_A1/Eval_On_PURE,Stage-1 A1 local UBFC checkpoint evaluated on PURE: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/augmentation_stage1/UBFC_A1/UBFC_A1_RhythmMamba_Best.pth,PURE,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/PURE/DataFileLists/PURE_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,59,59,2.2792109719446505,1.0724062148815101,2.2792109719446505,2.2792109719446505,8.546815368773663,4.478438953285663,0.9336524903498851,8.23730843742498,93.22033898305084,1.0724062148815101,47.90357793082989,2.3389222781445818,0.04744212120332721,0.7024295060826047,9.108535582381691,0.921639200700897,59,0,PASSED
UBFC_A1/Eval_On_PURE,Stage-1 A1 local UBFC checkpoint evaluated on PURE: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/augmentation_stage1/UBFC_A1/UBFC_A1_RhythmMamba_Best.pth,PURE,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/PURE/DataFileLists/PURE_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,59,3576,4.995624410811173,0.9848037802138588,10.234280578168871,5.1532438478747205,15.922280479251558,8.203656968687547,0.7712075647771723,15.065294338455411,89.59731543624162,0.251929407960169,18.071730819835352,0.4077343277497222,0.010648251142174065,0.648260082395402,nan,nan,59,0,PASSED
UBFC_A1/Eval_On_PURE,Stage-1 A1 local UBFC checkpoint evaluated on PURE: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/augmentation_stage1/UBFC_A1/UBFC_A1_RhythmMamba_Best.pth,PURE,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/PURE/DataFileLists/PURE_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,59,374,5.707747711107749,1.279888876655647,8.779708370214813,5.845372817095588,16.235140278033338,10.054601158726165,0.7483849363952962,15.146332773202246,86.63101604278076,0.7831982225591002,46.480242757828336,1.3686727173395725,0.03438866979329345,0.6452396813682455,nan,nan,59,0,PASSED
UBFC_A1/Eval_On_UBFC,Stage-1 A1 local UBFC checkpoint evaluated on UBFC: held-out 0.8-1.0 clean source validation split,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/augmentation_stage1/UBFC_A1/UBFC_A1_RhythmMamba_Best.pth,UBFC,0.8,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC/DataFileLists/UBFC_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.8_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,9,9,0.5400540054005426,0.24002400240024122,0.5400540054005426,0.5400540054005426,0.9000900090009045,0.5669505052542597,0.9975074889830656,0.7200720072007236,100.0,0.24002400240024122,0.4801800238542601,0.2373498393255581,0.026669429858117214,0.9008265043673265,9.038440435701942,1.885574178380759,9,0,PASSED
UBFC_A1/Eval_On_UBFC,Stage-1 A1 local UBFC checkpoint evaluated on UBFC: held-out 0.8-1.0 clean source validation split,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/augmentation_stage1/UBFC_A1/UBFC_A1_RhythmMamba_Best.pth,UBFC,0.8,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC/DataFileLists/UBFC_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.8_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,9,497,0.6030523463129367,0.056803244906261784,1.1775032751896368,0.6036217303822936,1.3590741315210948,0.614367447936301,0.9935627025176812,1.2176712617041199,98.99396378269618,0.054620020901312044,0.7719186242912865,0.05248999519860163,0.005091715625566681,0.7885853506657992,nan,nan,9,0,PASSED
UBFC_A1/Eval_On_UBFC,Stage-1 A1 local UBFC checkpoint evaluated on UBFC: held-out 0.8-1.0 clean source validation split,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/augmentation_stage1/UBFC_A1/UBFC_A1_RhythmMamba_Best.pth,UBFC,0.8,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC/DataFileLists/UBFC_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.8_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,9,52,0.4750569661458333,0.06046357191483533,0.6140939791853937,0.48593374399038464,0.6860959715037303,0.5100633404444493,0.9986497184422123,0.4843511934176841,100.0,0.06716742550767832,0.13802583164040594,0.07440246244638182,0.007346754188470065,0.7726802187804126,nan,nan,9,0,PASSED
UBFC_A1/Eval_On_TOKYOTECH,Stage-1 A1 local UBFC checkpoint evaluated on TOKYOTECH: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/augmentation_stage1/UBFC_A1/UBFC_A1_RhythmMamba_Best.pth,TOKYOTECH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/TOKYOTECH/DataFileLists/TOKYOTECH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,9,9,0.540054005400541,0.2545838996171182,0.540054005400541,0.540054005400541,0.9354009761848112,0.7186932592612121,0.9971591180704962,0.7637516988513545,100.0,0.2545838996171182,0.5205251601231418,0.3334508801436496,0.02846976654244749,-0.1336804832974014,7.195129904322956,2.7103470121749726,9,0,PASSED
UBFC_A1/Eval_On_TOKYOTECH,Stage-1 A1 local UBFC checkpoint evaluated on TOKYOTECH: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/augmentation_stage1/UBFC_A1/UBFC_A1_RhythmMamba_Best.pth,TOKYOTECH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/TOKYOTECH/DataFileLists/TOKYOTECH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,9,1521,3.8671926364234057,2.352516069136252,6.19642382605068,3.8671926364234057,11.168131141273891,4.236230875385409,0.6309916416372484,10.47721214357542,88.69165023011178,0.26864646521988256,13.867551252423905,0.2813982327059899,0.019905132941909955,-0.11230407061798112,nan,nan,9,0,PASSED
UBFC_A1/Eval_On_TOKYOTECH,Stage-1 A1 local UBFC checkpoint evaluated on TOKYOTECH: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/augmentation_stage1/UBFC_A1/UBFC_A1_RhythmMamba_Best.pth,TOKYOTECH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/TOKYOTECH/DataFileLists/TOKYOTECH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,9,153,2.8133616727941178,1.7417440216823623,3.835635752121792,2.8133616727941178,8.103631214808381,3.071791872790184,0.7904876258922618,7.599594394681195,88.88888888888889,0.614390792178872,24.904336051410347,0.6220686820358712,0.04984275361728869,-0.10955675390806491,nan,nan,9,0,PASSED
UBFC_A1/Eval_On_BH,Stage-1 A1 local UBFC checkpoint evaluated on BH: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/augmentation_stage1/UBFC_A1/UBFC_A1_RhythmMamba_Best.pth,BH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/BH/DataFileLists/BH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,105,105,2.906004886202907,0.6726767372340873,2.906004886202907,2.906004886202907,7.48042335996462,3.9730065919871485,0.8155371541368936,6.892885407844034,92.38095238095238,0.6726767372340873,36.434179439814216,0.9426667575595366,0.05702147017054757,-0.009613978382953884,5.773938405816596,0.916756987357836,105,0,PASSED
UBFC_A1/Eval_On_BH,Stage-1 A1 local UBFC checkpoint evaluated on BH: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/augmentation_stage1/UBFC_A1/UBFC_A1_RhythmMamba_Best.pth,BH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/BH/DataFileLists/BH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,105,5323,7.76954515139389,0.9616540963229984,11.6991545111774,7.801052038324253,17.805939310586616,10.72424770558567,0.47081736470146945,16.00609452138937,78.15141837309788,0.21938510804027322,15.099544528737995,0.3085791625934815,0.012094433674073124,-0.008201477689364255,nan,nan,105,0,PASSED
UBFC_A1/Eval_On_BH,Stage-1 A1 local UBFC checkpoint evaluated on BH: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/augmentation_stage1/UBFC_A1/UBFC_A1_RhythmMamba_Best.pth,BH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/BH/DataFileLists/BH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,105,523,5.667532784598214,0.7516024426245839,7.570470825446022,5.681381079708413,12.363723802685897,7.750349127780834,0.6079425072362556,10.981055290646388,78.39388145315488,0.48016802209050125,24.32218669604345,0.6633430866650226,0.03478494136364688,-0.01766103408405456,nan,nan,105,0,PASSED
UBFC_A1/Eval_On_UBFC_PHYS,Stage-1 A1 local UBFC checkpoint evaluated on UBFC_PHYS: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/augmentation_stage1/UBFC_A1/UBFC_A1_RhythmMamba_Best.pth,UBFC_PHYS,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC_PHYS/DataFileLists/UBFC_PHYS_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,60,60,7.866786678667868,1.6428241376485606,7.866786678667868,7.866786678667868,14.960568220562694,10.755721758206112,0.367395025924831,12.725261051720873,66.66666666666666,1.6428241376485606,90.70228935402707,2.331411756570041,0.12212351682124048,-0.0223474172077744,-3.1015877954605497,1.5755616381928301,60,0,PASSED
