run_name,description,checkpoint,dataset,split_begin,split_end,file_list,protocol,protocol_display_name,aggregation,window_seconds,stride_seconds,nfft,fft_bin_spacing_bpm,bandpass_low_hz,bandpass_high_hz,bandpass_order,number_of_recordings,number_of_measurements,primary_recording_macro_mae_bpm,recording_macro_mae_standard_error_bpm,recording_macro_rmse_bpm,pooled_measurement_mae_bpm,pooled_measurement_rmse_bpm,pooled_measurement_mape_percent,pooled_measurement_pearson,absolute_error_sd_bpm,accuracy_within_5_bpm_percent,pooled_mae_standard_error_bpm,reported_rmse_plus_minus_official_formula,pooled_mape_standard_error_percent,pooled_pearson_standard_error,mean_waveform_pearson,mean_snr_db,snr_standard_error_db,number_of_expected_recordings,number_of_failed_recordings,completion_status
PURE_CROSS_MATCHED/Eval_On_PURE,Official-matched local PURE checkpoint evaluated on PURE: held-out 0.8-1.0 source validation split,/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/PURE_CROSS_MATCHED/PURE_CROSS_MATCHED_RhythmMamba_Best.pth,PURE,0.8,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/PURE/DataFileLists/PURE_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.8_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,12,12,0.22502250225022222,0.07685981672636867,0.22502250225022222,0.22502250225022222,0.34860336149481264,0.34283236566200936,0.999804961897076,0.2662502152610055,100.0,0.07685981672636867,0.041508451877426314,0.12415310922903361,0.00624530356336962,0.8500296863172019,14.823527392191856,1.8774244579531805,12,0,PASSED
PURE_CROSS_MATCHED/Eval_On_PURE,Official-matched local PURE checkpoint evaluated on PURE: held-out 0.8-1.0 source validation split,/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/PURE_CROSS_MATCHED/PURE_CROSS_MATCHED_RhythmMamba_Best.pth,PURE,0.8,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/PURE/DataFileLists/PURE_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.8_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,12,735,0.7612871875440611,0.09547414618218147,1.4879072622584044,0.7673469387755102,2.09502163384021,1.2547528998917075,0.9923500317459885,1.9494343594515713,98.91156462585035,0.07190596960648056,2.7708039040085977,0.14681609637907594,0.004559955974652803,0.7974519210359452,nan,nan,12,0,PASSED
PURE_CROSS_MATCHED/Eval_On_PURE,Official-matched local PURE checkpoint evaluated on PURE: held-out 0.8-1.0 source validation split,/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/PURE_CROSS_MATCHED/PURE_CROSS_MATCHED_RhythmMamba_Best.pth,PURE,0.8,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/PURE/DataFileLists/PURE_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.8_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,12,77,1.265444074358259,0.42516501441795584,2.5653352658714685,1.3597364549512987,5.293567433672735,2.511410876892695,0.9511996735915694,5.115952789844433,94.8051948051948,0.5830169290709645,24.682371342256047,1.272035937930028,0.03563129354173413,0.7927893931997233,nan,nan,12,0,PASSED
PURE_CROSS_MATCHED/Eval_On_UBFC,Official-matched local PURE checkpoint evaluated on UBFC: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/PURE_CROSS_MATCHED/PURE_CROSS_MATCHED_RhythmMamba_Best.pth,UBFC,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC/DataFileLists/UBFC_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,42,42,1.5044361579015042,0.33260145390201273,1.5044361579015042,1.5044361579015042,2.628597476409466,1.5690206991468476,0.9885787263367456,2.1555037786524,92.85714285714286,0.33260145390201273,2.9862435635415765,0.3545284456060852,0.023828607719723078,0.7553473459066214,5.581446229198103,1.1824092866789617,42,0,PASSED
PURE_CROSS_MATCHED/Eval_On_UBFC,Official-matched local PURE checkpoint evaluated on UBFC: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/PURE_CROSS_MATCHED/PURE_CROSS_MATCHED_RhythmMamba_Best.pth,UBFC,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC/DataFileLists/UBFC_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,42,2280,1.8703500056419657,0.32775515614551914,4.023707364760859,1.7372807017543859,6.036548043435234,1.785026176119275,0.9436173439128472,5.781156289533568,95.7017543859649,0.12107299531581257,7.47057954015215,0.1177941728905793,0.0069358754935235686,0.6536885602454252,nan,nan,42,0,PASSED
PURE_CROSS_MATCHED/Eval_On_UBFC,Official-matched local PURE checkpoint evaluated on UBFC: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/PURE_CROSS_MATCHED/PURE_CROSS_MATCHED_RhythmMamba_Best.pth,UBFC,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC/DataFileLists/UBFC_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,42,239,1.0849434988839286,0.1754876823001257,1.6054529616112792,1.0682939984309623,2.4814082195102993,1.1465923380974266,0.9895690770180029,2.2396728968243687,95.39748953974896,0.14487239638159455,1.9183362273070128,0.17203169472046753,0.00935764806221508,0.6569882093392074,nan,nan,42,0,PASSED
PURE_CROSS_MATCHED/Eval_On_TOKYOTECH,Official-matched local PURE checkpoint evaluated on TOKYOTECH: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/PURE_CROSS_MATCHED/PURE_CROSS_MATCHED_RhythmMamba_Best.pth,TOKYOTECH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/TOKYOTECH/DataFileLists/TOKYOTECH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,9,9,3.780378037803781,2.934778100363031,3.780378037803781,3.780378037803781,9.581626197783084,4.040766708068281,0.625914243548955,8.804334301089092,88.88888888888889,2.934778100363031,85.73331333141884,2.9659390256826046,0.2947714271195176,-0.0399546733900612,5.768279542149331,2.8854466983177525,9,0,PASSED
PURE_CROSS_MATCHED/Eval_On_TOKYOTECH,Official-matched local PURE checkpoint evaluated on TOKYOTECH: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/PURE_CROSS_MATCHED/PURE_CROSS_MATCHED_RhythmMamba_Best.pth,TOKYOTECH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/TOKYOTECH/DataFileLists/TOKYOTECH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,9,1521,4.483892176199869,2.3634678276211925,7.341584562342997,4.483892176199869,11.863955987634505,5.042637478240776,0.5914657041311457,10.983995749668797,86.3905325443787,0.28164091665817426,16.055597639412838,0.30758305168079997,0.02068873874885082,-0.06716515242782296,nan,nan,9,0,PASSED
PURE_CROSS_MATCHED/Eval_On_TOKYOTECH,Official-matched local PURE checkpoint evaluated on TOKYOTECH: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/PURE_CROSS_MATCHED/PURE_CROSS_MATCHED_RhythmMamba_Best.pth,TOKYOTECH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/TOKYOTECH/DataFileLists/TOKYOTECH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,9,153,3.8638844209558822,2.4997094186044087,4.834500191068092,3.8638844209558822,10.365192868250434,4.189649825507318,0.6601746425477566,9.61808818723992,86.9281045751634,0.7775763433822683,33.344156264492,0.7788543231281877,0.06112463877854463,-0.09829530133234697,nan,nan,9,0,PASSED
PURE_CROSS_MATCHED/Eval_On_BH,Official-matched local PURE checkpoint evaluated on BH: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/PURE_CROSS_MATCHED/PURE_CROSS_MATCHED_RhythmMamba_Best.pth,BH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/BH/DataFileLists/BH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,105,105,3.086022888003086,0.8456964774058293,3.086022888003086,3.086022888003086,9.198902277686447,4.39660593343141,0.7394889712481963,8.665810166922997,92.38095238095238,0.8456964774058293,51.66225314531764,1.3083875959690834,0.06632928019866235,-0.000624237419859369,6.034801448353858,0.83529759637629,105,0,PASSED
