run_name,description,checkpoint,dataset,split_begin,split_end,file_list,protocol,protocol_display_name,aggregation,window_seconds,stride_seconds,nfft,fft_bin_spacing_bpm,bandpass_low_hz,bandpass_high_hz,bandpass_order,number_of_recordings,number_of_measurements,primary_recording_macro_mae_bpm,recording_macro_mae_standard_error_bpm,recording_macro_rmse_bpm,pooled_measurement_mae_bpm,pooled_measurement_rmse_bpm,pooled_measurement_mape_percent,pooled_measurement_pearson,absolute_error_sd_bpm,accuracy_within_5_bpm_percent,pooled_mae_standard_error_bpm,reported_rmse_plus_minus_official_formula,pooled_mape_standard_error_percent,pooled_pearson_standard_error,mean_waveform_pearson,mean_snr_db,snr_standard_error_db,number_of_expected_recordings,number_of_failed_recordings,completion_status
PURE_A0_HARMONIC/Eval_On_PURE,Harmonic-loss A0 local PURE checkpoint evaluated on PURE: held-out 0.8-1.0 clean source validation split,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_loss_stage1/PURE_A0_HARMONIC/PURE_A0_HARMONIC_RhythmMamba_Best.pth,PURE,0.8,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/PURE/DataFileLists/PURE_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.8_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,12,12,0.22502250225022338,0.07685981672636907,0.22502250225022338,0.22502250225022338,0.34860336149481447,0.3204549936605791,0.9998035131161077,0.2662502152610069,100.0,0.07685981672636907,0.041508451877426744,0.11552467902471512,0.006268454041380987,0.8279209684566218,14.265506633282724,2.100082954538304,12,0,PASSED
PURE_A0_HARMONIC/Eval_On_PURE,Harmonic-loss A0 local PURE checkpoint evaluated on PURE: held-out 0.8-1.0 clean source validation split,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_loss_stage1/PURE_A0_HARMONIC/PURE_A0_HARMONIC_RhythmMamba_Best.pth,PURE,0.8,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/PURE/DataFileLists/PURE_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.8_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,12,735,0.9664926044541128,0.10404671752938706,1.557912332199758,0.9564625850340136,1.7367574760490438,1.5244567351495264,0.9947932629913186,1.4496571505160443,98.77551020408163,0.05347140953961084,0.6896305992527234,0.07592568629093997,0.003764261450290902,0.7813898023668576,nan,nan,12,0,PASSED
PURE_A0_HARMONIC/Eval_On_PURE,Harmonic-loss A0 local PURE checkpoint evaluated on PURE: held-out 0.8-1.0 clean source validation split,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_loss_stage1/PURE_A0_HARMONIC/PURE_A0_HARMONIC_RhythmMamba_Best.pth,PURE,0.8,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/PURE/DataFileLists/PURE_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.8_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,12,77,0.7153102329799107,0.0804804203214703,0.8798867190402214,0.7119711343344156,0.9443330078341865,1.1287403812140666,0.9985661560068954,0.6203724152150281,100.0,0.07069799805756247,0.19381858451088868,0.10354355030364655,0.006181296603585908,0.7870870754344275,nan,nan,12,0,PASSED
PURE_A0_HARMONIC/Eval_On_UBFC,Harmonic-loss A0 local PURE checkpoint evaluated on UBFC: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_loss_stage1/PURE_A0_HARMONIC/PURE_A0_HARMONIC_RhythmMamba_Best.pth,UBFC,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC/DataFileLists/UBFC_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,42,42,1.5815867301015805,0.48433550235816664,1.5815867301015805,1.5815867301015805,3.5147992113780826,1.6591335085469001,0.9798147921935396,3.1388528018163866,92.85714285714286,0.48433550235816664,8.033726176625388,0.4908445449540168,0.031608137005655186,0.7431849715195649,4.744913237455737,1.1934405239610189,42,0,PASSED
PURE_A0_HARMONIC/Eval_On_UBFC,Harmonic-loss A0 local PURE checkpoint evaluated on UBFC: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_loss_stage1/PURE_A0_HARMONIC/PURE_A0_HARMONIC_RhythmMamba_Best.pth,UBFC,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC/DataFileLists/UBFC_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,42,2280,2.4422527761639525,0.5024627861069948,5.263282848887617,2.248684210526316,7.919413189318884,2.3274891193449125,0.9110534143661205,7.593452744600939,94.34210526315789,0.15902736797522027,9.189848787636846,0.1567671022054656,0.008638218673367642,0.6564656308786581,nan,nan,42,0,PASSED
PURE_A0_HARMONIC/Eval_On_UBFC,Harmonic-loss A0 local PURE checkpoint evaluated on UBFC: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_loss_stage1/PURE_A0_HARMONIC/PURE_A0_HARMONIC_RhythmMamba_Best.pth,UBFC,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC/DataFileLists/UBFC_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,42,239,1.6640799386160714,0.38090938715886585,2.8099201734710855,1.6884009708420502,5.701232054206831,1.7871511236572295,0.9496824739131331,5.445488875902242,94.14225941422593,0.3522393935470916,15.74746432026678,0.37392119600865076,0.020345455203449617,0.6532017683369382,nan,nan,42,0,PASSED
PURE_A0_HARMONIC/Eval_On_TOKYOTECH,Harmonic-loss A0 local PURE checkpoint evaluated on TOKYOTECH: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_loss_stage1/PURE_A0_HARMONIC/PURE_A0_HARMONIC_RhythmMamba_Best.pth,TOKYOTECH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/TOKYOTECH/DataFileLists/TOKYOTECH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,9,9,0.7200720072007208,0.2683549927992535,0.7200720072007208,0.7200720072007208,1.080108010801078,0.9625706600013567,0.9957149078201547,0.8050649783977606,100.0,0.2683549927992535,0.6250335697759584,0.37252739051762357,0.03495266665629159,-0.23334643084439588,7.337934701037668,2.254400135067745,9,0,PASSED
PURE_A0_HARMONIC/Eval_On_TOKYOTECH,Harmonic-loss A0 local PURE checkpoint evaluated on TOKYOTECH: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_loss_stage1/PURE_A0_HARMONIC/PURE_A0_HARMONIC_RhythmMamba_Best.pth,TOKYOTECH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/TOKYOTECH/DataFileLists/TOKYOTECH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,9,1521,2.4700854700854697,1.0386001336952537,4.0593067141285495,2.47008547008547,7.253238411607693,2.829321443908952,0.853039020090956,6.819688059295229,92.5706771860618,0.17486379639218536,8.757738550999694,0.17681414625057593,0.013389501704452004,-0.2211522139591445,nan,nan,9,0,PASSED
PURE_A0_HARMONIC/Eval_On_TOKYOTECH,Harmonic-loss A0 local PURE checkpoint evaluated on TOKYOTECH: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_loss_stage1/PURE_A0_HARMONIC/PURE_A0_HARMONIC_RhythmMamba_Best.pth,TOKYOTECH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/TOKYOTECH/DataFileLists/TOKYOTECH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,9,153,1.3233857996323526,0.34164263482770973,1.9568387465541879,1.323385799632353,2.466664422511286,1.6441727128067651,0.9806418214963498,2.081605966222804,93.4640522875817,0.16828786803240256,1.7595891236242849,0.1992951987863953,0.015934804659982368,-0.21829427812648924,nan,nan,9,0,PASSED
PURE_A0_HARMONIC/Eval_On_BH,Harmonic-loss A0 local PURE checkpoint evaluated on BH: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_loss_stage1/PURE_A0_HARMONIC/PURE_A0_HARMONIC_RhythmMamba_Best.pth,BH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/BH/DataFileLists/BH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,105,105,1.882473961681883,0.22444370589432902,1.882473961681883,1.882473961681883,2.9720499345647258,2.5962224176670357,0.9735998285265045,2.2998636040287055,95.23809523809523,0.22444370589432902,3.3547552766277535,0.34153089964834626,0.02249128717887725,-0.005075127073903307,6.018402472513591,0.8145524547196381,105,0,PASSED
