run_name,description,checkpoint,dataset,split_begin,split_end,file_list,protocol,protocol_display_name,aggregation,window_seconds,stride_seconds,nfft,fft_bin_spacing_bpm,bandpass_low_hz,bandpass_high_hz,bandpass_order,number_of_recordings,number_of_measurements,primary_recording_macro_mae_bpm,recording_macro_mae_standard_error_bpm,recording_macro_rmse_bpm,pooled_measurement_mae_bpm,pooled_measurement_rmse_bpm,pooled_measurement_mape_percent,pooled_measurement_pearson,absolute_error_sd_bpm,accuracy_within_5_bpm_percent,pooled_mae_standard_error_bpm,reported_rmse_plus_minus_official_formula,pooled_mape_standard_error_percent,pooled_pearson_standard_error,mean_waveform_pearson,mean_snr_db,snr_standard_error_db,number_of_expected_recordings,number_of_failed_recordings,completion_status
UBFC_A0_HARMONIC/Eval_On_PURE,Harmonic-loss A0 local UBFC checkpoint evaluated on PURE: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_loss_stage1/UBFC_A0_HARMONIC/UBFC_A0_HARMONIC_RhythmMamba_Best.pth,PURE,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/PURE/DataFileLists/PURE_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,59,59,5.501228088910588,2.09221993217477,5.501228088910588,5.501228088910588,16.986146735413342,5.39213518788662,0.6910319477030239,16.070646235630182,91.52542372881356,2.09221993217477,137.55652256943796,1.7221764934619348,0.09574040625784358,0.6044581683021436,6.010231216685454,1.242370222704974,59,0,PASSED
UBFC_A0_HARMONIC/Eval_On_PURE,Harmonic-loss A0 local UBFC checkpoint evaluated on PURE: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_loss_stage1/UBFC_A0_HARMONIC/UBFC_A0_HARMONIC_RhythmMamba_Best.pth,PURE,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/PURE/DataFileLists/PURE_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,59,3576,6.285070165716808,1.6965620011216125,9.077166181961054,6.5125838926174495,18.488939495517418,7.2238879920528465,0.6476238156376659,17.30396297703285,84.17225950782998,0.28936554774379003,22.09908813098513,0.2605250288082762,0.012745445804576223,0.5620648169927478,nan,nan,59,0,PASSED
UBFC_A0_HARMONIC/Eval_On_PURE,Harmonic-loss A0 local UBFC checkpoint evaluated on PURE: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_loss_stage1/UBFC_A0_HARMONIC/UBFC_A0_HARMONIC_RhythmMamba_Best.pth,PURE,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/PURE/DataFileLists/PURE_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,59,374,5.16640060461751,1.4046659708858582,7.116972322512468,5.293118889956551,15.891762405400925,6.008938280349428,0.7355108938063262,14.98435867051037,86.89839572192514,0.7748227410991043,53.867446864516694,0.7110947462930245,0.03512740731781321,0.561768572251298,nan,nan,59,0,PASSED
UBFC_A0_HARMONIC/Eval_On_UBFC,Harmonic-loss A0 local UBFC checkpoint evaluated on UBFC: held-out 0.8-1.0 clean source validation split,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_loss_stage1/UBFC_A0_HARMONIC/UBFC_A0_HARMONIC_RhythmMamba_Best.pth,UBFC,0.8,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC/DataFileLists/UBFC_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.8_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,9,9,0.7200720072007224,0.29396816595057645,0.7200720072007224,0.7200720072007224,1.1385338110417222,0.7093901000108952,0.9950096703897969,0.8819044978517293,100.0,0.29396816595057645,0.7573847491517735,0.28199464201701613,0.03771274098987857,0.8215214237304077,5.3892709260697265,1.4692279653069822,9,0,PASSED
UBFC_A0_HARMONIC/Eval_On_UBFC,Harmonic-loss A0 local UBFC checkpoint evaluated on UBFC: held-out 0.8-1.0 clean source validation split,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_loss_stage1/UBFC_A0_HARMONIC/UBFC_A0_HARMONIC_RhythmMamba_Best.pth,UBFC,0.8,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC/DataFileLists/UBFC_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.8_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,9,497,2.184852374839538,0.9722791254645883,4.497140248328574,2.2253521126760565,7.619999102224845,2.359611859820576,0.8662937052509315,7.28781135132597,95.57344064386318,0.3269030163175254,13.779113332379476,0.35783678522220647,0.02245242855383072,0.6968420727356872,nan,nan,9,0,PASSED
UBFC_A0_HARMONIC/Eval_On_UBFC,Harmonic-loss A0 local UBFC checkpoint evaluated on UBFC: held-out 0.8-1.0 clean source validation split,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_loss_stage1/UBFC_A0_HARMONIC/UBFC_A0_HARMONIC_RhythmMamba_Best.pth,UBFC,0.8,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC/DataFileLists/UBFC_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.8_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,9,52,1.5920003255208333,0.6657969886332293,3.0696993901261087,1.6373854417067308,5.831537141554326,1.7998559621405632,0.8958215135249841,5.596945090727123,96.15384615384616,0.7761566350220421,29.293818649925402,0.8722758107625757,0.06284963260128205,0.686607560107504,nan,nan,9,0,PASSED
UBFC_A0_HARMONIC/Eval_On_TOKYOTECH,Harmonic-loss A0 local UBFC checkpoint evaluated on TOKYOTECH: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_loss_stage1/UBFC_A0_HARMONIC/UBFC_A0_HARMONIC_RhythmMamba_Best.pth,TOKYOTECH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/TOKYOTECH/DataFileLists/TOKYOTECH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,9,9,6.720672067206721,3.3679472234982195,6.720672067206721,6.720672067206721,12.134869160289986,8.123258954118633,0.28058328545353456,10.103841670494658,66.66666666666666,3.3679472234982195,115.40681291568649,3.5229652372439157,0.36278152022633214,0.08928696124871233,1.9886883229829015,2.8461379073152346,9,0,PASSED
UBFC_A0_HARMONIC/Eval_On_TOKYOTECH,Harmonic-loss A0 local UBFC checkpoint evaluated on TOKYOTECH: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_loss_stage1/UBFC_A0_HARMONIC/UBFC_A0_HARMONIC_RhythmMamba_Best.pth,TOKYOTECH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/TOKYOTECH/DataFileLists/TOKYOTECH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,9,1521,5.302432610124918,2.776392473749365,7.3764901178744635,5.302432610124918,11.879490223424648,6.053057386074622,0.5722446939862984,10.630451372520625,81.32807363576595,0.27257567621847756,11.907890011797784,0.2919009785951566,0.02104160601779521,0.05976325672701548,nan,nan,9,0,PASSED
UBFC_A0_HARMONIC/Eval_On_TOKYOTECH,Harmonic-loss A0 local UBFC checkpoint evaluated on TOKYOTECH: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_loss_stage1/UBFC_A0_HARMONIC/UBFC_A0_HARMONIC_RhythmMamba_Best.pth,TOKYOTECH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/TOKYOTECH/DataFileLists/TOKYOTECH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,9,153,4.31051815257353,2.5972292848145724,5.470423097066913,4.310518152573529,10.63411386112565,4.782440010577494,0.6501973572388553,9.721307055520814,84.31372549019608,0.7859210942936181,31.85326255980903,0.7952914748216207,0.06182882783342803,0.048842319210226366,nan,nan,9,0,PASSED
UBFC_A0_HARMONIC/Eval_On_BH,Harmonic-loss A0 local UBFC checkpoint evaluated on BH: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_loss_stage1/UBFC_A0_HARMONIC/UBFC_A0_HARMONIC_RhythmMamba_Best.pth,BH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/BH/DataFileLists/BH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,105,105,4.500450045004501,0.7837076042058072,4.500450045004501,4.500450045004501,9.205693865267932,6.195053960211447,0.7200362412252739,8.030613235205058,80.95238095238095,0.7837076042058072,30.66465774011645,1.0450459402642998,0.06837559117950916,0.0029245913021567105,1.9721341157250034,0.8836329711937585,105,0,PASSED
