run_name,description,checkpoint,dataset,split_begin,split_end,file_list,protocol,protocol_display_name,aggregation,window_seconds,stride_seconds,nfft,fft_bin_spacing_bpm,bandpass_low_hz,bandpass_high_hz,bandpass_order,number_of_recordings,number_of_measurements,primary_recording_macro_mae_bpm,recording_macro_mae_standard_error_bpm,recording_macro_rmse_bpm,pooled_measurement_mae_bpm,pooled_measurement_rmse_bpm,pooled_measurement_mape_percent,pooled_measurement_pearson,absolute_error_sd_bpm,accuracy_within_5_bpm_percent,pooled_mae_standard_error_bpm,reported_rmse_plus_minus_official_formula,pooled_mape_standard_error_percent,pooled_pearson_standard_error,mean_waveform_pearson,mean_snr_db,snr_standard_error_db,number_of_expected_recordings,number_of_failed_recordings,completion_status
UBFC_A2_HARMONIC_RANK/Eval_On_PURE,Stage-3 A2 official plus conditional harmonic-ranking UBFC checkpoint evaluated on PURE: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_rank_stage3/UBFC_A2_HARMONIC_RANK/UBFC_A2_HARMONIC_RANK_RhythmMamba_Best.pth,PURE,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/PURE/DataFileLists/PURE_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,59,59,13.894948816915592,2.786106554365711,13.894948816915592,13.894948816915592,25.51569314812355,27.477909851713747,0.5313576761854791,21.40049051317504,71.1864406779661,2.786106554365711,139.98724598508,5.572875578808124,0.1122074379089178,0.4450982917394488,6.8632631499488435,0.9093233254696858,59,0,PASSED
UBFC_A2_HARMONIC_RANK/Eval_On_PURE,Stage-3 A2 official plus conditional harmonic-ranking UBFC checkpoint evaluated on PURE: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_rank_stage3/UBFC_A2_HARMONIC_RANK/UBFC_A2_HARMONIC_RANK_RhythmMamba_Best.pth,PURE,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/PURE/DataFileLists/PURE_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,59,3576,18.78374506321,2.1864183587112156,29.647177790513936,19.041666666666668,35.42115184127788,34.44043704294302,0.4078767603706853,29.867589931536475,68.81991051454138,0.49946081899257133,42.29082030411488,0.9282647493506814,0.01527253395238226,0.397636210245046,nan,nan,59,0,PASSED
UBFC_A2_HARMONIC_RANK/Eval_On_PURE,Stage-3 A2 official plus conditional harmonic-ranking UBFC checkpoint evaluated on PURE: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_rank_stage3/UBFC_A2_HARMONIC_RANK/UBFC_A2_HARMONIC_RANK_RhythmMamba_Best.pth,PURE,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/PURE/DataFileLists/PURE_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,59,374,14.700387580631432,2.016388735436044,20.787425343265703,14.822730406082888,28.581767952250097,28.193513299363577,0.48937845531646257,24.437760179379296,70.85561497326202,1.2636464959807505,88.6640870291547,2.4602551429447366,0.04521480177614528,0.3971402046085087,nan,nan,59,0,PASSED
UBFC_A2_HARMONIC_RANK/Eval_On_UBFC,Stage-3 A2 official plus conditional harmonic-ranking UBFC checkpoint evaluated on UBFC: held-out 0.8-1.0 clean source validation split,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_rank_stage3/UBFC_A2_HARMONIC_RANK/UBFC_A2_HARMONIC_RANK_RhythmMamba_Best.pth,UBFC,0.8,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC/DataFileLists/UBFC_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.8_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,9,9,0.540054005400541,0.20786688359662564,0.540054005400541,0.540054005400541,0.8249461197040239,0.5381188183617387,0.9979117426332862,0.6236006507898769,100.0,0.20786688359662564,0.4718454852039668,0.1917382728855307,0.024413561554998835,0.8928879478893101,8.199641439456176,1.7109960590811284,9,0,PASSED
UBFC_A2_HARMONIC_RANK/Eval_On_UBFC,Stage-3 A2 official plus conditional harmonic-ranking UBFC checkpoint evaluated on UBFC: held-out 0.8-1.0 clean source validation split,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_rank_stage3/UBFC_A2_HARMONIC_RANK/UBFC_A2_HARMONIC_RANK_RhythmMamba_Best.pth,UBFC,0.8,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC/DataFileLists/UBFC_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.8_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,9,497,0.7399324870441687,0.14370867749416713,1.73749537235322,0.7464788732394366,2.5067313803596263,0.7768672897787368,0.9787560071721975,2.3930047022701104,98.79275653923541,0.10734093097673146,4.159340153695405,0.11411232385518792,0.0092153449569416,0.7857860244938812,nan,nan,9,0,PASSED
UBFC_A2_HARMONIC_RANK/Eval_On_UBFC,Stage-3 A2 official plus conditional harmonic-ranking UBFC checkpoint evaluated on UBFC: held-out 0.8-1.0 clean source validation split,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_rank_stage3/UBFC_A2_HARMONIC_RANK/UBFC_A2_HARMONIC_RANK_RhythmMamba_Best.pth,UBFC,0.8,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC/DataFileLists/UBFC_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.8_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,9,52,0.48828125,0.06484935486047048,0.6391046655976254,0.49649752103365385,0.7209048391478129,0.5131390932581725,0.9983272987656419,0.5226796329628413,100.0,0.0724826237418547,0.19142500026518905,0.07815657618817626,0.00817631278669904,0.7654301286353896,nan,nan,9,0,PASSED
UBFC_A2_HARMONIC_RANK/Eval_On_TOKYOTECH,Stage-3 A2 official plus conditional harmonic-ranking UBFC checkpoint evaluated on TOKYOTECH: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_rank_stage3/UBFC_A2_HARMONIC_RANK/UBFC_A2_HARMONIC_RANK_RhythmMamba_Best.pth,TOKYOTECH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/TOKYOTECH/DataFileLists/TOKYOTECH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,9,9,0.7800780078007834,0.22629679965966054,0.7800780078007834,0.7800780078007834,1.0341246888457312,1.0560639562086687,0.9963069255650334,0.6788903989789816,100.0,0.22629679965966054,0.4978378070449135,0.32434891661606624,0.03245328526436316,-0.3833181527179802,7.633844775461867,2.076022979839625,9,0,PASSED
UBFC_A2_HARMONIC_RANK/Eval_On_TOKYOTECH,Stage-3 A2 official plus conditional harmonic-ranking UBFC checkpoint evaluated on TOKYOTECH: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_rank_stage3/UBFC_A2_HARMONIC_RANK/UBFC_A2_HARMONIC_RANK_RhythmMamba_Best.pth,TOKYOTECH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/TOKYOTECH/DataFileLists/TOKYOTECH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,9,1521,3.2642998027613412,0.8916729079545732,8.732024650320126,3.2642998027613412,10.83438775023395,4.19140814414343,0.7381755183615853,10.330939198355187,90.99276791584484,0.2648958768809022,17.590064869035405,0.3585931195453673,0.017309042872698945,-0.36424447163514734,nan,nan,9,0,PASSED
UBFC_A2_HARMONIC_RANK/Eval_On_TOKYOTECH,Stage-3 A2 official plus conditional harmonic-ranking UBFC checkpoint evaluated on TOKYOTECH: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_rank_stage3/UBFC_A2_HARMONIC_RANK/UBFC_A2_HARMONIC_RANK_RhythmMamba_Best.pth,TOKYOTECH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/TOKYOTECH/DataFileLists/TOKYOTECH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,9,153,1.0727826286764706,0.32234766034902407,1.5475981596121327,1.0727826286764706,2.1362448299149626,1.3210424295287093,0.9855962404510183,1.8473438783692682,96.07843137254902,0.14934890073244467,1.8759144434872717,0.16036684869875284,0.013762423841466849,-0.37361993386423153,nan,nan,9,0,PASSED
UBFC_A2_HARMONIC_RANK/Eval_On_BH,Stage-3 A2 official plus conditional harmonic-ranking UBFC checkpoint evaluated on BH: complete 0.0-1.0 external dataset,/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/harmonic_rank_stage3/UBFC_A2_HARMONIC_RANK/UBFC_A2_HARMONIC_RANK_RhythmMamba_Best.pth,BH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/BH/DataFileLists/BH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,105,105,9.654108267969654,1.6701580585359739,9.654108267969654,9.654108267969654,19.649217292335305,14.18381756275203,0.36469604547780293,17.114027397188792,74.28571428571429,1.6701580585359739,104.24018256298044,2.5188830652953613,0.09174663266818038,-0.010318518606863428,2.284543501255034,1.005518324367604,105,0,PASSED
