run_name,description,checkpoint,dataset,split_begin,split_end,file_list,protocol,protocol_display_name,aggregation,window_seconds,stride_seconds,nfft,fft_bin_spacing_bpm,bandpass_low_hz,bandpass_high_hz,bandpass_order,number_of_recordings,number_of_measurements,primary_recording_macro_mae_bpm,recording_macro_mae_standard_error_bpm,recording_macro_rmse_bpm,pooled_measurement_mae_bpm,pooled_measurement_rmse_bpm,pooled_measurement_mape_percent,pooled_measurement_pearson,absolute_error_sd_bpm,accuracy_within_5_bpm_percent,pooled_mae_standard_error_bpm,reported_rmse_plus_minus_official_formula,pooled_mape_standard_error_percent,pooled_pearson_standard_error,mean_waveform_pearson,mean_snr_db,snr_standard_error_db,number_of_expected_recordings,number_of_failed_recordings,completion_status
UBFC_A0_L2_HARMONIC_REPLACE/Eval_On_PURE,"Stage-2 L2_HARMONIC_REPLACE, A0, local UBFC checkpoint evaluated on PURE: complete 0.0-1.0 external dataset",/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/loss_suite_stage2/UBFC_A0_L2_HARMONIC_REPLACE/UBFC_A0_L2_HARMONIC_REPLACE_RhythmMamba_Best.pth,PURE,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/PURE/DataFileLists/PURE_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,59,59,1.7666173397000704,0.9905911111655993,1.7666173397000704,1.7666173397000704,7.811268209876452,1.913012069319476,0.9403117555618279,7.608874701406083,94.91525423728814,0.9905911111655993,57.150121227853084,0.7908553885934287,0.04507572621598935,0.6003143531643785,7.374520834821563,1.0907550447804304,59,0,PASSED
UBFC_A0_L2_HARMONIC_REPLACE/Eval_On_PURE,"Stage-2 L2_HARMONIC_REPLACE, A0, local UBFC checkpoint evaluated on PURE: complete 0.0-1.0 external dataset",/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/loss_suite_stage2/UBFC_A0_L2_HARMONIC_REPLACE/UBFC_A0_L2_HARMONIC_REPLACE_RhythmMamba_Best.pth,PURE,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/PURE/DataFileLists/PURE_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,59,3576,3.451126123314955,0.9565083350710853,5.609604405576324,3.6473713646532437,11.810052878513652,4.537134783488895,0.865771066432356,11.232721447698957,90.43624161073825,0.18783920184532052,12.965684331078593,0.18866879746291731,0.0083709543348975,0.5400367189655483,nan,nan,59,0,PASSED
UBFC_A0_L2_HARMONIC_REPLACE/Eval_On_PURE,"Stage-2 L2_HARMONIC_REPLACE, A0, local UBFC checkpoint evaluated on PURE: complete 0.0-1.0 external dataset",/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/loss_suite_stage2/UBFC_A0_L2_HARMONIC_REPLACE/UBFC_A0_L2_HARMONIC_REPLACE_RhythmMamba_Best.pth,PURE,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/PURE/DataFileLists/PURE_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,59,374,3.2325541424693554,0.8571360139445469,5.118206428127033,3.359055136614305,11.471192921962164,4.560496166386971,0.8691773526077999,10.96836431023605,91.17647058823529,0.5671606164203771,37.41500462752648,0.7136405055269575,0.025638655800828896,0.5409639008400817,nan,nan,59,0,PASSED
UBFC_A0_L2_HARMONIC_REPLACE/Eval_On_UBFC,"Stage-2 L2_HARMONIC_REPLACE, A0, local UBFC checkpoint evaluated on UBFC: held-out 0.8-1.0 clean source validation split",/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/loss_suite_stage2/UBFC_A0_L2_HARMONIC_REPLACE/UBFC_A0_L2_HARMONIC_REPLACE_RhythmMamba_Best.pth,UBFC,0.8,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC/DataFileLists/UBFC_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.8_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,9,9,0.7200720072007224,0.2683549927992545,0.7200720072007224,0.7200720072007224,1.0801080108010812,0.7048740166078201,0.9967279187769477,0.8050649783977636,100.0,0.2683549927992545,0.6250335697759626,0.2472246165885762,0.030550791270029597,0.8129869942818133,6.700857062396938,1.5079616986069515,9,0,PASSED
UBFC_A0_L2_HARMONIC_REPLACE/Eval_On_UBFC,"Stage-2 L2_HARMONIC_REPLACE, A0, local UBFC checkpoint evaluated on UBFC: held-out 0.8-1.0 clean source validation split",/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/loss_suite_stage2/UBFC_A0_L2_HARMONIC_REPLACE/UBFC_A0_L2_HARMONIC_REPLACE_RhythmMamba_Best.pth,UBFC,0.8,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC/DataFileLists/UBFC_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.8_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,9,497,1.451338373032853,0.5164891909137411,3.00851046587269,1.476861167002012,4.898568755782732,1.5343228490535437,0.9296069750807257,4.670637745376132,96.17706237424547,0.20950673576534662,8.257483004997338,0.2255595749648586,0.016565198513157922,0.6873850774474152,nan,nan,9,0,PASSED
UBFC_A0_L2_HARMONIC_REPLACE/Eval_On_UBFC,"Stage-2 L2_HARMONIC_REPLACE, A0, local UBFC checkpoint evaluated on UBFC: held-out 0.8-1.0 clean source validation split",/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/loss_suite_stage2/UBFC_A0_L2_HARMONIC_REPLACE/UBFC_A0_L2_HARMONIC_REPLACE_RhythmMamba_Best.pth,UBFC,0.8,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC/DataFileLists/UBFC_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.8_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,9,52,0.9562174479166666,0.34730830714894606,1.5258220499784871,0.9866567758413461,2.763642365115845,1.047613021412461,0.9767395951877589,2.5815165172722527,98.07692307692307,0.3579919296723972,6.789401341763504,0.3879144456099658,0.030324829164383726,0.6835586000636619,nan,nan,9,0,PASSED
UBFC_A0_L2_HARMONIC_REPLACE/Eval_On_TOKYOTECH,"Stage-2 L2_HARMONIC_REPLACE, A0, local UBFC checkpoint evaluated on TOKYOTECH: complete 0.0-1.0 external dataset",/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/loss_suite_stage2/UBFC_A0_L2_HARMONIC_REPLACE/UBFC_A0_L2_HARMONIC_REPLACE_RhythmMamba_Best.pth,TOKYOTECH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/TOKYOTECH/DataFileLists/TOKYOTECH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,9,9,1.9201920192019202,0.9065121867086444,1.9201920192019202,1.9201920192019202,3.329116473250574,2.609017894683886,0.9604003031400598,2.7195365601259334,88.88888888888889,0.9065121867086444,8.664719778688504,1.281159043841434,0.10530992201828532,-0.015075841963989546,4.846416280636236,2.486108887889609,9,0,PASSED
UBFC_A0_L2_HARMONIC_REPLACE/Eval_On_TOKYOTECH,"Stage-2 L2_HARMONIC_REPLACE, A0, local UBFC checkpoint evaluated on TOKYOTECH: complete 0.0-1.0 external dataset",/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/loss_suite_stage2/UBFC_A0_L2_HARMONIC_REPLACE/UBFC_A0_L2_HARMONIC_REPLACE_RhythmMamba_Best.pth,TOKYOTECH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/TOKYOTECH/DataFileLists/TOKYOTECH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,9,1521,4.698882314266929,2.744912533020411,7.303226775487398,4.69888231426693,12.650228095746918,5.209952437519012,0.5395884038745694,11.74515967839919,85.79881656804734,0.30115794047177413,16.225506133658552,0.3204233131154187,0.021602129012735755,-0.010582927772505813,nan,nan,9,0,PASSED
UBFC_A0_L2_HARMONIC_REPLACE/Eval_On_TOKYOTECH,"Stage-2 L2_HARMONIC_REPLACE, A0, local UBFC checkpoint evaluated on TOKYOTECH: complete 0.0-1.0 external dataset",/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/loss_suite_stage2/UBFC_A0_L2_HARMONIC_REPLACE/UBFC_A0_L2_HARMONIC_REPLACE_RhythmMamba_Best.pth,TOKYOTECH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/TOKYOTECH/DataFileLists/TOKYOTECH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,9,153,3.690113740808823,2.35643485096258,4.814101728032132,3.6901137408088234,10.064328321994568,4.032604137283707,0.6758419178771685,9.363426998316156,86.9281045751634,0.756988206506228,31.45760228370129,0.7729495201994101,0.05998000229878557,-0.01714940182846749,nan,nan,9,0,PASSED
UBFC_A0_L2_HARMONIC_REPLACE/Eval_On_BH,"Stage-2 L2_HARMONIC_REPLACE, A0, local UBFC checkpoint evaluated on BH: complete 0.0-1.0 external dataset",/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/loss_suite_stage2/UBFC_A0_L2_HARMONIC_REPLACE/UBFC_A0_L2_HARMONIC_REPLACE_RhythmMamba_Best.pth,BH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/BH/DataFileLists/BH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,105,105,2.962581972482962,0.5377278305725559,2.962581972482962,2.962581972482962,6.256018703598089,4.2235677582481355,0.8686408669537359,5.510070605363245,88.57142857142857,0.5377278305725559,14.426045992893155,0.8432701059665203,0.04881737756186908,0.001027538382784444,3.381931262399863,0.7730165217839094,105,0,PASSED
