run_name,description,checkpoint,dataset,split_begin,split_end,file_list,protocol,protocol_display_name,aggregation,window_seconds,stride_seconds,nfft,fft_bin_spacing_bpm,bandpass_low_hz,bandpass_high_hz,bandpass_order,number_of_recordings,number_of_measurements,primary_recording_macro_mae_bpm,recording_macro_mae_standard_error_bpm,recording_macro_rmse_bpm,pooled_measurement_mae_bpm,pooled_measurement_rmse_bpm,pooled_measurement_mape_percent,pooled_measurement_pearson,absolute_error_sd_bpm,accuracy_within_5_bpm_percent,pooled_mae_standard_error_bpm,reported_rmse_plus_minus_official_formula,pooled_mape_standard_error_percent,pooled_pearson_standard_error,mean_waveform_pearson,mean_snr_db,snr_standard_error_db,number_of_expected_recordings,number_of_failed_recordings,completion_status
UBFC_A2_L0_SEED100/Eval_On_PURE,"Paired UBFC A2 five-seed experiment; L0, seed 100, evaluated on PURE: complete 0.0-1.0 external dataset",/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/ubfc_a2_multiseed/UBFC_A2_L0_SEED100/UBFC_A2_L0_SEED100_RhythmMamba_Best.pth,PURE,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/PURE/DataFileLists/PURE_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,59,59,1.2997909960487557,0.41080951647048997,1.2997909960487557,1.2997909960487557,3.4127056280830557,1.979931405422574,0.989895746641609,3.1554877706212627,94.91525423728814,0.41080951647048997,8.337221693830278,0.709068815101296,0.0187814815386558,0.6510426187306319,7.62555858778267,1.1688699571641477,59,0,PASSED
UBFC_A2_L0_SEED100/Eval_On_PURE,"Paired UBFC A2 five-seed experiment; L0, seed 100, evaluated on PURE: complete 0.0-1.0 external dataset",/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/ubfc_a2_multiseed/UBFC_A2_L0_SEED100/UBFC_A2_L0_SEED100_RhythmMamba_Best.pth,PURE,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/PURE/DataFileLists/PURE_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,59,3576,4.373335870179634,1.0661376697233371,7.130746676501645,4.606543624161074,13.867572381581041,6.3041645387330325,0.8129111938936423,13.080111604917224,87.08053691275168,0.21873218661704444,15.508008888598486,0.2767998084122574,0.009741703181356259,0.6032241646682496,nan,nan,59,0,PASSED
UBFC_A2_L0_SEED100/Eval_On_PURE,"Paired UBFC A2 five-seed experiment; L0, seed 100, evaluated on PURE: complete 0.0-1.0 external dataset",/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/ubfc_a2_multiseed/UBFC_A2_L0_SEED100/UBFC_A2_L0_SEED100_RhythmMamba_Best.pth,PURE,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/PURE/DataFileLists/PURE_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,59,374,4.779174656902618,1.2261754950641643,6.979006932375661,4.971754104695855,14.468414364540864,7.242938594739935,0.7871576137315971,13.587371907270821,86.63101604278076,0.7025862752633887,42.50612950801731,1.0140287349203734,0.03197709576578084,0.6081220610533808,nan,nan,59,0,PASSED
UBFC_A2_L0_SEED100/Eval_On_UBFC,"Paired UBFC A2 five-seed experiment; L0, seed 100, evaluated on UBFC: held-out UBFC 0.8-1.0 source validation split",/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/ubfc_a2_multiseed/UBFC_A2_L0_SEED100/UBFC_A2_L0_SEED100_RhythmMamba_Best.pth,UBFC,0.8,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC/DataFileLists/UBFC_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.8_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,9,9,0.6600660066006631,0.2209293132750738,0.6600660066006631,0.6600660066006631,0.9354009761848167,0.6690916131167726,0.9970852357241574,0.6627879398252214,100.0,0.2209293132750738,0.4696145247853531,0.21312345933806742,0.028837061225595977,0.8687202379376967,8.035475796269926,1.5581359263187855,9,0,PASSED
UBFC_A2_L0_SEED100/Eval_On_UBFC,"Paired UBFC A2 five-seed experiment; L0, seed 100, evaluated on UBFC: held-out UBFC 0.8-1.0 source validation split",/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/ubfc_a2_multiseed/UBFC_A2_L0_SEED100/UBFC_A2_L0_SEED100_RhythmMamba_Best.pth,UBFC,0.8,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC/DataFileLists/UBFC_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.8_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,9,497,1.2112394808158606,0.41183588607554183,2.7056538832996675,1.2313883299798793,4.747974258285744,1.292704128174495,0.9330146166129293,4.585514402783337,97.58551307847083,0.20568843200978199,9.01589907898284,0.22439158420838476,0.01617353650891821,0.7607544887276179,nan,nan,9,0,PASSED
UBFC_A2_L0_SEED100/Eval_On_UBFC,"Paired UBFC A2 five-seed experiment; L0, seed 100, evaluated on UBFC: held-out UBFC 0.8-1.0 source validation split",/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/ubfc_a2_multiseed/UBFC_A2_L0_SEED100/UBFC_A2_L0_SEED100_RhythmMamba_Best.pth,UBFC,0.8,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/UBFC/DataFileLists/UBFC_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.8_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,9,52,0.6134033203125,0.07464166800066789,0.7801508334872965,0.6190373347355769,0.8700141045390845,0.6438253131297608,0.9974816476689421,0.6113242350017037,100.0,0.0847754182781708,0.28564075842149755,0.09039451090091932,0.010030316608813913,0.7513900317750745,nan,nan,9,0,PASSED
UBFC_A2_L0_SEED100/Eval_On_TOKYOTECH,"Paired UBFC A2 five-seed experiment; L0, seed 100, evaluated on TOKYOTECH: complete 0.0-1.0 external dataset",/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/ubfc_a2_multiseed/UBFC_A2_L0_SEED100/UBFC_A2_L0_SEED100_RhythmMamba_Best.pth,TOKYOTECH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/TOKYOTECH/DataFileLists/TOKYOTECH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,9,9,0.6000600060006005,0.24660122024078243,0.6000600060006005,0.6000600060006005,0.952565728556107,0.8090274959369111,0.9968936174419086,0.7398036607223473,100.0,0.24660122024078243,0.5153434346225545,0.3225148378644785,0.02976842887448173,-0.021359606899524822,7.313105945298549,2.4679566898250225,9,0,PASSED
UBFC_A2_L0_SEED100/Eval_On_TOKYOTECH,"Paired UBFC A2 five-seed experiment; L0, seed 100, evaluated on TOKYOTECH: complete 0.0-1.0 external dataset",/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/ubfc_a2_multiseed/UBFC_A2_L0_SEED100/UBFC_A2_L0_SEED100_RhythmMamba_Best.pth,TOKYOTECH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/TOKYOTECH/DataFileLists/TOKYOTECH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,old,Old Protocol,window_to_recording,8.0,1.0,1800,1.0,0.67,3.0,3,9,1521,2.88560157790927,1.5501971518699171,4.616735525982408,2.88560157790927,8.810332527058435,3.1960258373647568,0.7625429942923397,8.324377620633953,91.3214990138067,0.21344558001625522,9.712557478687698,0.21606350825322032,0.016599058918565526,-0.0038417831274321457,nan,nan,9,0,PASSED
UBFC_A2_L0_SEED100/Eval_On_TOKYOTECH,"Paired UBFC A2 five-seed experiment; L0, seed 100, evaluated on TOKYOTECH: complete 0.0-1.0 external dataset",/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/ubfc_a2_multiseed/UBFC_A2_L0_SEED100/UBFC_A2_L0_SEED100_RhythmMamba_Best.pth,TOKYOTECH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/TOKYOTECH/DataFileLists/TOKYOTECH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,prism,PRISM Evaluation Protocol,window_to_recording,10.0,10.0,16384,0.10986328125,0.75,2.5,2,9,153,2.6912913602941178,1.707936563517203,4.088619828974252,2.6912913602941178,9.175233870611942,2.916019405902002,0.7393203551856138,8.771651349342998,92.15686274509804,0.7091459808712325,32.69881387451125,0.7172929739864091,0.054796759487998455,0.010729834941834732,nan,nan,9,0,PASSED
UBFC_A2_L0_SEED100/Eval_On_BH,"Paired UBFC A2 five-seed experiment; L0, seed 100, evaluated on BH: complete 0.0-1.0 external dataset",/media/data/rPPG/Code/GitHub/Project_rPPG_Result/Result_Lab_Mamba_Results/results/models/ubfc_a2_multiseed/UBFC_A2_L0_SEED100/UBFC_A2_L0_SEED100_RhythmMamba_Best.pth,BH,0.0,1.0,/home/rafsan/Documents/Data/Mamba_Hunt_Data/RhythmMamba_Preprocessed_Independent/BH/DataFileLists/BH_SizeW128_SizeH128_ClipLength160_DataTypeStandardized_DataAugNone_LabelTypeStandardized_Crop_faceTrue_Large_boxTrue_Large_size1.5_Dyamic_DetFalse_det_len30_Median_face_boxFalse_0.0_1.0.csv,official_mamba,Official RhythmMamba Evaluation,recording,,,3333,0.54005400540054,0.75,2.5,1,105,105,3.3380480905233387,0.589259841589725,3.3380480905233387,3.3380480905233387,6.899378011837952,4.596130132231096,0.824105762863492,6.038116585127064,88.57142857142857,0.589259841589725,17.061654335820442,0.8304714842538411,0.05581259310999588,-0.003961115757849334,3.8031558563749632,0.941732209884725,105,0,PASSED
