evaluation_run,checkpoint,dataset,protocol,aggregation,split_begin,split_end,number_of_recordings,number_of_measurements,mae_bpm,mae_standard_error_bpm,recording_macro_rmse_bpm,accuracy_within_5_bpm_percent,completion_status
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,BH-rPPG,Official,recording,0.0,1.0,105,105,4.999357078565,1.1879079053887567,4.999357078565,88.57142857142857,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,BH-rPPG,Old,window_to_recording,0.0,1.0,105,5323,12.285570228091236,1.5618679973419696,17.553129719738905,77.06180725154988,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,BH-rPPG,PRISM,window_to_recording,0.0,1.0,105,523,7.999982561383929,1.2052657319351432,10.762409362886666,82.21797323135756,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,COHFACE,Official,recording,0.0,1.0,160,160,6.92956795679568,1.0080593670094484,6.92956795679568,75.625,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,COHFACE,Old,window_to_recording,0.0,1.0,160,8242,22.037324500725568,0.9273362102838375,32.38881998733551,47.36714389711235,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,COHFACE,PRISM,window_to_recording,0.0,1.0,160,810,14.069762093680245,0.8113806140743197,19.564318497771996,52.96296296296297,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,PURE,Official,recording,0.8,1.0,12,12,0.18001800180017766,0.07349204148764314,0.18001800180017766,100.0,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,PURE,Old,window_to_recording,0.8,1.0,12,735,1.4751000396130012,0.4106757824969589,3.265036923212699,97.55102040816327,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,PURE,PRISM,window_to_recording,0.8,1.0,12,77,0.7202693394252232,0.04910132665319688,0.8948223299505118,100.0,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,TokyoTech,Official,recording,0.0,1.0,9,9,2.0402040204020437,1.0726742816515193,2.0402040204020437,88.88888888888889,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,TokyoTech,Old,window_to_recording,0.0,1.0,9,1521,4.733070348454963,1.6492793844752898,11.0652731036027,89.54635108481263,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,TokyoTech,PRISM,window_to_recording,0.0,1.0,9,153,1.8942440257352944,0.6456698651376088,4.009860758826636,92.81045751633987,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,UBFC-PHYS,Official,recording,0.0,1.0,60,60,9.495949594959495,1.957123214811034,9.495949594959495,63.33333333333333,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,UBFC-PHYS,Old,window_to_recording,0.0,1.0,60,10140,22.0732741617357,2.009962306771527,29.17048803449358,41.53846153846154,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,UBFC-PHYS,PRISM,window_to_recording,0.0,1.0,60,1020,17.27740119485294,1.5763428770796166,22.702601570330597,42.745098039215684,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,UBFC-rPPG,Official,recording,0.0,1.0,42,42,1.2215507265012195,0.2597654176350928,1.2215507265012195,92.85714285714286,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,UBFC-rPPG,Old,window_to_recording,0.0,1.0,42,2280,2.610077047507065,0.6271360870244285,4.993427407938764,93.2017543859649,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,UBFC-rPPG,PRISM,window_to_recording,0.0,1.0,42,239,1.82464599609375,0.432836420061423,2.788613660325688,92.46861924686193,PASSED
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,BH-rPPG,Official,recording,0.0,1.0,105,105,2.3813809952423823,0.3825987541484458,2.3813809952423823,93.33333333333333,PASSED
