epoch,training_loss,validation_loss,learning_rate,is_best,checkpoint
0,4.842174787369985,4.8565658115205315,2.076440281009788e-05,True,/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/UBFC_CROSS_MATCHED_SEED102/UBFC_CROSS_MATCHED_SEED102_RhythmMamba_Epoch0.pth
1,4.823480585895518,4.849553766704741,4.599073962070191e-05,True,/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/UBFC_CROSS_MATCHED_SEED102/UBFC_CROSS_MATCHED_SEED102_RhythmMamba_Epoch1.pth
2,4.785870887615062,4.8116953123183475,8.460826352582135e-05,True,/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/UBFC_CROSS_MATCHED_SEED102/UBFC_CROSS_MATCHED_SEED102_RhythmMamba_Epoch2.pth
3,4.744824038611518,4.768141746520996,0.00013191614764999712,True,/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/UBFC_CROSS_MATCHED_SEED102/UBFC_CROSS_MATCHED_SEED102_RhythmMamba_Epoch3.pth
4,4.722923586608241,4.753910614195324,0.00018215570654103882,True,/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/UBFC_CROSS_MATCHED_SEED102/UBFC_CROSS_MATCHED_SEED102_RhythmMamba_Epoch4.pth
5,4.707133035811167,4.6999079068501795,0.00022921138837779759,True,/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/UBFC_CROSS_MATCHED_SEED102/UBFC_CROSS_MATCHED_SEED102_RhythmMamba_Epoch5.pth
6,4.700461261486881,4.789139270782471,0.0002673552077419238,False,/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/UBFC_CROSS_MATCHED_SEED102/UBFC_CROSS_MATCHED_SEED102_RhythmMamba_Epoch6.pth
7,4.690781954104308,4.7088270777747745,0.0002919440007775453,False,/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/UBFC_CROSS_MATCHED_SEED102/UBFC_CROSS_MATCHED_SEED102_RhythmMamba_Epoch7.pth
8,4.679298590100001,4.682674684978667,0.00029999708595138694,True,/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/UBFC_CROSS_MATCHED_SEED102/UBFC_CROSS_MATCHED_SEED102_RhythmMamba_Epoch8.pth
9,4.6743714140836525,4.742502734774635,0.00029818239640100065,False,/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/UBFC_CROSS_MATCHED_SEED102/UBFC_CROSS_MATCHED_SEED102_RhythmMamba_Epoch9.pth
10,4.670679359839707,4.7461971600850426,0.00029305757038206357,False,/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/UBFC_CROSS_MATCHED_SEED102/UBFC_CROSS_MATCHED_SEED102_RhythmMamba_Epoch10.pth
11,4.667995992791716,4.682114187876383,0.00028473708803931864,True,/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/UBFC_CROSS_MATCHED_SEED102/UBFC_CROSS_MATCHED_SEED102_RhythmMamba_Epoch11.pth
12,4.666819252034344,4.675331329164051,0.00027340681519911965,True,/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/UBFC_CROSS_MATCHED_SEED102/UBFC_CROSS_MATCHED_SEED102_RhythmMamba_Epoch12.pth
13,4.665683594961015,4.657708272479829,0.0002593198514340044,True,/media/data/rPPG/Code/GitHub/Catch_The_Mamba/Mamba_Hunt/results/models/UBFC_CROSS_MATCHED_SEED102/UBFC_CROSS_MATCHED_SEED102_RhythmMamba_Epoch13.pth
