epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
0,4.9173852741,0.9928568354,4.6537284659,3.4683739755,1.2504400263,4.3348014602,1.0280114954,4.6509283177,3.0556070836,1.0735920079,1.27902315635e-05,304,74,72,86,60,292,True,0
1,4.2604157269,0.9923208224,4.6509210919,3.0885705036,0.9733810501,3.9679002886,1.0048955021,4.6488780913,2.8554764661,0.9114448614,1.5152253116e-05,273,70,92,77,84,323,True,0
2,4.3991650767,0.9955851480,4.6509810550,3.1747713585,1.0252766305,3.4754010640,0.9940985751,4.6447742574,2.5618810251,0.7147004264,1.90601404356e-05,305,78,69,74,70,291,True,0
3,4.2173058363,0.9650221647,4.6503750014,3.0775895919,0.9467118378,3.6841085050,0.9811873420,4.6454430741,2.6278773500,0.8599936111,2.44710027459e-05,297,74,78,77,70,299,False,1
4,4.0938663227,0.9577404973,4.6493552067,2.9809436078,0.9213745586,3.6933295882,0.9591660693,4.6461920738,2.6291451733,0.8723511897,3.13254534608e-05,290,76,78,77,75,306,False,2
5,3.8311652209,0.9278750000,4.6478326561,2.8323614565,0.8132288328,3.8152870698,0.9704491488,4.6480746145,2.7563546447,0.8648426626,3.95482619791e-05,298,63,67,83,85,298,False,3
6,3.6977734566,0.9135559805,4.6458959195,2.7547247746,0.7603374632,2.8819233597,0.8900572232,4.6381529895,2.1453866215,0.5585252612,4.90491793723e-05,312,64,79,73,68,284,True,0
7,3.5292359775,0.9003842925,4.6442331276,2.6183596985,0.7307994102,3.2556927111,0.9396878845,4.6412066608,2.3620535677,0.7057015648,5.97239289073e-05,308,70,69,78,71,288,False,1
8,3.2634262895,0.8750371701,4.6420949898,2.4671483072,0.6212705358,3.0292411718,0.8744003014,4.6375869342,2.2100659996,0.6442951088,7.14553505281e-05,293,64,72,97,70,303,False,2
9,3.2253510264,0.8562861945,4.6412713800,2.4365363377,0.6175573968,3.0124183011,0.8959012659,4.6384360635,2.2056720535,0.6275660806,8.41146867396e-05,275,79,81,76,85,321,False,3
10,3.1283675920,0.8428213036,4.6397843649,2.3785591686,0.5812441583,3.0616663834,0.8789734864,4.6392194636,2.2463878161,0.6394838342,9.75629957774e-05,303,63,89,64,77,293,False,4
11,2.9808349433,0.8423570375,4.6388727291,2.2767691660,0.5355943723,2.6888643054,0.8552821147,4.6340605500,1.9998694054,0.5179386116,0.000111652676554,321,66,81,70,58,275,True,0
12,2.8667738486,0.8313640340,4.6368838157,2.2179504377,0.4825506682,2.6190113433,0.8593333727,4.6338276553,1.9534868792,0.4936578529,0.000126229088647,295,77,79,66,79,301,True,0
13,2.8672846836,0.8114258371,4.6375983321,2.2102102649,0.4947892772,2.4352996845,0.7824773533,4.6306428104,1.8524861367,0.4263180146,0.000141132249543,305,64,69,79,79,291,True,0
14,2.7857498435,0.8014154682,4.6362927040,2.1793515426,0.4461151968,2.6404794687,0.8245745332,4.6335625896,1.9861680471,0.4893965613,0.000156198590517,305,81,65,69,76,291,False,1
15,2.8211465386,0.7877677211,4.6364483161,2.1946077043,0.4689852613,2.6253371889,0.8259337630,4.6337823558,1.9611336287,0.4990168028,0.000171262751874,295,75,85,72,69,301,False,2
16,2.8058016860,0.7834491234,4.6354420585,2.1682666756,0.4808451745,2.4323760318,0.8117279697,4.6291051654,1.8181456622,0.4518847922,0.000186159397838,299,64,79,70,84,297,True,0
17,2.6063741838,0.7890383869,4.6337751670,2.0416949531,0.4068715056,2.4373947428,0.7889433418,4.6285382989,1.8286726537,0.4509333833,0.00020072503119,298,77,74,80,67,298,False,1
18,2.6530797178,0.7810841211,4.6341408211,2.0833205057,0.4135423841,2.2245686054,0.7608731219,4.6262478209,1.6932862765,0.3791076026,0.000214799787717,284,77,78,76,81,312,True,0
19,2.6202783217,0.7456338206,4.6335601807,2.0584628150,0.4126887513,2.3196706091,0.7985289167,4.6288815474,1.7528876175,0.4070771468,0.000228229190798,298,66,75,80,77,298,False,1
20,2.5571298991,0.7402493026,4.6322458574,2.0084152062,0.4006647839,1.9760658617,0.6733302056,4.6222748075,1.5671596976,0.2742400978,0.000240865846846,285,83,76,84,68,311,True,0
21,2.4484296805,0.7305557632,4.6308869932,1.9570069089,0.3453115963,2.0951866329,0.7027742545,4.6227543757,1.6260970846,0.3285346430,0.000252571063021,303,67,79,77,70,293,False,1
22,2.6373968588,0.7541314900,4.6325800851,2.0532857028,0.4332848256,2.2048457195,0.7127137478,4.6252062352,1.6997915646,0.3625114139,0.000263216369444,311,67,67,73,78,285,False,2
23,2.4712833878,0.6990004818,4.6298388987,1.9634458931,0.3680373648,2.1718815302,0.6687114448,4.6248070977,1.6619090028,0.3762303664,0.000272684929211,298,70,83,74,71,298,False,3
24,2.3924882508,0.6880558885,4.6285541138,1.9053261000,0.3495509758,2.1444953479,0.7015747970,4.6238830059,1.6937084121,0.3104720952,0.000280872820727,309,72,71,64,80,287,False,4
25,2.4325136546,0.6829387310,4.6283397515,1.9186607599,0.3772651937,2.1094233370,0.6917910266,4.6218358449,1.6256400641,0.3454251132,0.000287690178294,316,67,89,64,60,280,False,5
26,2.1814161099,0.6436057231,4.6254110272,1.7661408154,0.2865541193,2.2107540075,0.7377877073,4.6225763482,1.6448635374,0.4183330154,0.000293062178424,290,81,77,80,68,306,False,6
27,2.1739168935,0.6297604342,4.6245563974,1.7707028045,0.2772619631,1.5614813427,0.5207766380,4.6111760139,1.3094358212,0.1478902616,0.00029692986106,300,73,77,80,66,296,True,0
28,1.9537523577,0.6336661349,4.6199761749,1.6167269889,0.2102921339,1.6426932595,0.5297934262,4.6119526269,1.3562348632,0.1804996206,0.00029925077669,296,87,73,69,71,300,False,1
29,2.1093572210,0.6471241329,4.6215206761,1.7042447713,0.2756875858,2.2795562992,0.9091780031,4.6243072052,1.7044710060,0.3932496515,0.000299999895385,315,68,62,64,87,281,False,2
30,2.1186636742,0.6299228092,4.6237224380,1.7286676576,0.2640114228,1.7754560724,0.5577952266,4.6162657924,1.4587661322,0.2051308114,0.000299840907969,296,65,84,68,83,300,False,3
31,2.3038389299,0.6428729166,4.6254818199,1.8509609971,0.3243033316,1.7088782586,0.5979614289,4.6142500469,1.3994116690,0.1898743235,0.000299380162113,303,77,60,75,81,293,False,4
32,2.0901242599,0.6281911303,4.6220929511,1.6927265257,0.2717594741,1.6516067982,0.5940550573,4.6121668816,1.3436927099,0.1891030422,0.0002986185857,298,72,70,66,90,298,False,5
33,1.9844786833,0.5891798673,4.6178510749,1.6307751236,0.2358676274,2.3276609477,0.8327443933,4.6252955400,1.7176386350,0.4434733669,0.000297557712442,306,65,76,80,69,290,False,6
34,1.8387355108,0.5660379901,4.6164075576,1.5462743500,0.1792535287,1.8450349709,0.6599320986,4.6148144549,1.4606130944,0.2524355262,0.000296199678797,315,75,76,63,67,281,False,7
35,2.0997405052,0.6014377359,4.6209606484,1.7147758951,0.2646770181,2.1062930745,0.7914788189,4.6238654682,1.6039201486,0.3440771881,0.000294547219663,278,80,71,78,89,318,False,8
36,1.8868415708,0.5804667025,4.6172214706,1.5774986424,0.1932495239,1.6384579702,0.5926240307,4.6117568202,1.3395026829,0.1804304695,0.000292603662875,285,75,69,83,84,311,False,9
37,1.7988169977,0.5463448163,4.6137001050,1.5142940291,0.1752540089,2.0766663118,0.6787982893,4.6200802791,1.5999748707,0.3409317289,0.000290372922495,262,90,83,82,79,334,False,10
