epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
0,1.7968490937,0.9983616733,4.6518229757,3.1943535704,1.2987639724,2.1516649950,0.9921112674,4.6531581606,3.9064855167,2.0268494258,1.27910408698e-05,197,49,34,56,42,181,True,0
1,1.7873670090,1.0036285914,4.6518436361,3.1732826031,1.2704287856,2.0513802074,0.9808246056,4.6552092507,3.7104305994,1.6411569322,1.51554725672e-05,186,55,44,44,49,192,True,0
2,1.6654442032,1.0053125664,4.6499653191,2.9287633152,1.1012510566,1.8695251192,0.9887790112,4.6543910163,3.3435385840,1.2137254313,1.90673178408e-05,180,52,51,50,45,198,True,0
3,1.6363887188,1.0095201333,4.6479519410,2.8689694114,1.0675950776,1.7282277414,0.9972371919,4.6519176846,3.0575605370,0.8422049466,2.44835985032e-05,183,40,55,49,51,195,True,0
4,1.6233125780,1.0032094042,4.6474346055,2.8453414301,1.0330686014,1.6866599946,1.0017505964,4.6503476597,2.9726197356,0.8486766018,3.13448076188e-05,169,44,60,48,57,209,True,0
5,1.4697996498,1.0267831030,4.6444866846,2.5288860129,0.8537528887,1.5698383575,1.0091967696,4.6472018469,2.7359980277,0.7165178648,3.95755632872e-05,186,51,46,42,53,192,True,0
6,1.4134750833,1.0311284620,4.6422355440,2.4144987442,0.8048490425,1.4466854385,1.0094394218,4.6435275487,2.4895951214,0.6002153784,4.908543684e-05,175,65,31,60,47,203,True,0
7,1.3633009940,1.0464994106,4.6394701332,2.3080022411,0.7426249940,1.3617519577,0.9891909531,4.6420023282,2.3278275637,0.4777986494,5.97699463517e-05,191,45,50,38,54,187,True,0
8,1.3924003467,1.0465490881,4.6406144011,2.3661811390,0.7928124020,1.4920898097,0.9956238815,4.6448564620,2.5859300636,0.6866531897,7.15117045486e-05,190,48,49,54,37,188,False,1
9,1.3047328683,1.0690198039,4.6382063684,2.1818577701,0.6566214489,1.4548725378,1.0240341686,4.6431309745,2.5001314118,0.6901012786,8.41817085055e-05,191,43,44,55,45,187,False,2
10,1.3570069775,1.0599491388,4.6384521918,2.2900342903,0.7291220086,1.2806013556,1.0069517011,4.6386977741,2.1584220262,0.4472937221,9.76407569592e-05,188,43,48,55,44,190,True,0
11,1.2766113754,1.0842643491,4.6356263135,2.1195170356,0.6087356473,1.5541422367,1.0115413291,4.6471731822,2.7036679359,0.7946702013,0.000111740979668,187,49,42,47,53,191,False,1
12,1.2784792834,1.0739420873,4.6357922554,2.1273817461,0.6310652368,1.3022348427,1.0450002602,4.6388312976,2.1864695924,0.4993172053,0.000126327462015,191,40,51,49,47,187,False,2
13,1.2973397876,1.0680106620,4.6357293432,2.1674753207,0.6244978876,1.3265241532,1.0218448991,4.6395035880,2.2443103597,0.5538487499,0.000141239947004,184,41,53,44,56,194,False,3
14,1.1719897657,1.0717608708,4.6318658899,1.9152751537,0.4907294004,1.2025770301,1.0210697980,4.6348659879,1.9967261087,0.3856397026,0.000156314595954,192,46,49,43,48,186,True,0
15,1.2778019306,1.0615705094,4.6350689060,2.1309757296,0.6000170476,1.3503683436,1.0056475435,4.6406415304,2.2984776690,0.5107358732,0.00017138578854,199,41,57,42,39,179,False,1
16,1.2136043178,1.0643216220,4.6326476329,2.0014798969,0.5332069499,1.1473543729,1.0182460581,4.6331566311,1.8874103421,0.3028079729,0.000186287942409,195,55,42,36,50,183,True,0
17,1.1912833585,1.0548375296,4.6322343438,1.9606317439,0.5044225256,1.0747322605,1.0138850939,4.6296352659,1.7439104898,0.2426884875,0.000200857332385,180,55,43,51,49,198,True,0
18,1.1491861567,1.0580401212,4.6304519593,1.8751562090,0.4443034370,1.1447161209,1.0134662742,4.6324518476,1.8840457371,0.3146328074,0.000214933889261,170,59,54,47,48,208,False,1
19,1.1459075023,1.0638919974,4.6296248234,1.8662581059,0.4551394880,1.0349100385,1.0146005619,4.6267695291,1.6639798482,0.2184287603,0.000228362958428,198,39,45,43,53,180,True,0
20,1.1197473959,1.0567017529,4.6284494223,1.8168141564,0.4133054444,1.0397407606,1.0208769912,4.6262455532,1.6711306947,0.2019312419,0.000240996999018,194,45,48,42,49,184,False,1
21,1.1747339895,1.0346798544,4.6306950428,1.9355960927,0.4920219774,1.0426802068,1.0193055414,4.6261710894,1.6776381867,0.1953352254,0.000252697204885,180,56,47,46,49,198,False,2
22,1.1036910733,1.0601625070,4.6278277175,1.7833171522,0.4435238278,1.0467240106,1.0233944745,4.6265554610,1.6840902363,0.2034155479,0.000263335029626,189,47,49,50,43,189,False,3
23,1.0860242443,1.0672343162,4.6262798284,1.7451548267,0.3940855746,1.0292658970,1.0170452050,4.6251006989,1.6517137039,0.2124042808,0.000272793598879,193,45,52,54,34,185,True,0
24,1.0523694747,1.0705630167,4.6240032640,1.6765137772,0.3363571757,1.0059986268,1.0386153130,4.6244878042,1.5965511208,0.1789458936,0.000280968994381,185,58,46,40,49,193,True,0
25,1.0164986357,1.0560076092,4.6239022351,1.6105942398,0.3242101840,0.9749695664,1.0146860225,4.6226047607,1.5440647103,0.1717650209,0.000287771395688,199,51,36,42,50,179,True,0
26,1.1208022268,1.0246150386,4.6283695761,1.8317584544,0.4285084793,0.9326280140,1.0301624446,4.6201036499,1.4531910590,0.1074654553,0.000293126067003,177,45,41,54,61,201,True,0
27,1.0923145158,1.0473742945,4.6265167736,1.7656793531,0.4082426685,0.9363553388,1.0323173841,4.6198176611,1.4597837096,0.1193707581,0.000296974178272,202,44,44,60,28,176,False,1
28,1.0608865445,1.0451206656,4.6244313553,1.7037248296,0.3725138322,0.9522397598,1.0415467535,4.6212946392,1.4878607875,0.1190061741,0.000299273451532,187,44,47,47,53,191,False,2
29,1.0531376033,1.0348962135,4.6243907762,1.6923166860,0.3459561485,0.9644439533,1.0307189567,4.6210765657,1.5166003261,0.1355214801,0.000299999737735,181,64,41,46,46,197,False,3
30,1.1559351399,1.0294066283,4.6289596129,1.9001076209,0.4340343743,1.0170459713,1.0196638573,4.6252832821,1.6262264025,0.1742285075,0.000299836114086,192,48,43,45,50,186,False,4
31,1.0686352899,1.0245340539,4.6257652757,1.7274569147,0.3722481286,0.9380485932,1.0559479634,4.6203922862,1.4537179856,0.1113383160,0.000299370741653,191,44,47,49,47,187,False,5
32,1.0373565217,1.0403219808,4.6238344788,1.6585841646,0.3205876136,0.9024740355,0.9991097428,4.6181304432,1.4053041776,0.0905920573,0.000298604557633,192,46,45,46,49,186,True,0
