epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
0,5.9356453339,1.0035177645,4.6523051870,3.2692088313,1.0826364868,5.7981517779,0.9718299825,4.6491414912,2.8704811164,0.9546444718,1.27902315635e-05,324,70,65,70,67,272,True,0
1,5.8244483743,1.0118619920,4.6511869111,3.1014933362,0.9708889707,5.8333446205,1.0046290330,4.6490841655,2.9431162035,0.9833347070,1.5152253116e-05,308,73,57,74,84,288,False,1
2,5.9379407191,0.9996304060,4.6516301360,3.2087357316,1.0863845252,5.8901245997,0.9929443606,4.6505778610,2.9779121318,1.0409579138,1.90601404356e-05,297,79,68,88,64,299,False,2
3,5.9366660918,1.0072383217,4.6521895620,3.2495730611,1.0830289381,5.8958749709,0.9957709483,4.6496993288,2.9858245478,1.0470213023,2.44710027459e-05,294,70,78,72,82,302,False,3
4,5.8461819463,1.0077991566,4.6512874693,3.1561741541,0.9933345366,5.9122783364,1.0070887030,4.6497899898,3.0330215832,1.0610706543,3.13254534608e-05,306,75,69,73,73,290,False,4
5,5.8794768289,1.0042599272,4.6520774636,3.1680991186,1.0265475456,5.9751721234,1.0065256651,4.6508535596,3.0574765608,1.1230132286,3.95482619791e-05,305,77,70,70,74,291,False,5
6,5.8754741521,1.0029625665,4.6521733687,3.1666146253,1.0227083090,5.9330179227,1.0020241072,4.6501880064,3.0165722494,1.0824253219,4.90491793723e-05,296,67,77,70,86,300,False,6
7,5.8592073389,1.0101911222,4.6513328168,3.1003417929,1.0058362446,5.8789478587,1.0171085952,4.6495001966,2.9224803479,1.0260259362,5.97239289073e-05,305,84,61,73,73,291,False,7
8,5.7760454984,1.0256238432,4.6509210311,3.0437747776,0.9199996291,5.8203801613,1.0320078669,4.6486020088,2.8251613735,0.9653764576,7.14553505281e-05,296,89,74,67,70,300,False,8
9,5.8279648947,1.0160927396,4.6515148758,3.1008741360,0.9732315172,5.7125353565,1.0083145151,4.6471963734,2.7535963244,0.8636760263,8.41146867396e-05,289,81,80,80,66,307,True,0
10,5.8499181095,1.0043181005,4.6520451347,3.1302587906,0.9970092597,5.6915131544,1.0040521049,4.6464113136,2.7129830509,0.8442915833,9.75629957774e-05,291,83,83,65,74,305,True,0
11,5.8250795531,1.0045448006,4.6517928463,3.1178737775,0.9723778257,5.8010429717,0.9959782687,4.6504120579,2.8873876442,0.9514354777,0.000111652676554,302,64,86,81,63,294,False,1
12,5.7662603071,1.0025664816,4.6513920502,3.0312620777,0.9143548964,5.8340141804,0.9945050664,4.6494640685,2.9275939093,0.9856491197,0.000126229088647,290,87,89,63,67,306,False,2
13,5.8343683409,0.9898924588,4.6513456882,3.0997566281,0.9850442530,5.9009328694,0.9907081267,4.6501090619,2.9831842664,1.0526822155,0.000141132249543,309,70,80,78,59,287,False,3
14,5.6469114227,0.9841680063,4.6507286673,2.9554648623,0.7993491768,5.8209754089,0.9737030872,4.6485919023,2.8874949975,0.9776427854,0.000156198590517,291,77,60,82,86,305,False,4
15,5.7986573405,1.0112870000,4.6521263571,3.0818614160,0.9442735542,5.7234041350,1.0097302524,4.6482477436,2.8089502291,0.8732102235,0.000171262751874,285,72,87,75,77,311,False,5
16,5.8745384376,1.0028049026,4.6535235859,3.1946451280,1.0204539571,5.7379476560,0.9930076584,4.6483021464,2.7852779518,0.8910439680,0.000186159397838,303,74,74,80,65,293,False,6
17,5.7110455468,0.9977629617,4.6516485854,2.9624373769,0.8598442554,5.7033323746,1.0096734244,4.6471549071,2.7653525959,0.8542427831,0.00020072503119,307,55,81,73,80,289,False,7
18,5.7460503418,0.9929955558,4.6519088073,3.0719824013,0.8955424136,5.7212798069,1.0150642093,4.6463578274,2.8505450750,0.8719095139,0.000214799787717,294,69,85,79,69,302,False,8
