epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
0,1.3007038808,1.0025472001,4.6523880351,3.2848528552,1.1001944322,1.1084507232,0.9807700755,4.6488072841,2.8595022784,0.9122967186,1.27902315635e-05,324,70,65,70,67,272,True,0
1,1.1949355674,1.0033393418,4.6516981925,3.1679474331,0.9942676781,1.2442084830,0.9932166717,4.6483037874,2.8858498830,1.0455651101,1.5152253116e-05,308,73,57,74,84,288,False,1
2,1.2670733257,1.0004732785,4.6524159348,3.1870189257,1.0669786362,1.4099374979,1.0024065360,4.6514364404,3.1470430362,1.2094561976,1.90601404356e-05,297,79,68,88,64,299,False,2
3,1.1737478195,0.9968639036,4.6519503945,3.1223611080,0.9743750463,1.2485137729,0.9961721673,4.6509579312,3.0498208411,1.0492793817,2.44710027459e-05,294,70,78,72,82,302,False,3
4,1.1562572254,0.9902044551,4.6514617869,3.1063792802,0.9582163289,1.1784053406,0.9960972636,4.6491551275,2.8697151549,0.9791859234,3.13254534608e-05,306,75,69,73,73,290,False,4
5,1.2262717333,0.9913344407,4.6525008822,3.1831143078,1.0280048415,1.2615209477,0.9630471623,4.6498251581,2.9671335127,1.0689115261,3.95482619791e-05,305,77,70,70,74,291,False,5
6,1.1953766250,1.0001555033,4.6515978391,3.1214319524,0.9953455317,1.1767535922,0.9705803549,4.6500060527,2.9544334226,0.9826375370,4.90491793723e-05,296,67,77,70,86,300,False,6
7,1.1043867649,0.9841741619,4.6511485913,3.0133920772,0.9075519219,1.0704688143,0.9825746332,4.6485574091,2.8872695093,0.8739538835,5.97239289073e-05,305,84,61,73,73,291,True,0
8,1.0062936312,0.9853927557,4.6512272278,2.9451232789,0.8092150673,1.2440718614,0.9878264387,4.6511125255,3.0385088859,1.0465065659,7.14553505281e-05,296,89,74,67,70,300,False,1
9,1.0011228019,0.9703846990,4.6507964934,2.9315006909,0.8070458710,1.1045100317,0.9557108244,4.6479444628,2.7685973149,0.9133678427,8.41146867396e-05,289,81,80,80,66,307,False,2
10,0.9545631969,0.9629854292,4.6499363848,2.8487807104,0.7619661029,1.0478693727,0.9281301707,4.6473784075,2.7626380673,0.8622433381,9.75629957774e-05,291,83,83,65,74,305,True,0
11,1.0777197044,0.9682455375,4.6510965936,3.0204491615,0.8840705856,1.0339074677,0.9811774136,4.6467370492,2.7506020750,0.8376719998,0.000111652676554,302,64,86,81,63,294,True,0
12,0.9573011150,0.9759212788,4.6504471286,2.8823649963,0.7621168686,1.1598031536,0.9489340395,4.6494744103,2.8415595773,0.9700163231,0.000126229088647,290,87,89,63,67,306,False,1
13,1.0055968545,0.9650356930,4.6505474820,2.9233144242,0.8125897050,1.1201915679,0.9652080025,4.6469576018,2.7825533136,0.9271500041,0.000141132249543,309,70,80,78,59,287,False,2
14,0.9052609229,0.9320886571,4.6493524865,2.8075800518,0.7188431953,0.9608665968,0.9016373870,4.6434677421,2.5616386432,0.7805391372,0.000156198590517,291,77,60,82,86,305,True,0
15,1.0080620971,0.9149149616,4.6496249141,2.9249115998,0.8250790990,0.7925270718,0.8920989834,4.6411589152,2.3208951362,0.6141072612,0.000171262751874,285,72,87,75,77,311,True,0
16,0.8532524897,0.8900381727,4.6480490537,2.7272004697,0.6752448350,1.0316846495,0.8912273622,4.6445911643,2.6283386621,0.8534392010,0.000186159397838,303,74,74,80,65,293,False,1
17,0.7991599625,0.9070734034,4.6478657114,2.6824279968,0.6177452755,0.9730987889,0.9482138699,4.6456350537,2.6277034933,0.7834559973,0.00020072503119,307,55,81,73,80,289,False,2
18,0.8313826187,0.9060578258,4.6476189242,2.6766206178,0.6501710419,0.9511341491,0.8938489580,4.6418408419,2.5111039614,0.7723643331,0.000214799787717,294,69,85,79,69,302,False,3
19,0.7934299759,0.9023819482,4.6477232523,2.6477389320,0.6129535757,1.0153227557,0.8865030029,4.6432841351,2.6055416318,0.8380221531,0.000228229190798,323,66,65,68,74,273,False,4
20,0.8469651497,0.9119719755,4.6484255471,2.7619824666,0.6645707368,0.7623029893,0.9204571046,4.6401527826,2.3488642333,0.5782115761,0.000240865846846,295,74,69,82,76,301,True,0
21,0.7864252945,0.9416326996,4.6482445570,2.6423904320,0.5980987453,0.7774982383,0.8393170563,4.6389378077,2.3166297225,0.6096348244,0.000252571063021,314,72,72,69,69,282,False,1
22,0.7613698452,0.9084913347,4.6467503989,2.6075730804,0.5796715777,0.7851865214,0.8286216344,4.6369638257,2.2567706604,0.6194622106,0.000263216369444,299,64,78,72,83,297,False,2
23,0.8144629550,0.9122886550,4.6479567809,2.6981688682,0.6320052335,0.7955251259,0.7878690385,4.6370036509,2.3336809672,0.6379513214,0.000272684929211,314,66,82,67,67,282,False,3
24,0.7427138398,0.9331047531,4.6467749416,2.5903582621,0.5560928971,0.8361494804,0.9056425280,4.6407650477,2.4545969282,0.6550209352,0.000280872820727,281,83,72,82,78,315,False,4
25,0.7116398145,0.9200750025,4.6463087997,2.5471364028,0.5276248087,0.7815614289,0.8867251772,4.6363882275,2.3204829259,0.6042164115,0.000287690178294,320,67,71,80,58,276,False,5
26,0.6336464706,0.9013172044,4.6449457335,2.4474195298,0.4533830213,0.6398082530,0.7604547182,4.6327183340,2.0527132208,0.4877173061,0.000293062178424,294,79,74,83,66,302,True,0
27,0.6533186420,0.8654895209,4.6443741050,2.4729027972,0.4802207291,0.6013595717,0.7437862553,4.6311488028,2.0178993615,0.4526022882,0.00029692986106,335,54,72,72,63,261,True,0
28,0.7094897360,0.9219013597,4.6450942315,2.5266256812,0.5251094659,1.1171276368,0.9258143174,4.6439075965,2.6319762422,0.9319647845,0.00029925077669,279,90,76,76,75,317,False,1
29,0.8031832948,0.9159911759,4.6460292483,2.6004014863,0.6199850616,0.6998167889,0.7889036405,4.6330524296,2.1183417834,0.5420360782,0.000299999895385,287,78,76,85,70,309,False,2
30,0.6317822957,0.9044769682,4.6437271809,2.4381640261,0.4508868968,0.5332276171,0.8056362349,4.6288859442,1.9018839907,0.3721003614,0.000299840907969,321,74,78,59,64,275,True,0
31,0.6093498772,0.8897212032,4.6429296404,2.3855241929,0.4314056383,0.8568296177,0.9186630334,4.6398964176,2.4053271808,0.6730970438,0.000299380162113,314,66,76,69,71,282,False,1
32,0.6773899362,0.9200218148,4.6437440975,2.4716011662,0.4933855634,0.7627174065,0.8490701844,4.6333694148,2.1853360387,0.5929033439,0.0002986185857,280,77,89,73,77,316,False,2
33,0.6227604913,0.8694252728,4.6422139814,2.3469757618,0.4488754441,0.6263046187,0.7815504028,4.6293645029,1.9828174424,0.4699945357,0.000297557712442,294,61,74,88,79,302,False,3
34,0.5178650722,0.8800247860,4.6407156535,2.2510678240,0.3418601140,0.5236241005,0.7332816588,4.6267800269,1.9192613657,0.3769677541,0.000296199678797,317,58,83,69,69,279,True,0
35,0.5979091127,0.9156839372,4.6417309102,2.3485873946,0.4147723189,0.6130470448,0.8452098671,4.6291677240,2.0397120745,0.4440050799,0.000294547219663,314,83,66,65,68,282,False,1
36,0.4860094908,0.8814934680,4.6392491584,2.2298211923,0.3097107994,0.5460566770,0.7093115286,4.6275391083,1.9492016504,0.4041943635,0.000292603662875,284,82,75,76,79,312,False,2
37,0.4966133721,0.8250324742,4.6394152257,2.2163866862,0.3316068726,0.5151113883,0.7781239415,4.6262571595,1.8112594060,0.3594865812,0.000290372922495,291,90,66,78,71,305,True,0
38,0.5386478753,0.8881383486,4.6387271625,2.2428261754,0.3610202044,0.4060637788,0.7054281188,4.6213707800,1.6833862686,0.2649781650,0.00028785949094,294,86,72,70,74,302,True,0
