epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
0,3.4448234987,1.0066073357,4.6522294307,3.2435020760,1.0616703057,3.0776544763,0.9578089946,4.6474296706,2.8860925885,0.9258013066,1.27902315635e-05,324,70,65,70,67,272,True,0
1,3.3389668881,1.0077724201,4.6512017282,3.1374124009,0.9962132921,3.3278949911,0.9839300289,4.6524314818,3.1311090859,1.2221422428,1.5152253116e-05,308,73,57,74,84,288,False,1
2,3.3011823773,1.0113504117,4.6515257919,3.0989122791,1.0153234109,3.3211283219,1.0034070766,4.6512170953,3.1204469916,1.1868325921,1.90601404356e-05,297,79,68,88,64,299,False,2
3,3.3507434954,1.0186204166,4.6510413317,3.1470193927,1.0302500509,3.0978918478,0.9997397034,4.6494669171,2.8979437754,0.9454135399,2.44710027459e-05,294,70,78,72,82,302,False,3
4,3.1960036659,1.0402877763,4.6493386198,2.9879460655,0.9409615425,3.1733946707,1.0149287341,4.6492178409,2.9704089072,1.0576600649,3.13254534608e-05,306,75,69,73,73,290,False,4
5,3.1515889168,1.0493369038,4.6493247755,2.9417214794,0.8896228621,3.1968517830,0.9966778074,4.6504579643,2.9975162636,1.0741316142,3.95482619791e-05,305,77,70,70,74,291,False,5
6,3.1392926130,1.0618077381,4.6483789290,2.9269310772,0.9381156952,2.9741279645,1.0078968026,4.6482577138,2.7725486446,0.8601189674,4.90491793723e-05,296,67,77,70,86,300,True,0
7,3.0080434604,1.0773851255,4.6476010892,2.7925663890,0.8343277785,2.9698755153,1.0230417050,4.6477840411,2.7652671151,0.9678177663,5.97239289073e-05,305,84,61,73,73,291,True,0
8,2.9323229694,1.0896997308,4.6449024917,2.7143830661,0.7924416417,2.8261108677,1.0444646795,4.6440434456,2.6172178690,0.9317643704,7.14553505281e-05,296,89,74,67,70,300,True,0
9,2.8653088080,1.1030587582,4.6446251421,2.6446970757,0.7183510515,2.6036008024,1.0691711036,4.6405732972,2.3897665166,0.7818103518,8.41146867396e-05,289,81,80,80,66,307,True,0
10,2.6276219963,1.1248423957,4.6407680703,2.4026534285,0.6302055725,2.4414160809,1.0779054180,4.6387364710,2.2258349208,0.6512168073,9.75629957774e-05,291,83,83,65,74,305,True,0
11,2.5715604116,1.1460529054,4.6400071567,2.3423498685,0.5675161881,2.4756554566,1.0370541966,4.6392029539,2.2682446164,0.7137339750,0.000111652676554,302,64,86,81,63,294,False,1
12,2.4587270525,1.1500824110,4.6376588137,2.2287105938,0.4954108744,2.4761266925,1.0136664997,4.6390559952,2.2733933957,0.6862591582,0.000126229088647,290,87,89,63,67,306,False,2
13,2.3958286975,1.1163474241,4.6365076872,2.1725592669,0.4709368128,2.4442473170,1.0129720437,4.6384356858,2.2416529501,0.6711848347,0.000141132249543,309,70,80,78,59,287,False,3
