epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
0,4.4799806704,1.0079762632,4.6518371697,3.2129427827,1.0654426165,3.9049225163,0.9594239956,4.6469580105,2.8306367986,0.8824009013,1.27902315635e-05,324,70,65,70,67,272,True,0
1,4.2929334352,1.0006112772,4.6512569741,3.1216020584,0.9712091564,4.2380692123,0.9773072213,4.6496239080,2.9935017375,1.0491060274,1.5152253116e-05,308,73,57,74,84,288,False,1
2,4.3062252582,0.9962214151,4.6516651851,3.1096340042,0.9973470029,4.2529817247,0.9924637273,4.6505365062,2.9762721867,1.0782166750,1.90601404356e-05,297,79,68,88,64,299,False,2
3,4.4044738264,0.9948800186,4.6515982263,3.1747537619,1.0307441478,4.3420851107,0.9909828034,4.6516423102,3.0508468151,1.0930417722,2.44710027459e-05,294,70,78,72,82,302,False,3
4,4.1986429115,0.9795842267,4.6504620994,3.0506483516,0.9520777056,4.3289898804,0.9882291323,4.6505628375,3.0168909562,1.1144529945,3.13254534608e-05,306,75,69,73,73,290,False,4
5,4.1245421659,0.9936528950,4.6500411578,3.0127467437,0.9130648207,4.0945711198,1.0018482007,4.6484195412,2.8963154136,0.9978860679,3.95482619791e-05,305,77,70,70,74,291,False,5
6,4.3789402094,0.9890543938,4.6515641148,3.1581145405,1.0230148175,4.4428704064,1.0033651761,4.6517649502,3.1148574445,1.1273399560,4.90491793723e-05,296,67,77,70,86,300,False,6
7,4.5210388299,0.9829310107,4.6525765681,3.2266587427,1.0977939999,4.3724496860,0.9735191642,4.6501809157,3.0367401451,1.1410056476,5.97239289073e-05,305,84,61,73,73,291,False,7
8,4.1978964870,0.9777611542,4.6507261391,3.0566821258,0.9456620584,3.9963093640,0.9541305396,4.6492838302,2.8660692023,0.9394140514,7.14553505281e-05,296,89,74,67,70,300,False,8
9,4.2778847106,0.9669341193,4.6511433621,3.0996097238,0.9848881124,3.8659175619,0.9831504698,4.6477001797,2.7838825343,0.8854049258,8.41146867396e-05,289,81,80,80,66,307,True,0
10,4.1193265179,0.9443164408,4.6501405223,2.9915804703,0.9388828246,3.9780560654,0.9133691540,4.6479255317,2.8361594429,0.9592228578,9.75629957774e-05,291,83,83,65,74,305,False,1
11,3.8789640529,0.9112799248,4.6482346618,2.8577030329,0.8390050374,3.7203852232,0.9386867509,4.6471130012,2.6502511780,0.8823967197,0.000111652676554,302,64,86,81,63,294,True,0
12,4.1645075715,0.9364533952,4.6501634873,3.0451268830,0.9320899520,3.7883623854,0.9157935420,4.6469630328,2.7212929385,0.8839105646,0.000126229088647,290,87,89,63,67,306,False,1
13,3.8452694016,0.9264656505,4.6480189106,2.8293961375,0.8305801481,3.7347972300,0.9352748208,4.6457013960,2.6525567847,0.8951853235,0.000141132249543,309,70,80,78,59,287,False,2
14,4.0701096410,0.9124652103,4.6491668560,2.9578923219,0.9297243441,3.4014351244,0.8623293236,4.6413167731,2.4353447224,0.7936244065,0.000156198590517,291,77,60,82,86,305,True,0
15,3.7453819825,0.8708414615,4.6461013916,2.7535958194,0.8176179308,3.2906415679,0.8825206315,4.6408434472,2.3647818225,0.7493555623,0.000171262751874,285,72,87,75,77,311,True,0
16,3.2120269001,0.8236107642,4.6417084636,2.4344102104,0.6128944863,3.1321307467,0.8975581774,4.6389707095,2.2708386136,0.6817803453,0.000186159397838,303,74,74,80,65,293,True,0
17,3.0834839552,0.8089871135,4.6398740455,2.3576014378,0.5640850467,2.7691915995,0.8850589735,4.6350378990,2.0296521682,0.5625275211,0.00020072503119,307,55,81,73,80,289,True,0
18,2.7711836700,0.7770612864,4.6369350101,2.1714400421,0.4443313823,2.7576987805,0.8158006490,4.6333794470,2.0156538951,0.5788847193,0.000214799787717,294,69,85,79,69,302,True,0
19,2.8236995255,0.7780759843,4.6376312595,2.1997918795,0.4682924566,2.4476971224,0.7809046948,4.6305470838,1.8493789109,0.4421372448,0.000228229190798,323,66,65,68,74,273,True,0
20,2.5766535125,0.7365593030,4.6336457041,2.0388703122,0.3904713172,2.7604971985,0.8128819055,4.6350592886,2.0336935954,0.5642271050,0.000240865846846,295,74,69,82,76,301,False,1
21,2.5469664503,0.7684482440,4.6339810871,2.0234252238,0.3698515488,2.6846864100,0.7877233516,4.6335175935,1.9895430447,0.5375987268,0.000252571063021,314,72,72,69,69,282,False,2
22,2.6712792192,0.7729406389,4.6348199908,2.0794239860,0.4372670943,2.6099068778,0.8060949182,4.6317477102,1.9159958858,0.5326919474,0.000263216369444,299,64,78,72,83,297,False,3
23,2.6048179905,0.7638376811,4.6337960774,2.0589824731,0.3930679922,2.2936789246,0.7248159012,4.6262935477,1.7401438936,0.4085718614,0.000272684929211,314,66,82,67,67,282,True,0
24,2.4585323270,0.7323132301,4.6320115736,1.9676314584,0.3444382112,2.4433932242,0.7511448752,4.6285479657,1.8429299794,0.4502342955,0.000280872820727,281,83,72,82,78,315,False,1
25,2.5672755945,0.7414357486,4.6330452605,2.0259854362,0.3930030708,2.2733302116,0.7503188547,4.6270227742,1.7153217978,0.4079445910,0.000287690178294,320,67,71,80,58,276,True,0
26,2.4731661105,0.7212092844,4.6314920963,1.9678066273,0.3611176602,2.2161964472,0.7051392066,4.6239003949,1.6784980591,0.3966706167,0.000293062178424,294,79,74,83,66,302,True,0
27,2.4172773329,0.7023775066,4.6300621161,1.9261043840,0.3506974512,2.3345388035,0.7548909497,4.6284304904,1.7525325967,0.4310279576,0.00029692986106,335,54,72,72,63,261,False,1
28,2.4069938756,0.7279842860,4.6298598443,1.9120723625,0.3493246208,2.0728237567,0.6340415416,4.6222802633,1.6095081599,0.3365073042,0.00029925077669,279,90,76,76,75,317,True,0
29,2.3698325509,0.6955025068,4.6288090680,1.8963481772,0.3343838631,1.8891207676,0.5923082194,4.6193105277,1.5139335657,0.2567255228,0.000299999895385,287,78,76,85,70,309,True,0
30,2.5238928443,0.6957348693,4.6296547691,1.9754659538,0.4092798757,1.9190993061,0.6374245727,4.6212431115,1.5108690618,0.2807453760,0.000299840907969,321,74,78,59,64,275,False,1
31,2.3172289605,0.6876422847,4.6269405960,1.8542539161,0.3254465928,1.9759954168,0.7278598059,4.6219142010,1.5224688533,0.3079546271,0.000299380162113,314,66,76,69,71,282,False,2
32,2.1556445208,0.6748269508,4.6241450886,1.7546392759,0.2660398836,1.8495553097,0.6330033239,4.6184647734,1.4524732952,0.2704813163,0.0002986185857,280,77,89,73,77,316,True,0
33,2.0540536562,0.6698699254,4.6231380725,1.6799350585,0.2401445717,1.8510931529,0.6284150396,4.6184253135,1.4768483097,0.2485618087,0.000297557712442,294,61,74,88,79,302,False,1
34,2.1341086506,0.6636536489,4.6232677466,1.7378077987,0.2635701499,1.9176918531,0.6141749195,4.6182653749,1.5085943782,0.2862625109,0.000296199678797,317,58,83,69,69,279,False,2
35,2.1211183167,0.6571388417,4.6235134906,1.7348543230,0.2548362656,1.7724101512,0.5316468524,4.6160212120,1.4319972512,0.2340835212,0.000294547219663,314,83,66,65,68,282,True,0
36,2.0788095829,0.6418163644,4.6206926019,1.7143355184,0.2361107774,1.6056161593,0.5506804942,4.6111396443,1.3450020768,0.1504779193,0.000292603662875,284,82,75,76,79,312,True,0
37,1.8768893296,0.6084335738,4.6173124601,1.5645548801,0.1906477044,1.7190829964,0.6054977535,4.6143349548,1.3968429782,0.2011405271,0.000290372922495,291,90,66,78,71,305,False,1
38,2.0165696144,0.6125160048,4.6203856820,1.6720866981,0.2219797551,1.5981439909,0.5338433849,4.6120337945,1.3385982436,0.1527770696,0.00028785949094,294,86,72,70,74,302,True,0
39,1.8370431462,0.5773085550,4.6158778779,1.5494206400,0.1721608049,1.7514735522,0.5506668609,4.6143262232,1.4010934830,0.2402466604,0.000285068429924,312,72,77,74,61,284,False,1
40,1.7132891881,0.5814542050,4.6131908494,1.4574730036,0.1395253086,1.6346082347,0.4902611433,4.6112869188,1.3620060945,0.1745499015,0.000282005360274,300,61,82,69,84,296,False,2
41,1.8942541212,0.5776342974,4.6141377519,1.5652522625,0.2134750183,1.5380291784,0.4735903117,4.6089836282,1.3133435280,0.1299675745,0.000278676450605,285,85,82,73,71,311,True,0
42,1.7816540699,0.5441148301,4.6140893610,1.5131113961,0.1597197216,1.5564270407,0.4748153717,4.6087664877,1.3197192960,0.1417446720,0.000275088404897,286,80,73,81,76,310,False,1
43,1.7645539637,0.5560943876,4.6128425566,1.4986967832,0.1546382892,1.5604700407,0.4665598877,4.6100674047,1.3175533840,0.1496047005,0.000271248448997,279,85,85,75,72,317,False,2
44,1.8539297013,0.5562360771,4.6130604936,1.5518038601,0.1908786611,1.5578590244,0.4814050445,4.6098327946,1.3136292990,0.1479486539,0.000267164316065,294,58,77,65,102,302,False,3
45,1.8121141939,0.5540813828,4.6126185968,1.5287881474,0.1725097699,1.6217486920,0.5227011264,4.6106898382,1.3336327448,0.1835757600,0.000262844231001,314,67,75,77,63,282,False,4
46,1.8221747939,0.5604321977,4.6151442656,1.5402771595,0.1698111762,1.6109547367,0.5118654308,4.6112249981,1.3353403033,0.1732413801,0.000258296893882,301,71,68,84,72,295,False,5
47,1.8207567362,0.5472234336,4.6139008279,1.5398211895,0.1714908426,1.9614575064,0.5231234462,4.6187993273,1.5755647436,0.2812680207,0.00025353146244,320,62,67,82,65,276,False,6
48,1.7504396255,0.5779448160,4.6123961890,1.4827830367,0.1520676285,1.7019904867,0.5425148660,4.6141818839,1.3735289434,0.2199585312,0.000248557533618,296,80,65,71,84,300,False,7
49,1.6913488855,0.5397525262,4.6120084916,1.4423359128,0.1410624715,1.6109022816,0.4176867906,4.6113101043,1.3576370741,0.1697277811,0.000243385124249,297,78,74,74,73,299,False,8
50,1.7127930302,0.5395381799,4.6109713100,1.4503633944,0.1545220234,1.6906509090,0.5088525070,4.6117777701,1.3843172804,0.2045631623,0.000238024650876,309,67,68,74,78,287,False,9
51,1.6169249667,0.5334518616,4.6080915912,1.3888810185,0.1213535365,1.4979189867,0.4206796219,4.6073423485,1.2735716182,0.1402114469,0.000232486908778,291,81,86,74,64,305,True,0
52,1.6504909168,0.5221735757,4.6101268474,1.4242918155,0.1217643650,1.4325500618,0.3846833783,4.6063068254,1.2487048731,0.1069085476,0.000226783050232,314,76,65,67,74,282,True,0
53,1.5888314487,0.5019094548,4.6086733101,1.3834963245,0.1049532851,1.4358946472,0.4307436227,4.6054240697,1.2405331057,0.1092127318,0.00022092456205,304,82,76,65,69,292,False,1
54,1.5972739586,0.4926467772,4.6070425558,1.3777664900,0.1209781368,1.5036751806,0.4069560004,4.6064371505,1.2888004764,0.1334834833,0.000214923242447,322,58,80,57,79,274,False,2
55,1.6462535554,0.5112311412,4.6074755496,1.4224497664,0.1215575661,1.4436033531,0.3840999897,4.6071096086,1.2397320658,0.1270513305,0.000208791177283,299,77,90,63,67,297,False,3
56,1.5358999784,0.4929353349,4.6061245099,1.3354928053,0.1018201167,1.4646574398,0.4184273369,4.6054483389,1.2620107369,0.1189611980,0.000202540715719,298,80,58,78,82,298,False,4
57,1.4789176771,0.4771457010,4.6041292728,1.2977864182,0.0857021508,1.4449632230,0.4044256203,4.6047221778,1.2608975296,0.1031805413,0.000196184445355,293,85,83,69,66,303,False,5
58,1.5563590711,0.4883322012,4.6046032746,1.3440463479,0.1146462040,1.4305793837,0.4105171283,4.6070138944,1.2410812889,0.1073946310,0.000189735166872,279,86,74,85,72,317,True,0
59,1.4696844848,0.4604493488,4.6048163760,1.2974564621,0.0801381536,1.3733816983,0.3328361271,4.6039194999,1.2215818554,0.0852326315,0.00018320586826,298,75,79,71,73,298,True,0
60,1.6053202808,0.4596053706,4.6080108617,1.3971606053,0.1162385689,1.4821514340,0.3832459535,4.6068841327,1.2641516537,0.1413505540,0.000176609698657,274,74,85,77,86,322,False,1
61,1.4544134644,0.4797811044,4.6044794921,1.2733937334,0.0850635499,1.4388167425,0.3933080326,4.6053919916,1.2402941639,0.1198609272,0.00016995994187,286,92,76,75,67,310,False,2
62,1.5861274644,0.4613135155,4.6073075973,1.3812510791,0.1126136562,1.4319734744,0.3713911427,4.6056106060,1.2482482102,0.1094470387,0.000163269989625,302,76,78,62,78,294,False,3
63,1.3653274183,0.4463166020,4.6021033165,1.2274313757,0.0486327459,1.4432314603,0.3787411722,4.6061282406,1.2566361969,0.1108469732,0.000156553314595,283,73,81,77,82,313,False,4
64,1.4364303550,0.4496581418,4.6028508788,1.2673084176,0.0791903431,1.4635911530,0.4081533540,4.6046808850,1.2645998435,0.1173606757,0.000149823443269,302,67,62,84,81,294,False,5
65,1.3472167518,0.4476938838,4.6021196058,1.2024592361,0.0552187278,1.3887204969,0.3639355461,4.6044761856,1.2265765969,0.0893567872,0.000143093928714,286,97,63,83,67,310,False,6
66,1.4239858857,0.4510498383,4.6031584612,1.2645880488,0.0691878505,1.4499838492,0.3905673128,4.6048803701,1.2591310089,0.1127394410,0.000136378323276,283,89,68,64,92,313,False,7
67,1.4324556861,0.4654170423,4.6051227806,1.2687493723,0.0706229049,1.4221399558,0.3879106134,4.6050784185,1.2506225496,0.0939352849,0.00012969015129,304,68,81,66,77,292,False,8
68,1.4354847934,0.4668714524,4.6042950585,1.2727059510,0.0694045334,1.4318710488,0.3831057885,4.6055668360,1.2551075994,0.1001422877,0.000123042881845,288,91,66,82,69,308,False,9
69,1.4318523495,0.4508976452,4.6046038666,1.2718251464,0.0698476603,1.4069386875,0.3651783660,4.6048436784,1.2356732031,0.0982298343,0.000116449901657,319,71,72,75,59,277,False,10
