epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
0,6.0963281879,0.9784323018,4.6519633525,3.1486316648,1.2486782566,6.6860165460,1.0042766838,4.6539588338,3.8780024574,1.8312023350,1.27910408698e-05,202,47,40,42,47,176,True,0
1,6.0908466294,0.9723778052,4.6523433791,3.1374754565,1.2440278048,6.2462176187,0.9678864928,4.6554608981,3.4965425628,1.3971793671,1.51554725672e-05,189,36,51,54,48,189,True,0
2,5.9243708994,0.9705757801,4.6504650999,2.9525997021,1.0797907619,5.8362906093,0.9529585384,4.6520358222,3.1913230760,0.9936631480,1.90673178408e-05,188,56,38,42,54,190,True,0
3,5.9806597321,0.9659337222,4.6504159024,2.9904560399,1.1370569884,5.9677534103,0.9836500826,4.6541274570,3.2890988781,1.1168958851,2.44835985032e-05,193,38,44,46,57,185,False,1
4,5.9136515622,0.9602002896,4.6496808769,2.9326842992,1.0719305151,5.8952923003,0.9598398135,4.6519990285,3.1472728888,1.0513253293,3.13448076188e-05,196,46,59,41,36,182,False,2
5,5.8765133651,0.9710683545,4.6483719513,2.8280001317,1.0339277579,5.7572401501,1.0195829477,4.6512064525,2.9735166368,0.9021171336,3.95755632872e-05,202,51,45,40,40,176,True,0
6,5.8473347583,0.9567092726,4.6479072596,2.8531088324,1.0080856154,5.9949891227,0.9757230918,4.6530034519,3.2675676982,1.1468410104,4.908543684e-05,195,39,46,54,44,183,False,1
7,5.8877837242,0.9501044615,4.6480029449,2.8261410761,1.0497598311,5.8998495556,1.0071779915,4.6524324871,3.1266466618,1.0459815225,5.97699463517e-05,196,55,49,42,36,182,False,2
8,5.7881049757,0.9288004908,4.6468351934,2.7525630868,0.9555095147,5.8367470832,1.0306585562,4.6526727222,3.1010818981,0.9779426387,7.15117045486e-05,198,46,46,40,48,180,False,3
9,5.6854329361,0.9391262219,4.6442122056,2.5394047606,0.8533955204,5.7968389148,1.0748510997,4.6511698042,3.0449615365,0.9306988522,8.41817085055e-05,199,56,45,38,40,179,False,4
