epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
0,1.3902486273,0.9779805538,4.6516283429,3.0986659047,1.1946525012,2.0213261303,1.0044258731,4.6539885657,3.8610358965,1.8204409611,1.27910408698e-05,202,47,40,42,47,176,True,0
1,1.4003464942,0.9766881387,4.6515824934,3.1036945209,1.2050088802,1.7272037058,0.9891707750,4.6558144024,3.5356945810,1.5293695470,1.51554725672e-05,189,36,51,54,48,189,True,0
2,1.2916781360,0.9821254813,4.6502064624,2.9772192208,1.0952529932,1.1585125429,1.0157065925,4.6526064464,3.0928794974,0.9553712294,1.90673178408e-05,188,56,38,42,54,190,True,0
3,1.3668564848,0.9907686206,4.6505424459,3.0245478910,1.1687027727,1.2905908045,1.0001262267,4.6533898989,3.2377942176,1.0905655614,2.44835985032e-05,193,38,44,46,57,185,False,1
4,1.3386747522,0.9790477724,4.6505108081,3.0260268330,1.1428652131,1.2360479860,0.9866639966,4.6520111447,3.1497860159,1.0387151932,3.13448076188e-05,196,46,59,41,36,182,False,2
5,1.1149074356,0.9744180299,4.6481819683,2.7754693813,0.9200238179,1.0916036282,0.9918207418,4.6519127165,3.0299399762,0.8932394749,3.95755632872e-05,202,51,45,40,40,176,True,0
6,1.3004773351,0.9581777409,4.6491983833,2.9452357746,1.1088418229,1.1990572129,0.9949765580,4.6521856490,3.1265328316,1.0000619020,4.908543684e-05,195,39,46,54,44,183,False,1
7,1.2428884632,0.9518398614,4.6477324092,2.8000507847,1.0525205154,1.0635097969,0.9916942744,4.6505046572,2.9281392688,0.8651709440,5.97699463517e-05,196,55,49,42,36,182,True,0
8,1.1035493511,0.9306645554,4.6461417107,2.7258083644,0.9174164237,0.9319290411,0.9721549159,4.6481260436,2.7397395497,0.7374980540,7.15117045486e-05,198,46,46,40,48,180,True,0
9,1.0867615412,0.9143960571,4.6441563399,2.5724496413,0.9038823578,1.0439632160,0.9809358574,4.6496710096,2.8687001001,0.8477760431,8.41817085055e-05,199,56,45,38,40,179,False,1
10,1.0673715179,0.8792705851,4.6438571789,2.6120571649,0.8915174100,0.9796808583,0.9880759875,4.6487242971,2.7945446537,0.7820656514,9.76407569592e-05,170,56,55,54,43,208,False,2
11,1.1018903394,0.8757704913,4.6448411386,2.6751559588,0.9267362312,1.0918116166,0.9142516159,4.6504135132,2.9056702478,0.9089612836,0.000111740979668,185,47,49,48,49,193,False,3
12,1.0691272014,0.8593227147,4.6429660182,2.5989658378,0.8972626593,1.0214251850,0.9428200949,4.6475724084,2.7510820707,0.8328611663,0.000126327462015,180,53,56,45,44,198,False,4
13,1.0466947161,0.9076091953,4.6431642285,2.5689035957,0.8651728968,0.8133559488,0.9461905865,4.6437750362,2.4242980662,0.6241178328,0.000141239947004,196,47,43,50,42,182,True,0
14,0.9587883218,0.9113278348,4.6426397934,2.4949905040,0.7765227511,1.1573200850,0.9747790910,4.6500001771,2.9757361685,0.9623642667,0.000156314595954,196,44,42,51,45,182,False,1
15,0.9155784461,0.8901417445,4.6419464293,2.4347092601,0.7375501114,1.0111203236,0.9347047079,4.6460917745,2.6561343738,0.8241793879,0.00017138578854,198,44,46,45,45,180,False,2
16,0.7891755303,0.7842097863,4.6356296287,2.1956764100,0.6323335634,0.6074798221,0.8852329674,4.6385641688,2.1092317468,0.4304332231,0.000186287942409,177,46,35,62,58,201,True,0
17,0.7625429725,0.7659115337,4.6352672350,2.1850497275,0.6093606763,0.5846785727,0.8401340854,4.6373532341,2.0790562198,0.4166517565,0.000200857332385,198,51,38,43,48,180,True,0
18,0.7068622724,0.7523285204,4.6337212457,2.0919405708,0.5563965689,0.8403773543,0.8742516989,4.6429635139,2.4626109101,0.6655270087,0.000214933889261,194,41,45,44,54,184,False,1
19,0.7319918311,0.7414214636,4.6336463292,2.1547170783,0.5837075508,0.8792524318,0.8664450413,4.6447044690,2.5134260882,0.7059634264,0.000228362958428,181,44,59,53,41,197,False,2
20,0.7821134802,0.7457108271,4.6352770089,2.2005709946,0.6329712988,0.6779632483,0.8197019072,4.6401113419,2.1881852786,0.5140228635,0.000240996999018,195,53,49,42,39,183,False,3
21,0.6819688006,0.7198865165,4.6334011517,2.1434631404,0.5379914845,0.7136430085,0.8512865577,4.6392072587,2.2238067786,0.5433856955,0.000252697204885,193,44,48,52,41,185,False,4
22,0.5271034252,0.6675697486,4.6289613487,1.8992236121,0.3935894856,0.6030667311,0.7893283691,4.6370096479,2.0719970703,0.4452010536,0.000263335029626,183,49,48,45,53,195,False,5
23,0.5701551333,0.6841968276,4.6308354019,1.9674582399,0.4333157771,0.6318862288,0.7905893314,4.6393497876,2.1897206057,0.4737683654,0.000272793598879,185,56,42,53,42,193,False,6
24,0.6465768496,0.6741112688,4.6314585222,2.0712022832,0.5117545951,0.7581216818,0.8448560238,4.6406176068,2.3226432392,0.5891504767,0.000280968994381,203,40,40,49,46,175,False,7
25,0.6157915591,0.6796918123,4.6304714844,1.9665470073,0.4798531745,0.7401600253,0.7554399649,4.6395618802,2.3287620681,0.5890720390,0.000287771395688,192,49,46,48,43,186,False,8
26,0.6333764158,0.6603824468,4.6301678779,1.9976531589,0.5012999145,0.7838513928,0.8448436748,4.6396809033,2.4068161442,0.6148826502,0.000293126067003,190,47,36,52,53,188,False,9
