epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
0,3.3283161814,0.9830285109,4.6518697764,3.1317104751,1.2421115675,4.0858951841,1.0052447228,4.6537196069,3.8848462922,1.7787671299,1.27910408698e-05,202,47,40,42,47,176,True,0
1,3.2868369256,0.9863751285,4.6511812563,3.0895618850,1.2213336863,3.7051886422,0.9876015334,4.6553506942,3.5076683680,1.3813250535,1.51554725672e-05,189,36,51,54,48,189,True,0
2,3.2601870696,0.9946869829,4.6513476220,3.0612496636,1.1671504003,3.1655273596,0.9852272193,4.6516134852,2.9684819153,0.8996523646,1.90673178408e-05,188,56,38,42,54,190,True,0
3,3.0737591433,0.9831979912,4.6490563287,2.8771195500,1.0474920336,3.2599666414,1.0236249992,4.6519096329,3.0552416279,0.9667527565,2.44835985032e-05,193,38,44,46,57,185,False,1
4,3.0544377572,0.9717840549,4.6490527133,2.8600809322,1.0274577879,3.2635684286,1.0030124698,4.6514268285,3.0629659176,1.0250242436,3.13448076188e-05,196,46,59,41,36,182,False,2
5,2.9597803512,0.9507253908,4.6482968583,2.7696352573,0.9676344190,3.2129247143,1.0568831103,4.6498986971,3.0015480768,0.9832574447,3.95755632872e-05,202,51,45,40,40,176,False,3
6,2.9989110982,0.9385019613,4.6479813964,2.8112106765,0.9934620882,3.0621744088,0.9699722381,4.6502105395,2.8681799798,0.9115127493,4.908543684e-05,195,39,46,54,44,183,True,0
7,2.7793682278,0.9058124297,4.6450563638,2.5982056295,0.9356918244,2.9331451007,1.0449256011,4.6474859601,2.7241599832,0.8291032191,5.97699463517e-05,196,55,49,42,36,182,True,0
8,2.7281021643,0.8928069740,4.6434223816,2.5495406509,0.8251407146,2.8723731132,0.9869937318,4.6473905336,2.6749743825,0.7294895892,7.15117045486e-05,198,46,46,40,48,180,True,0
9,2.4916522061,0.8584462802,4.6405221369,2.3199629765,0.7065567161,2.6693073432,1.0965938421,4.6438011487,2.4499885854,0.6089861945,8.41817085055e-05,199,56,45,38,40,179,True,0
10,2.5437808958,0.8269010826,4.6398592702,2.3784006954,0.7819712544,3.2204982076,1.0279313473,4.6494966507,3.0149119581,0.9032008803,9.76407569592e-05,170,56,55,54,43,208,False,1
