epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
0,4.6468688319,0.9787894434,4.6522552172,3.1735418247,1.2775691010,5.8396394866,1.0052115236,4.6535953249,3.8637163230,1.7748808214,1.27910408698e-05,202,47,40,42,47,176,True,0
1,4.5009033238,0.9649268619,4.6514461886,3.0897256723,1.2181921756,5.3685918899,0.9747436319,4.6553108352,3.6556919098,1.5179512668,1.51554725672e-05,189,36,51,54,48,189,True,0
2,4.5277163465,0.9665963010,4.6511621677,3.1047705406,1.2296265458,4.4320567040,0.9582716613,4.6528069451,3.2040732247,1.0363291695,1.90673178408e-05,188,56,38,42,54,190,True,0
3,4.5228738785,0.9715001892,4.6509456079,3.0828602011,1.2457136288,4.3219617299,0.9998524813,4.6526250612,3.1305495080,0.9914417795,2.44835985032e-05,193,38,44,46,57,185,True,0
4,4.0685493605,0.9549611296,4.6486839088,2.8602621543,1.0172950099,4.2573144640,0.9823477478,4.6523912339,3.1045387563,0.9563061865,3.13448076188e-05,196,46,59,41,36,182,True,0
5,3.8879188280,0.9433708954,4.6472604338,2.7281486092,0.9710960694,4.5122210185,0.9648058142,4.6538108326,3.2284320173,1.0908278000,3.95755632872e-05,202,51,45,40,40,176,False,1
6,4.0198397081,0.9181763918,4.6471381944,2.8181243296,1.0180801481,3.9910556589,0.9527585620,4.6493700436,2.8817048799,0.9187990980,4.908543684e-05,195,39,46,54,44,183,True,0
7,3.6597588945,0.9209039959,4.6456008336,2.6069965098,0.8685816047,3.8892703124,0.9731331121,4.6495842071,2.8645390828,0.8301046557,5.97699463517e-05,196,55,49,42,36,182,True,0
8,3.5991325631,0.8857485210,4.6436532162,2.5683640374,0.8536188278,3.4213886942,0.9262833260,4.6467230388,2.5700597082,0.6660723064,7.15117045486e-05,198,46,46,40,48,180,True,0
9,3.1811993702,0.8523466524,4.6394488521,2.2955048475,0.7152252150,3.6096809160,0.9379353750,4.6456274441,2.6369325433,0.7851612886,8.41817085055e-05,199,56,45,38,40,179,False,1
10,3.1465282163,0.8236984333,4.6390641404,2.3016156633,0.6801728348,3.5731324355,0.9118562233,4.6448322069,2.6312641984,0.7594970214,9.76407569592e-05,170,56,55,54,43,208,False,2
11,3.5045112403,0.8222321915,4.6417487059,2.4988815873,0.8411831698,3.8097263949,0.8992997113,4.6478576161,2.8140825113,0.8157839398,0.000111740979668,185,47,49,48,49,193,False,3
12,3.3952744714,0.8509199436,4.6409601963,2.4302183320,0.7948721020,2.9996148654,0.9222277778,4.6416459856,2.2879737650,0.5271955353,0.000126327462015,180,53,56,45,44,198,True,0
13,3.1227703889,0.8044314999,4.6379699657,2.2782767620,0.6836072588,3.1781168461,0.9029796044,4.6416821434,2.3890220347,0.6084989088,0.000141239947004,196,47,43,50,42,182,False,1
14,2.9866147407,0.7837211956,4.6366158188,2.2061876494,0.6236828916,3.8253921690,0.8598878463,4.6465963227,2.7619061652,0.8915084158,0.000156314595954,196,44,42,51,45,182,False,2
15,3.0402607211,0.8138857146,4.6371058989,2.2224964307,0.6549871447,3.4950942516,0.8369717138,4.6436979703,2.5629976749,0.7647022425,0.00017138578854,198,44,46,45,45,180,False,3
16,2.7108243698,0.7716628389,4.6337009914,2.0131056195,0.5433861238,3.0091717130,0.8480227493,4.6406253633,2.2606552010,0.5789119647,0.000186287942409,177,46,35,62,58,201,False,4
17,2.8565484178,0.7382436000,4.6337341051,2.1034728913,0.6054268393,2.7508340699,0.8516525234,4.6370197024,2.1097436928,0.4707598962,0.000200857332385,198,51,38,43,48,180,True,0
18,2.4267022105,0.6818085827,4.6302989324,1.8721201098,0.4182203393,2.7341268766,0.8057654614,4.6366626467,2.0929652078,0.4800085972,0.000214933889261,194,41,45,44,54,184,True,0
