epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
0,1.8137713855,1.0063172251,4.6520829041,3.2250158963,1.0586025691,1.6488154569,0.9713037184,4.6477539261,2.9091093896,0.9389868561,1.27902315635e-05,324,70,65,70,67,272,True,0
1,1.7366694780,1.0010841381,4.6511701481,3.0729053180,0.9458976912,1.8048865609,0.9995184370,4.6518990405,3.2099656780,1.2890488637,1.5152253116e-05,308,73,57,74,84,288,False,1
2,1.7423212448,0.9890110445,4.6513000719,3.0890381192,0.9754366635,1.7457249768,0.9775513411,4.6516682637,3.1004295256,1.0861336620,1.90601404356e-05,297,79,68,88,64,299,False,2
3,1.7483845029,0.9777470427,4.6514935910,3.1056701897,0.9880024939,1.7310045927,0.9687240898,4.6509513979,3.0745196745,1.1991262637,2.44710027459e-05,294,70,78,72,82,302,False,3
4,1.7445059511,0.9823195634,4.6512547883,3.0960841019,0.9886888378,1.6782253686,0.9690814289,4.6504358502,2.9688181258,1.0323659940,3.13254534608e-05,306,75,69,73,73,290,False,4
5,1.7036603321,0.9737776334,4.6504705224,3.0178095622,0.9239025476,1.7049760973,0.9816987135,4.6505792977,3.0172728223,1.0484132055,3.95482619791e-05,305,77,70,70,74,291,False,5
6,1.7076816071,0.9971025406,4.6508658940,3.0165221883,0.9218430455,1.7326870615,0.9951572635,4.6507676050,3.0673111600,1.1009867168,4.90491793723e-05,296,67,77,70,86,300,False,6
7,1.6981014877,1.0106061585,4.6503557071,2.9919605367,0.9519135846,1.6001868651,1.0302926875,4.6473712364,2.7882567412,0.9132411263,5.97239289073e-05,305,84,61,73,73,291,True,0
8,1.6320166068,1.0145946205,4.6484633100,2.8581954089,0.8135864703,1.5826571313,1.0092327796,4.6473767603,2.7616212213,0.9274914466,7.14553505281e-05,296,89,74,67,70,300,True,0
9,1.6319433827,1.0166847354,4.6482178893,2.8572129067,0.8507868944,1.5238128978,1.0083894250,4.6458353687,2.6442699897,0.8228236607,8.41146867396e-05,289,81,80,80,66,307,True,0
10,1.6029458478,1.0365226317,4.6471061291,2.7912826394,0.8093922178,1.4205138962,1.0530238523,4.6422337309,2.4198183053,0.7052796011,9.75629957774e-05,291,83,83,65,74,305,True,0
11,1.5616513651,1.0449385483,4.6451871923,2.7053272836,0.7688017129,1.3536107463,1.0046402324,4.6403213352,2.3053653643,0.6722477179,0.000111652676554,302,64,86,81,63,294,True,0
12,1.4381839693,1.0790782871,4.6410855095,2.4447365783,0.6398102357,1.2613084363,1.0157626387,4.6382061351,2.1163118164,0.5372575576,0.000126229088647,290,87,89,63,67,306,True,0
13,1.3863379895,1.0667950595,4.6398049745,2.3459578633,0.5694811097,1.2782066395,0.9936052530,4.6385344159,2.1589711920,0.6211146356,0.000141132249543,309,70,80,78,59,287,False,1
14,1.3711687774,1.0373194706,4.6393568180,2.3274098499,0.5735097676,1.2825765579,0.9666604655,4.6382768371,2.1784888614,0.6659811665,0.000156198590517,291,77,60,82,86,305,False,2
15,1.3155441860,1.0359603751,4.6373745899,2.2167042342,0.5164869358,1.2281593363,0.9620164462,4.6357395185,2.0715120489,0.6054452898,0.000171262751874,285,72,87,75,77,311,True,0
16,1.2602204880,1.0107497129,4.6347949457,2.1161410449,0.4480218460,1.2314655316,0.9800870558,4.6346759239,2.0708963004,0.6083388058,0.000186159397838,303,74,74,80,65,293,False,1
17,1.2167031125,0.9788235082,4.6324130545,2.0418767657,0.4256916113,1.1731997821,0.9011188064,4.6337844737,1.9859520770,0.5779933798,0.00020072503119,307,55,81,73,80,289,True,0
18,1.1618828998,0.9301524554,4.6307876766,1.9517048293,0.3551214991,1.1616035251,0.9247051539,4.6324983510,1.9533249248,0.5416966692,0.000214799787717,294,69,85,79,69,302,True,0
19,1.1866283025,0.8778135032,4.6320550202,2.0221311982,0.4305046218,1.1545245694,0.8075620160,4.6314391223,1.9860244169,0.6391093572,0.000228229190798,323,66,65,68,74,273,True,0
20,1.1126916209,0.8460106114,4.6274240865,1.8869789655,0.3388476232,1.1328150498,0.8862604917,4.6293030466,1.9111259154,0.5315224277,0.000240865846846,295,74,69,82,76,301,True,0
21,1.0637701494,0.8458799008,4.6255127696,1.7891883274,0.3073575977,1.0172582787,0.7856804063,4.6264544029,1.7202444324,0.4170072050,0.000252571063021,314,72,72,69,69,282,True,0
22,1.0948371599,0.8307115096,4.6268771447,1.8573897205,0.3721687310,1.1422685369,0.8280680845,4.6312235052,1.9533099106,0.5447736859,0.000263216369444,299,64,78,72,83,297,False,1
23,1.1156136686,0.8019414140,4.6261836122,1.9104507946,0.3935054859,1.0121777507,0.8832371421,4.6244002194,1.6710606117,0.3753934971,0.000272684929211,314,66,82,67,67,282,True,0
24,1.0611600332,0.7951174222,4.6243476292,1.8042730501,0.3330792576,0.9623007790,0.7590754605,4.6221210678,1.6209713190,0.3645863680,0.000280872820727,281,83,72,82,78,315,True,0
25,1.0853944057,0.7415801727,4.6254542306,1.8741566911,0.3965105153,0.8574347457,0.5887145059,4.6174598483,1.4793836018,0.2822080740,0.000287690178294,320,67,71,80,58,276,True,0
26,0.9469539119,0.6182505256,4.6184821033,1.6466076070,0.2520900502,0.8842303614,0.5318097999,4.6208385988,1.5557368297,0.3223341342,0.000293062178424,294,79,74,83,66,302,False,1
27,0.9340229786,0.4992600327,4.6191217499,1.6683419295,0.2806337668,0.7971137329,0.5082011741,4.6130059354,1.3909469007,0.2109686392,0.00029692986106,335,54,72,72,63,261,True,0
28,0.9616459240,0.5266635062,4.6198527509,1.7126264892,0.2861616830,0.8484824416,0.4776392417,4.6202343470,1.5059091689,0.3179496793,0.00029925077669,279,90,76,76,75,317,False,1
29,0.9627227287,0.5271032769,4.6198028846,1.7146041329,0.3097538520,0.8740556078,0.5280361810,4.6157699684,1.5368966963,0.2933693795,0.000299999895385,287,78,76,85,70,309,False,2
30,0.9973136215,0.4917781003,4.6215050397,1.7979160115,0.3616392903,0.7630440159,0.3939081384,4.6137673019,1.3685247294,0.2263232979,0.000299840907969,321,74,78,59,64,275,True,0
31,0.8568943795,0.4484961313,4.6124317662,1.5343902991,0.2194423006,0.8507280342,0.5233631088,4.6139964810,1.4921108840,0.2778192877,0.000299380162113,314,66,76,69,71,282,False,1
32,0.8480008853,0.4433239830,4.6104997212,1.5186721535,0.2093819061,0.8534712544,0.5666985574,4.6145372824,1.4802631000,0.2069120223,0.0002986185857,280,77,89,73,77,316,False,2
