epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
0,3.2080452650,1.0071072894,4.6519133293,3.2733181243,1.0941471271,2.6839318678,0.9605337505,4.6482204648,2.8524370348,0.8893579756,1.27902315635e-05,324,70,65,70,67,272,True,0
1,3.0585558542,1.0019200904,4.6513948377,3.1506742183,1.0352516282,3.3934335925,0.9766634161,4.6520219221,3.1742690724,1.2022668650,1.5152253116e-05,308,73,57,74,84,288,False,1
2,3.0034620682,0.9878057217,4.6516508160,3.1384375847,1.0106457632,3.4568380938,0.9911099657,4.6527266317,3.2044677239,1.2287495276,1.90601404356e-05,297,79,68,88,64,299,False,2
3,3.0358885951,1.0018884324,4.6518878137,3.1840228298,1.0197526129,3.1898005349,0.9772175071,4.6501513828,3.0516203812,1.1157259848,2.44710027459e-05,294,70,78,72,82,302,False,3
4,2.9719180453,1.0075075802,4.6516773941,3.1577057646,0.9904950313,3.1407466090,0.9819954572,4.6507931375,3.0108947320,1.0958119321,3.13254534608e-05,306,75,69,73,73,290,False,4
5,2.8374510787,1.0329028632,4.6507380601,3.0586472294,0.9331043271,3.0527996738,1.0039342084,4.6504937705,3.0318862091,1.0470206590,3.95482619791e-05,305,77,70,70,74,291,False,5
6,2.8228710898,1.0352855889,4.6511505434,3.0707496189,0.9240632481,2.8684125411,0.9933894563,4.6501181962,2.9525122395,0.9658032671,4.90491793723e-05,296,67,77,70,86,300,False,6
7,2.9259608432,1.0261649797,4.6515186233,3.0778970350,0.9756268095,3.1205829490,1.0213225585,4.6512393828,3.0645967304,1.0750846158,5.97239289073e-05,305,84,61,73,73,291,False,7
8,2.6671722639,1.0253424556,4.6507030717,3.0095035726,0.8548639197,3.0997491038,1.0055208779,4.6511858841,3.0265540798,1.0710031986,7.14553505281e-05,296,89,74,67,70,300,False,8
9,2.9172487387,1.0278787429,4.6511611394,3.0921262383,0.9693207437,2.7634287221,0.9942941255,4.6491423025,2.8485134143,0.9262208087,8.41146867396e-05,289,81,80,80,66,307,False,9
10,2.9446626862,1.0248177340,4.6512745147,3.0816282986,0.9846460275,2.9713243262,1.0019435356,4.6499956490,2.9786101286,1.0131415345,9.75629957774e-05,291,83,83,65,74,305,False,10
11,2.8537096897,1.0094061938,4.6509169924,3.0689872751,0.9422908005,2.8670302924,0.9727987214,4.6491476715,2.9181348225,0.9714683759,0.000111652676554,302,64,86,81,63,294,False,11
12,2.8824731344,1.0024901596,4.6508135508,3.0305713247,0.9621661861,3.0699293211,0.9815758351,4.6504361475,2.9890064605,1.0631812904,0.000126229088647,290,87,89,63,67,306,False,12
13,2.6634904714,0.9891191869,4.6507243470,2.9505987039,0.8640084731,3.2198418735,0.9901603305,4.6515150628,3.0724486778,1.1268487952,0.000141132249543,309,70,80,78,59,287,False,13
14,2.7376402240,0.9762853888,4.6509384469,2.9787677951,0.8988456102,3.3397071950,0.9935083312,4.6528258386,3.1407605982,1.1779077409,0.000156198590517,291,77,60,82,86,305,False,14
15,2.6774888359,0.9867344019,4.6515797481,3.0118085298,0.8635949248,2.9756163126,0.9779221137,4.6495791968,2.9475622146,1.0215706314,0.000171262751874,285,72,87,75,77,311,False,15
16,2.7774506719,0.9857570061,4.6512305625,3.0155469763,0.9132062527,2.9553736216,0.9877814829,4.6495092937,2.9256398678,1.0132036999,0.000186159397838,303,74,74,80,65,293,False,16
17,2.5539045878,0.9928510533,4.6501914223,2.8912981629,0.8162549198,2.7553076930,0.9968079274,4.6498873017,2.8601649613,0.9204524121,0.00020072503119,307,55,81,73,80,289,False,17
18,2.7781268686,0.9878731330,4.6515812810,3.0510033665,0.9089007030,2.7067123884,0.9771969721,4.6499858150,2.8420030049,0.9003860618,0.000214799787717,294,69,85,79,69,302,False,18
19,2.8195939672,0.9719274660,4.6515147606,3.0674211675,0.9291765962,2.6043624026,0.9811161385,4.6480535222,2.7399831468,0.8615717245,0.000228229190798,323,66,65,68,74,273,True,0
20,2.9153243407,0.9865751571,4.6522558167,3.1170682299,0.9693711708,3.1632374695,0.9928085765,4.6532137177,3.0772485145,1.0976818243,0.000240865846846,295,74,69,82,76,301,False,1
21,2.7160547308,0.9919071069,4.6511163520,2.9847052625,0.8857484840,2.8292312684,0.9985461413,4.6506812542,2.8593793875,0.9573386536,0.000252571063021,314,72,72,69,69,282,False,2
22,2.7421261416,0.9776237415,4.6516032603,2.9961130891,0.8987865980,2.7638351267,0.9537759834,4.6474338259,2.7658272533,0.9408115342,0.000263216369444,299,64,78,72,83,297,False,3
23,2.7317701586,0.9659334681,4.6509790677,2.9977062149,0.8945784361,2.7994106064,0.9730860119,4.6503285990,2.8712501402,0.9434903504,0.000272684929211,314,66,82,67,67,282,False,4
24,2.4831272660,0.9574319320,4.6494822214,2.8246910732,0.7927340385,2.8712652194,0.9779612120,4.6506861154,2.8992620660,0.9754287283,0.000280872820727,281,83,72,82,78,315,False,5
25,2.4226817125,0.9518241422,4.6494103054,2.7953453672,0.7667402477,2.6790913638,0.8887626598,4.6460454000,2.7102212689,0.9118917267,0.000287690178294,320,67,71,80,58,276,False,6
26,2.5488674337,0.8989948938,4.6484708722,2.8661526066,0.8262651431,2.6164522047,0.9539372325,4.6452437686,2.6489039365,0.8817193872,0.000293062178424,294,79,74,83,66,302,False,7
27,2.8350020127,0.9346977376,4.6495007189,2.9844697402,0.9509725395,2.8181107725,0.9128874943,4.6457502625,2.7319710131,0.9762702499,0.00029692986106,335,54,72,72,63,261,False,8
28,2.0992667755,0.8462583067,4.6433841526,2.5225320470,0.6496910405,2.1596485516,0.8042914411,4.6372439087,2.2990027279,0.7120197524,0.00029925077669,279,90,76,76,75,317,True,0
29,2.2710019950,0.8426297367,4.6448662585,2.6338853228,0.7220023434,2.1144127722,0.9522391364,4.6446181892,2.4751046757,0.6525943875,0.000299999895385,287,78,76,85,70,309,True,0
30,2.4660572462,0.8855672967,4.6454991846,2.7622117740,0.7991954450,1.9944388866,0.8480339863,4.6371701166,2.1676575023,0.6414588667,0.000299840907969,321,74,78,59,64,275,True,0
31,1.8823566757,0.7775427875,4.6387826964,2.3379351405,0.5711821386,1.9674456491,1.1631982528,4.6365117098,2.2474842582,0.5864674704,0.000299380162113,314,66,76,69,71,282,True,0
32,1.8587444117,0.8272801638,4.6389786221,2.3497407164,0.5529265868,2.1299103793,0.9421987417,4.6368735425,2.1767725604,0.6986387771,0.0002986185857,280,77,89,73,77,316,False,1
33,1.8847834576,0.8230978515,4.6392387000,2.3374332598,0.5679027798,1.8506670060,0.9188598286,4.6344330156,2.0282543696,0.5799157418,0.000297557712442,294,61,74,88,79,302,True,0
34,1.8007965936,0.7881131084,4.6376414747,2.2686402734,0.5380069497,1.9098956028,0.8856675060,4.6348658847,2.0751410367,0.6069884625,0.000296199678797,317,58,83,69,69,279,False,1
35,1.8302034924,0.7843340471,4.6380403762,2.2805395286,0.5516008917,1.6712447699,0.8169294859,4.6317281537,1.9296830831,0.5127190297,0.000294547219663,314,83,66,65,68,282,True,0
36,1.8112718955,0.7803538870,4.6375269538,2.2706967024,0.5437634853,1.7274028264,0.8769567315,4.6322415525,1.9233633605,0.5355852943,0.000292603662875,284,82,75,76,79,312,False,1
37,1.5017607180,0.7921167648,4.6352331782,2.1004080740,0.4091176651,1.7167549629,0.8169473712,4.6314641531,1.9504982527,0.5328704119,0.000290372922495,291,90,66,78,71,305,False,2
38,1.8931541811,0.7778950046,4.6380222180,2.3082021515,0.5802623350,1.4373722866,0.7289004256,4.6290051535,1.8492645025,0.4146379956,0.00028785949094,294,86,72,70,74,302,True,0
39,1.5542057273,0.7472217563,4.6340675930,2.1004116039,0.4398292415,1.6673101264,0.8057857218,4.6314733369,1.9327683743,0.5114804297,0.000285068429924,312,72,77,74,61,284,False,1
40,1.4198334857,0.7913591466,4.6324721311,2.0145168952,0.3789662059,1.3560694766,0.7471072016,4.6269064507,1.7430141359,0.3854472529,0.000282005360274,300,61,82,69,84,296,True,0
