epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
0,1.7634977878,0.9845020594,4.6519201798,3.1331947317,1.2491480125,2.1323455606,1.0052951160,4.6537888482,3.8625731264,1.7494238993,1.27910408698e-05,202,47,40,42,47,176,True,0
1,1.7161615759,0.9905550568,4.6512481876,3.0361011962,1.1497367031,1.8776615926,0.9977748916,4.6540496372,3.3562132495,1.2753217001,1.51554725672e-05,189,36,51,54,48,189,True,0
2,1.7056871331,0.9942704821,4.6508252053,3.0136660104,1.1453390613,1.6731930676,0.9909963437,4.6508253370,2.9499876204,0.9834385916,1.90673178408e-05,188,56,38,42,54,190,True,0
3,1.6896436978,1.0069260610,4.6495296110,2.9765170390,1.1644227789,1.7355191344,1.0169335343,4.6522331919,3.0642648493,0.9207563809,2.44835985032e-05,193,38,44,46,57,185,False,1
4,1.6365344587,0.9904126172,4.6489982151,2.8769038607,1.0662373815,1.6953531799,0.9999898434,4.6508629390,2.9907104288,0.8917549788,3.13448076188e-05,196,46,59,41,36,182,False,2
5,1.5960186140,0.9924739303,4.6479422428,2.7950476023,1.0264409140,1.7019635677,1.0258358683,4.6508767991,2.9935927561,0.9279017823,3.95755632872e-05,202,51,45,40,40,176,False,3
6,1.6147122125,1.0151414799,4.6473953711,2.8233677748,1.0502020840,1.5621000971,1.0413177116,4.6477836518,2.7076731228,0.8057622560,4.908543684e-05,195,39,46,54,44,183,True,0
7,1.4853144077,1.0229778328,4.6444577464,2.5614376863,0.9373223864,1.4453918366,1.0523598041,4.6449379104,2.4698397296,0.6062823980,5.97699463517e-05,196,55,49,42,36,182,True,0
8,1.4532223650,1.0661775063,4.6422337754,2.4799736965,0.8172264369,1.5312189522,1.0328640654,4.6460460209,2.6492922465,0.7604788245,7.15117045486e-05,198,46,46,40,48,180,False,1
9,1.3370781809,1.0717591804,4.6392931106,2.2454527137,0.7388076151,1.4281055950,1.0161006366,4.6424991880,2.4497709456,0.6516128948,8.41817085055e-05,199,56,45,38,40,179,True,0
