epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
0,4.2542036665,0.9790078648,4.6517962299,3.1375236524,1.2448201284,5.6742855799,1.0061475674,4.6537699790,3.8523342201,1.7734444905,1.27910408698e-05,202,47,40,42,47,176,True,0
1,4.0798469031,0.9614171991,4.6514460044,3.0735191769,1.1754019308,4.6275833811,0.9760102811,4.6551826704,3.4748958338,1.3474667095,1.51554725672e-05,189,36,51,54,48,189,True,0
2,3.8903007179,0.9655347747,4.6506185658,2.9995897989,1.0986994019,3.7662402880,0.9815659591,4.6534457752,3.1532690525,0.9966463018,1.90673178408e-05,188,56,38,42,54,190,True,0
3,3.8844925146,0.9620350432,4.6492690334,2.9480713019,1.1090249492,3.3291087491,0.9803271260,4.6513479687,2.9585844994,0.8268755359,2.44835985032e-05,193,38,44,46,57,185,True,0
4,3.5266953562,0.9543862825,4.6481847284,2.7803812809,0.9728137475,3.6486110392,0.9876039902,4.6522272746,3.1546541452,0.9368815957,3.13448076188e-05,196,46,59,41,36,182,False,1
5,3.4515423295,0.9483309193,4.6466054942,2.7211126714,0.9506599320,3.6442511354,0.9698741765,4.6524740401,3.1045006343,0.9490129766,3.95755632872e-05,202,51,45,40,40,176,False,2
6,3.5805069164,0.9386607235,4.6482543390,2.8431985719,0.9855877817,3.9432337874,0.9762981415,4.6504668327,3.0310584318,1.1162224869,4.908543684e-05,195,39,46,54,44,183,False,3
7,3.4298904813,0.9326540954,4.6459246035,2.7108643232,0.9439637418,3.7435100692,0.9881457215,4.6517613956,3.0624149413,1.0073367000,5.97699463517e-05,196,55,49,42,36,182,False,4
8,3.1660455484,0.9196658904,4.6449680253,2.6184884102,0.8364340676,3.6860407012,0.9814563604,4.6515858877,3.0060929594,0.9933515117,7.15117045486e-05,198,46,46,40,48,180,False,5
9,3.0867911420,0.8814142495,4.6428142023,2.4643266378,0.8391724639,3.7796600751,0.9715122961,4.6502751850,3.0286267235,1.0355221122,8.41817085055e-05,199,56,45,38,40,179,False,6
10,3.2149822018,0.8558974919,4.6435366207,2.5592900672,0.8820788406,3.1279456275,0.9113054809,4.6462617102,2.6981161980,0.7983132070,9.76407569592e-05,170,56,55,54,43,208,True,0
11,3.2421624799,0.8799260451,4.6445378475,2.6207405890,0.8779035283,3.3911269869,0.9504642010,4.6480381330,2.8164615745,0.8964016686,0.000111740979668,185,47,49,48,49,193,False,1
12,3.1157661468,0.9019982749,4.6433311922,2.5447414085,0.8314978493,3.2826308932,0.9638073092,4.6486139207,2.8114806448,0.8420645606,0.000126327462015,180,53,56,45,44,198,False,2
13,2.9842953959,0.8951625531,4.6412369587,2.4289300000,0.7953989697,3.7438359215,0.9677756457,4.6506140164,3.0118803751,1.0221702892,0.000141239947004,196,47,43,50,42,182,False,3
14,2.7497687075,0.8463940135,4.6391533620,2.3265023837,0.7086193833,3.2509464741,0.9608129507,4.6469806399,2.7110438006,0.8516309996,0.000156314595954,196,44,42,51,45,182,False,4
15,2.6249583537,0.8433039958,4.6378237608,2.2844294152,0.6570414347,2.6208475919,0.9658634822,4.6430130731,2.4377554700,0.6043985744,0.00017138578854,198,44,46,45,45,180,True,0
16,2.5752327127,0.8304722732,4.6376910714,2.2135416036,0.6511837304,2.1451057934,0.9127923693,4.6385332017,2.1743228526,0.4376929401,0.000186287942409,177,46,35,62,58,201,True,0
17,2.6312012622,0.8158953199,4.6365100770,2.2101669766,0.6814693190,3.7371930236,0.9337707525,4.6499633517,2.9621790205,1.0346747041,0.000200857332385,198,51,38,43,48,180,False,1
18,2.2038551765,0.7767360709,4.6339779682,2.0475820183,0.5123584397,3.2620944682,0.9042077916,4.6462061564,2.6736344451,0.8722178536,0.000214933889261,194,41,45,44,54,184,False,2
19,2.4649136886,0.7825209297,4.6345301356,2.1864938711,0.6075813081,2.2368918805,0.8355433509,4.6377436820,2.1522223768,0.4968360168,0.000228362958428,181,44,59,53,41,197,False,3
20,2.2926075231,0.7388558536,4.6337218209,2.0892181674,0.5501136155,2.8952420348,0.8374064434,4.6445859682,2.5148532958,0.7351670468,0.000240996999018,195,53,49,42,39,183,False,4
21,2.3482887776,0.7236889541,4.6340066945,2.1736861480,0.5583539768,1.9960861456,0.8382426251,4.6335831688,1.9583027283,0.4246431224,0.000252697204885,193,44,48,52,41,185,True,0
22,1.9214673168,0.6664877036,4.6296254441,1.9191956602,0.4142859616,1.9522451355,0.8449584927,4.6330885433,1.9568446523,0.4024155343,0.000263335029626,183,49,48,45,53,195,True,0
