epoch,training_loss,clean_validation_loss,learning_rate,original_selected,offline_selected,online_rgb_applied,is_best,epochs_without_improvement
0,4.8419749881,4.8353240211,1.41940780276e-05,294,302,298,True,0
1,4.8165196284,4.8098403819,2.07094512992e-05,307,289,296,True,0
2,4.7959660204,4.7850621335,3.1347574852e-05,281,315,296,True,0
3,4.7762689462,4.7727762383,4.57842698923e-05,297,299,277,True,0
4,4.7599730940,4.7564337780,6.35796025953e-05,305,291,310,True,0
5,4.7420970738,4.7319590395,8.41912903434e-05,306,290,287,True,0
6,4.7266303453,4.7340088076,0.00010699122687,306,290,296,False,1
7,4.7236172849,4.7162699142,0.000131284622734,286,310,294,True,0
8,4.7058770801,4.7023844657,0.00015633117785,323,273,291,True,0
9,4.6992948167,4.6712585486,0.000181367640883,312,284,324,True,0
10,4.6927284042,4.6679078139,0.000205631068034,278,318,322,True,0
11,4.6864991668,4.6964802247,0.000228382072465,274,322,299,False,1
12,4.6803903836,4.6587520451,0.000248927355857,274,322,287,True,0
13,4.6781221940,4.6781153431,0.000266640835504,307,289,314,False,1
14,4.6815094500,4.6496155231,0.000280982723121,294,302,307,True,0
15,4.6795368931,4.6955962677,0.00029151597398,272,324,292,False,1
16,4.6777112436,4.6630893744,0.000297919605105,276,320,294,False,2
17,4.6747774182,4.6583404851,0.000299999709402,301,295,284,False,3
18,4.6728834114,4.6563697976,0.00029955821658,290,306,317,False,4
19,4.6704284873,4.6497413771,0.0002982803369,308,288,296,False,5
20,4.6641321822,4.6478385801,0.000296173216783,288,308,318,True,0
21,4.6662955476,4.6634077283,0.0002932486401,283,313,312,False,1
22,4.6706288229,4.6470363357,0.000289522962271,294,302,296,True,0
23,4.6641125071,4.6816115751,0.000285017018796,287,309,308,False,1
24,4.6678769444,4.6450008169,0.000279756008739,298,298,304,True,0
25,4.6688565312,4.6600094956,0.000273769353803,299,297,298,False,1
26,4.6638958534,4.6466715800,0.00026709053379,294,302,303,False,2
27,4.6609419496,4.6505384817,0.000259756899372,324,272,310,False,3
28,4.6608488096,4.6464310621,0.000251809463206,291,305,311,False,4
29,4.6621388237,4.6466045132,0.00024329267058,310,286,274,False,5
30,4.6592203755,4.6419464334,0.000234254150852,318,278,303,True,0
31,4.6527145629,4.6498733558,0.000224744451091,293,303,309,False,1
32,4.6511734444,4.6431834171,0.000214816753396,306,290,320,False,2
33,4.6566215170,4.6399655032,0.00020452657748,274,322,313,True,0
34,4.6561885552,4.6474681768,0.000193931470179,303,293,299,False,1
35,4.6554258270,4.6464092824,0.000183090683633,302,294,311,False,2
36,4.6469183736,4.6482390862,0.000172064843916,279,317,301,False,3
37,4.6467467826,4.6377812794,0.000160915611998,292,304,305,True,0
38,4.6497657379,4.6383364665,0.000149705338904,294,302,297,False,1
39,4.6455550002,4.6390246540,0.000138496717031,303,293,300,False,2
40,4.6441605587,4.6358078238,0.000127352429537,305,291,295,True,0
41,4.6449070009,4.6395507478,0.0001163347998,280,316,306,False,1
42,4.6427553804,4.6370789416,0.000105505442873,288,308,303,False,2
43,4.6398118806,4.6370587225,9.49249209142e-05,287,309,312,False,3
44,4.6396073527,4.6355174424,8.46524044934e-05,283,313,291,True,0
45,4.6374757946,4.6374139352,7.47453416896e-05,317,279,285,False,1
46,4.6434257110,4.6366960724,6.52591368166e-05,273,323,286,False,2
47,4.6369099425,4.6373793367,5.62468405801e-05,297,299,288,False,3
48,4.6335931720,4.6379747453,4.77588533963e-05,310,286,283,False,4
49,4.6368870191,4.6404252052,3.98426435326e-05,291,305,325,False,5
50,4.6358015745,4.6373462801,3.25424816457e-05,301,295,309,False,6
51,4.6351823487,4.6357137197,2.5899193202e-05,298,298,318,False,7
52,4.6379799267,4.6383157829,1.99499301654e-05,321,275,327,False,8
53,4.6366518264,4.6353461154,1.47279632279e-05,300,296,309,True,0
54,4.6361043917,4.6354481586,1.0262495747e-05,296,300,292,False,1
55,4.6345969815,4.6350903883,6.57850042801e-06,299,297,295,True,0
56,4.6349031205,4.6348236505,3.69657966728e-06,297,299,310,True,0
57,4.6306478545,4.6353323181,1.63285033465e-06,289,307,294,False,1
58,4.6345191098,4.6378043224,3.98853641706e-07,297,299,294,False,2
59,4.6334296489,4.6354056581,1.49059849271e-09,283,313,285,False,3
