epoch,training_loss,clean_validation_loss,learning_rate,original_selected,offline_selected,online_rgb_applied,is_best,epochs_without_improvement
0,4.8421520733,4.8530849866,1.41978210744e-05,184,194,187,True,0
1,4.8268074333,4.8318479583,2.07241951661e-05,175,203,199,True,0
2,4.8061096378,4.8114754541,3.13799027955e-05,189,189,185,True,0
3,4.7833478741,4.7807502202,4.58396753685e-05,196,182,192,True,0
4,4.7610087597,4.7809298197,6.36621240947e-05,171,207,192,False,1
5,4.7362489877,4.7716375124,8.43032135103e-05,203,175,172,True,0
6,4.7328089936,4.7944674855,0.000107132868319,189,189,168,False,1
7,4.7138404619,4.7992898986,0.000131454206626,188,190,182,False,2
8,4.7105803692,4.7040075847,0.00015652481246,176,202,186,True,0
9,4.6817321803,4.6993901752,0.00018157939824,181,197,186,True,0
10,4.6884628150,4.7197899410,0.000205853165402,209,169,209,False,1
11,4.6912324290,4.7251816704,0.000228605150098,186,192,188,False,2
12,4.6836092687,4.7123533158,0.000249140841336,189,189,192,False,3
13,4.6781496926,4.6913211868,0.000266833381129,187,191,180,True,0
14,4.6716384610,4.6757855506,0.000281142699523,202,176,206,True,0
15,4.6728169098,4.7217835608,0.000291632000384,180,198,193,False,1
16,4.6620860327,4.7342269670,0.000297981094734,200,178,196,False,2
17,4.6679317484,4.6804046222,0.000299999271486,196,182,201,False,3
18,4.6602417578,4.7140581313,0.000299544908737,206,172,182,False,4
19,4.6633502163,4.6718051593,0.000298254233553,185,193,191,True,0
20,4.6632377862,4.6791129158,0.000296134463913,197,181,196,False,1
21,4.6605963001,4.6724222410,0.000293197454429,199,179,188,False,2
22,4.6544694623,4.7108979225,0.000289459630048,174,204,162,False,3
23,4.6588300069,4.6627231462,0.000284941894202,176,202,205,True,0
24,4.6545762965,4.6648268609,0.000279669511901,199,179,175,False,1
25,4.6558665901,4.6640271732,0.000273671968446,197,181,188,False,2
26,4.6536878909,4.7069286392,0.000266982804533,188,190,195,False,3
27,4.6538457341,4.6536253066,0.00025963942868,190,188,212,True,0
28,4.6491212693,4.6590383802,0.000251682908024,195,183,205,False,1
29,4.6533198962,4.6573000136,0.000243157738654,184,194,179,False,2
30,4.6496636249,4.6852878843,0.000234111596778,186,192,190,False,3
31,4.6534346550,4.6730128197,0.000224595072088,191,187,196,False,4
32,4.6509031139,4.6537461735,0.000214661384853,191,187,196,False,5
33,4.6457054577,4.6584211032,0.00020436608828,197,181,192,False,6
34,4.6473251550,4.6576027325,0.000193766757843,189,189,189,False,7
35,4.6445934987,4.6552290235,0.000182922669299,192,186,190,False,8
36,4.6451771171,4.6623043832,0.000171894467189,196,182,181,False,9
37,4.6484024815,4.6649579048,0.000160743825692,187,191,179,False,10
