epoch,training_total_loss,training_base_loss,training_harmonic_loss,validation_total_loss,validation_base_loss,validation_harmonic_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
0,4.9674424133,4.8528460272,1.1459644121,4.9259627392,4.8406302403,0.8533261774,1.27902315635e-05,294,302,True,0
1,4.9522155691,4.8509416708,1.0127380582,4.9283422185,4.8432323840,0.8511010641,1.5152253116e-05,307,289,False,1
2,4.9490110154,4.8471301994,1.0188072200,4.9591483698,4.8441598446,1.1498856699,1.90601404356e-05,281,315,False,2
3,4.9435136014,4.8445329922,0.9898070073,4.9394913029,4.8425366414,0.9695471061,2.44710027459e-05,297,299,False,3
4,4.9307352168,4.8404862673,0.9024883629,4.9270234108,4.8447692611,0.8225399325,3.13254534608e-05,305,291,False,4
5,4.9304466664,4.8373208366,0.9312576936,4.9416595001,4.8370001657,1.0465947212,3.95482619791e-05,306,290,False,5
6,4.9241917821,4.8350239248,0.8916782909,4.9258215335,4.8231673241,1.0265424104,4.90491793723e-05,306,290,True,0
7,4.9162869741,4.8251504514,0.9113654330,4.9031723567,4.8236994743,0.7947287049,5.97239289073e-05,286,310,True,0
8,4.8842589391,4.8081325621,0.7612632073,4.9047233346,4.8160306448,0.8869273051,7.14553505281e-05,323,273,False,1
9,4.8713003709,4.7985061575,0.7279414523,4.8624807209,4.7984329013,0.6404801561,8.41146867396e-05,312,284,True,0
10,4.8451904066,4.7837841943,0.6140612504,4.8654544818,4.8009635938,0.6449093943,9.75629957774e-05,278,318,False,1
11,4.8278060183,4.7732515431,0.5455446075,4.8348158737,4.7778102082,0.5700551380,0.000111652676554,274,322,True,0
12,4.8198221034,4.7689109105,0.5091121621,4.8643270158,4.7919787556,0.7234824006,0.000126229088647,274,322,False,1
13,4.8214008376,4.7665995271,0.5480137109,4.8097550652,4.7622206799,0.4753464042,0.000141132249543,307,289,True,0
14,4.8147400242,4.7612581957,0.5348177578,4.8133497919,4.7588823987,0.5446741356,0.000156198590517,294,302,False,1
15,4.7975174885,4.7515251012,0.4599239317,4.7724878014,4.7336287437,0.3885902635,0.000171262751874,272,324,True,0
16,4.7941697332,4.7507649044,0.4340486388,4.7841154879,4.7439117122,0.4020366636,0.000186159397838,276,320,False,1
17,4.7838758718,4.7441559158,0.3971998466,4.7555778986,4.7201241208,0.3545388036,0.00020072503119,301,295,True,0
18,4.7589195367,4.7275241717,0.3139534251,4.8138088375,4.7712878562,0.4252087207,0.000214799787717,290,306,False,1
19,4.7753122189,4.7358269147,0.3948535161,4.7516179828,4.7206686193,0.3094908365,0.000228229190798,308,288,True,0
20,4.7394956646,4.7111573603,0.2833832016,4.7215196746,4.7000307789,0.2148910351,0.000240865846846,288,308,True,0
21,4.7401853120,4.7143807731,0.2580451020,4.7407255297,4.7136180989,0.2710743695,0.000252571063021,283,313,False,1
22,4.7450130034,4.7135552144,0.3145772502,4.6981229782,4.6848630224,0.1325995024,0.000263216369444,294,302,True,0
23,4.7381530480,4.7091218449,0.2903121087,4.6850293457,4.6748838610,0.1014566601,0.000272684929211,287,309,True,0
24,4.7180114784,4.6984807213,0.1953089259,4.6815893433,4.6694339591,0.1215532244,0.000280872820727,298,298,True,0
25,4.7279030205,4.7050083724,0.2289478018,4.7571353603,4.7295476678,0.2758772009,0.000287690178294,299,297,False,1
26,4.7131301349,4.6930279220,0.2010220642,4.6850679943,4.6766188423,0.0844889871,0.000293062178424,294,302,False,2
27,4.7068931784,4.6896335679,0.1725962326,4.6804282634,4.6724331100,0.0799511487,0.00029692986106,324,272,True,0
28,4.7084889732,4.6912723804,0.1721666349,4.6759252486,4.6652400091,0.1068497743,0.00029925077669,291,305,True,0
29,4.7214558205,4.6992390012,0.2221679532,4.6685360933,4.6594496021,0.0908636457,0.000299999895385,310,286,True,0
30,4.7140219516,4.6903801668,0.2364181184,4.6666873895,4.6571552227,0.0953234635,0.000299840907969,318,278,True,0
31,4.6944147564,4.6790474693,0.1536719654,4.6861391129,4.6769214048,0.0921782957,0.000299380162113,293,303,False,1
32,4.6955501313,4.6794783445,0.1607185951,4.7133537206,4.6994856364,0.1386805537,0.0002986185857,306,290,False,2
33,4.7054416733,4.6918065180,0.1363529429,4.6678459985,4.6593130904,0.0853287998,0.000297557712442,274,322,False,3
34,4.6997198130,4.6855347173,0.1418514089,4.6740192748,4.6648875831,0.0913178910,0.000296199678797,303,293,False,4
35,4.7000716933,4.6846106868,0.1546097407,4.6670453827,4.6576454856,0.0939987714,0.000294547219663,302,294,False,5
36,4.6847898048,4.6740265149,0.1076329817,4.6663363692,4.6583601964,0.0797630531,0.000292603662875,279,317,True,0
37,4.6825513488,4.6728511593,0.0970025918,4.6631359682,4.6559789893,0.0715684886,0.000290372922495,292,304,True,0
38,4.6913333291,4.6795487948,0.1178449642,4.6631080268,4.6552205395,0.0788732176,0.00028785949094,294,302,True,0
39,4.6811719997,4.6719431045,0.0922878924,4.6743331141,4.6647440923,0.0958921429,0.000285068429924,303,293,False,1
40,4.6828106042,4.6727396242,0.1007100435,4.6801676998,4.6727124933,0.0745509991,0.000282005360274,305,291,False,2
41,4.6948742739,4.6779320864,0.1694213049,4.6766549457,4.6648232534,0.1183160034,0.000278676450605,280,316,False,3
42,4.6824039037,4.6733332128,0.0907055492,4.6621006371,4.6543505842,0.0775015085,0.000275088404897,288,308,True,0
43,4.6748729296,4.6677956613,0.0707725061,4.6652752269,4.6557303528,0.0954493348,0.000271248448997,287,309,False,1
44,4.6825837097,4.6727328877,0.0985082974,4.6718566077,4.6618103919,0.1004615460,0.000267164316065,283,313,False,2
45,4.6859933898,4.6750253831,0.1096794047,4.6728416232,4.6662526502,0.0658889227,0.000262844231001,317,279,False,3
46,4.6877038079,4.6760619247,0.1164183133,4.6686050675,4.6589256076,0.0967944370,0.000258296893882,273,323,False,4
47,4.6786006185,4.6696766783,0.0892377627,4.6633639583,4.6531826923,0.1018115816,0.00025353146244,297,299,False,5
48,4.6705779165,4.6645374426,0.0604052849,4.6628128460,4.6550099943,0.0780304879,0.000248557533618,310,286,False,6
49,4.6712295065,4.6652102246,0.0601928651,4.6614295353,4.6551931369,0.0623650405,0.000243385124249,291,305,True,0
50,4.6680104300,4.6637656417,0.0424479686,4.6630640401,4.6531387738,0.0992534265,0.000238024650876,301,295,False,1
51,4.6653540054,4.6605988637,0.0475505664,4.6844903091,4.6750108112,0.0947928836,0.000232486908778,298,298,False,2
52,4.6787994628,4.6711943262,0.0760497496,4.6596428202,4.6515663878,0.0807653236,0.000226783050232,321,275,True,0
53,4.6709081919,4.6646079441,0.0630024122,4.6630387925,4.6544439947,0.0859466768,0.00022092456205,300,296,False,1
54,4.6720962140,4.6642985472,0.0779767603,4.6620224234,4.6512561464,0.1076652050,0.000214923242447,296,300,False,2
55,4.6670088864,4.6627866630,0.0422225763,4.6638423746,4.6551799093,0.0866243040,0.000208791177283,299,297,False,3
56,4.6639989879,4.6594013464,0.0459749256,4.6584086109,4.6498665314,0.0854205508,0.000202540715719,297,299,True,0
57,4.6594233929,4.6563470380,0.0307636292,4.6594771162,4.6506139520,0.0886320318,0.000196184445355,289,307,False,1
58,4.6638611147,4.6586171733,0.0524400067,4.6656504235,4.6586316220,0.0701888219,0.000189735166872,297,299,False,2
59,4.6633911325,4.6577979926,0.0559312355,4.6677438686,4.6608180690,0.0692586567,0.00018320586826,283,313,False,3
60,4.6816227740,4.6700990504,0.1152386554,4.6590095000,4.6505837007,0.0842592631,0.000176609698657,292,304,False,4
61,4.6738584634,4.6661193963,0.0773905585,4.6648241328,4.6554938725,0.0933037537,0.00016995994187,290,306,False,5
62,4.6711864855,4.6654202282,0.0576612733,4.6605002849,4.6521772347,0.0832285208,0.000163269989625,306,290,False,6
63,4.6590957578,4.6564525950,0.0264307138,4.6581847699,4.6492432619,0.0894169762,0.000156553314595,297,299,True,0
64,4.6641089484,4.6580943869,0.0601466359,4.6594189173,4.6519003286,0.0751862829,0.000149823443269,295,301,False,1
65,4.6658629059,4.6593366661,0.0652623819,4.6680308255,4.6563371188,0.1169375770,0.000143093928714,308,288,False,2
66,4.6656830007,4.6595181011,0.0616490244,4.6590037160,4.6504322770,0.0857133964,0.000136378323276,300,296,False,3
67,4.6686485790,4.6628932313,0.0575535870,4.6581367332,4.6496541717,0.0848262960,0.00012969015129,304,292,True,0
68,4.6654021532,4.6596833651,0.0571879487,4.6626705256,4.6547072832,0.0796320835,0.000123042881845,297,299,False,1
69,4.6639582071,4.6592064576,0.0475191286,4.6577182373,4.6490484399,0.0866991790,0.000116449901657,308,288,True,0
70,4.6565233333,4.6532049179,0.0331836323,4.6582741366,4.6502194962,0.0805456071,0.00010992448811,281,315,False,1
71,4.6668699476,4.6588757214,0.0799428293,4.6594335878,4.6511752017,0.0825838435,0.000103479782519,293,303,False,2
72,4.6587471514,4.6550024724,0.0374474595,4.6596018989,4.6496533914,0.0994866835,9.71287636631e-05,313,283,False,3
73,4.6616959284,4.6567664530,0.0492957586,4.6570003559,4.6488646099,0.0813586602,9.08842216495e-05,308,288,True,0
74,4.6546252110,4.6511250566,0.0350014391,4.6581967465,4.6494043647,0.0879216930,8.47587321545e-05,304,292,False,1
75,4.6467969754,4.6450796319,0.0171737061,4.6581919720,4.6494946170,0.0869756313,7.87646310988e-05,295,301,False,2
76,4.6582417904,4.6554977590,0.0274405215,4.6563078583,4.6478682679,0.0843957444,7.29139898042e-05,298,298,True,0
77,4.6511730220,4.6484170152,0.0275596011,4.6566130774,4.6481782678,0.0843506926,6.72185906836e-05,288,308,False,1
78,4.6559315112,4.6526397187,0.0329168404,4.6567745518,4.6490675815,0.0770693562,6.1689903513e-05,295,301,False,2
79,4.6530304883,4.6495941821,0.0343634228,4.6590005825,4.6502932883,0.0870720391,5.63390623324e-05,291,305,False,3
80,4.6532713743,4.6500406937,0.0323064025,4.6570517367,4.6481837174,0.0886834310,5.1176843024e-05,290,306,False,4
81,4.6517248922,4.6492005675,0.0252432103,4.6564026684,4.6475499822,0.0885273169,4.62136416104e-05,295,301,False,5
82,4.6485904591,4.6464549135,0.0213558949,4.6561180214,4.6482872777,0.0783084908,4.14594533188e-05,311,285,True,0
83,4.6462989045,4.6448871241,0.0141183007,4.6570618060,4.6488661209,0.0819579908,3.69238524516e-05,300,296,False,1
84,4.6548970274,4.6501837545,0.0471322357,4.6571835543,4.6491158845,0.0806787353,3.26159731055e-05,293,303,False,2
85,4.6511121180,4.6482715191,0.0284048208,4.6557944657,4.6477164665,0.0807788940,2.8544490776e-05,289,307,True,0
86,4.6451066804,4.6428825327,0.0222418938,4.6552484748,4.6470918965,0.0815637011,2.47176048869e-05,291,305,True,0
87,4.6474588157,4.6446344260,0.0282433410,4.6567630025,4.6485649641,0.0819779965,2.11430222769e-05,301,295,False,1
88,4.6540327456,4.6494008615,0.0463190084,4.6566901702,4.6485489375,0.0814120750,1.78279416797e-05,291,305,False,2
89,4.6521852032,4.6493681357,0.0281713475,4.6562653083,4.6473774353,0.0888795012,1.47790392265e-05,299,297,False,3
90,4.6507717395,4.6461325556,0.0463919199,4.6569545362,4.6481498557,0.0880477494,1.20024550011e-05,312,284,False,4
91,4.6568021966,4.6519084969,0.0489371033,4.6563505507,4.6477985754,0.0855200652,9.50378067455e-06,292,304,False,5
92,4.6466078374,4.6452134088,0.0139436488,4.6559180223,4.6472494076,0.0866864158,7.28804824443e-06,319,277,False,6
93,4.6539673357,4.6491019198,0.0486541608,4.6559406813,4.6473372261,0.0860354501,5.35971990098e-06,292,304,False,7
94,4.6537496516,4.6490736136,0.0467613725,4.6563081556,4.6477689805,0.0853919784,3.72267904086e-06,291,305,False,8
95,4.6526536846,4.6480072489,0.0464636015,4.6555791273,4.6469731702,0.0860570109,2.38022244651e-06,311,285,False,9
96,4.6523063775,4.6492880943,0.0301818680,4.6559560206,4.6472880066,0.0866783417,1.33505364683e-06,303,293,False,10
