epoch,training_total_loss,training_base_loss,training_harmonic_loss,validation_total_loss,validation_base_loss,validation_harmonic_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
0,4.9732366163,4.8462207355,1.2701584145,5.0006475449,4.8535641716,1.4708335865,1.27910408698e-05,378,0,True,0
1,4.9492387999,4.8403884570,1.0885029344,4.9684949421,4.8496775900,1.1881732492,1.51554725672e-05,378,0,True,0
2,4.9483931784,4.8352790484,1.1311412715,4.9216619083,4.8292473748,0.9241454023,1.90673178408e-05,378,0,True,0
3,4.9316049228,4.8282563068,1.0334856015,4.9213051705,4.8349578994,0.8634723371,2.44835985032e-05,378,0,True,0
4,4.9141503516,4.8225249613,0.9162539348,4.9382728077,4.8434335391,0.9483924381,3.13448076188e-05,378,0,False,1
5,4.8996007657,4.8139322145,0.8566849683,4.9360802560,4.8387114661,0.9736878042,3.95755632872e-05,378,0,False,2
6,4.8951444071,4.8076002131,0.8754429385,4.9131327584,4.8271562985,0.8597647260,4.908543684e-05,378,0,True,0
7,4.8690262623,4.7956201261,0.7340612623,4.8609664826,4.8079273496,0.5303913446,5.97699463517e-05,378,0,True,0
8,4.8535476513,4.7863140308,0.6723363343,4.9002733503,4.8246647290,0.7560857964,7.15117045486e-05,378,0,False,1
9,4.8218848264,4.7682389229,0.5364594150,4.8595215025,4.7983154842,0.6120599253,8.41817085055e-05,378,0,True,0
10,4.8222661170,4.7626028439,0.5966335024,4.8472062610,4.7916089557,0.5559728007,9.76407569592e-05,378,0,True,0
11,4.8441973035,4.7724727777,0.7172443432,4.8470564797,4.7900602659,0.5699622976,0.000111740979668,378,0,True,0
12,4.8250428028,4.7619566060,0.6308618525,4.8682009606,4.7967571576,0.7144377316,0.000126327462015,378,0,False,1
13,4.8169151437,4.7563000129,0.6061525014,4.8681626365,4.7935669082,0.7459577937,0.000141239947004,378,0,False,2
14,4.7827382819,4.7366189704,0.4611928222,4.8653835160,4.7997543517,0.6562911240,0.000156314595954,378,0,False,3
15,4.7807313298,4.7343204513,0.4641098057,4.8015392167,4.7535962059,0.4794299487,0.00017138578854,378,0,True,0
16,4.7472721988,4.7065381121,0.4073416190,4.7739577975,4.7481820152,0.2577577642,0.000186287942409,378,0,True,0
17,4.7661095170,4.7210963290,0.4501326447,4.8617135411,4.7920793170,0.6963422366,0.000200857332385,378,0,False,1
18,4.7327028204,4.6997672464,0.3293556347,4.8219380424,4.7801608858,0.4177720634,0.000214933889261,378,0,False,2
19,4.7743581994,4.7251649357,0.4919316701,4.8658204805,4.8003512564,0.6546930514,0.000228362958428,378,0,False,3
20,4.7710444965,4.7224599319,0.4858464422,4.7727790106,4.7508451871,0.2193379141,0.000240996999018,378,0,True,0
21,4.7519211214,4.7122130318,0.3970808880,4.7337137404,4.7160182317,0.1769552653,0.000252697204885,378,0,True,0
22,4.7131376090,4.6877161485,0.2542152417,4.7692214966,4.7454957417,0.2372574738,0.000263335029626,378,0,False,1
23,4.7436868854,4.7016769212,0.4200990092,4.8685333116,4.8120870363,0.5644628074,0.000272793598879,378,0,False,2
24,4.7326818194,4.6987199985,0.3396170101,4.8322581019,4.7789855503,0.5327258717,0.000280968994381,378,0,False,3
25,4.7530202311,4.7069986712,0.4602164419,4.8767983210,4.8080432665,0.6875508107,0.000287771395688,378,0,False,4
26,4.7397287031,4.7001294560,0.3959920350,4.7058305422,4.6963990529,0.0943151289,0.000293126067003,378,0,True,0
27,4.7328065009,4.6946710127,0.3813554429,4.7840664273,4.7503451166,0.3372134357,0.000296974178272,378,0,False,1
28,4.7076088058,4.6814551505,0.2615373641,4.7316309066,4.7208226931,0.1080822336,0.000299273451532,378,0,False,2
29,4.7311503370,4.6930604132,0.3809003392,4.7043483053,4.6977185840,0.0662976817,0.000299999737735,378,0,True,0
30,4.7037152664,4.6758229871,0.2789236052,4.7279558590,4.7165937151,0.1136210231,0.000299836114086,378,0,False,1
31,4.7141792938,4.6833785198,0.3080064792,4.7555311703,4.7383870806,0.1714419415,0.000299370741653,378,0,False,2
