epoch,training_total_loss,training_official_loss,training_rank_loss,validation_total_loss,validation_official_loss,validation_rank_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
0,4.8414560004,4.8404180476,0.0519003340,4.8380358560,4.8374755166,0.0280224926,1.27902315635e-05,294,302,True,0
1,4.8154785041,4.8145842840,0.0447103675,4.8147114717,4.8141289872,0.0291230196,1.5152253116e-05,307,289,True,0
2,4.7997719585,4.7989980646,0.0387007666,4.7932271524,4.7927430884,0.0241975883,1.90601404356e-05,281,315,True,0
3,4.7843907407,4.7837877754,0.0301495445,4.7784666210,4.7780571417,0.0204732440,2.44710027459e-05,297,299,True,0
4,4.7693247699,4.7687910899,0.0266837713,4.7714413606,4.7710490413,0.0196088036,3.13254534608e-05,305,291,True,0
5,4.7555300181,4.7551306686,0.0199659195,4.7547687865,4.7544159580,0.0176431970,3.95482619791e-05,306,290,True,0
6,4.7461458821,4.7457059150,0.0220012468,4.7338061271,4.7335713126,0.0117409603,4.90491793723e-05,306,290,True,0
7,4.7403083104,4.7399081160,0.0200091596,4.7721966768,4.7718129034,0.0191882902,5.97239289073e-05,286,310,False,1
8,4.7256240525,4.7253157916,0.0154153865,4.7297716946,4.7295110876,0.0130312616,7.14553505281e-05,323,273,True,0
9,4.7171566406,4.7168980765,0.0129312713,4.6876280215,4.6874590354,0.0084536732,8.41146867396e-05,312,284,True,0
10,4.7078854958,4.7076506071,0.0117421352,4.6912931157,4.6911424290,0.0075324790,9.75629957774e-05,278,318,False,1
11,4.6980786868,4.6978378808,0.0120376678,4.6852535458,4.6851526359,0.0050415965,0.000111652676554,274,322,True,0
12,4.6886589511,4.6884350329,0.0111977305,4.6693851607,4.6692961656,0.0044439519,0.000126229088647,274,322,True,0
13,4.6880407813,4.6878616666,0.0089612697,4.6690588555,4.6689893549,0.0034774062,0.000141132249543,307,289,True,0
14,4.6886328851,4.6884118759,0.0110511847,4.6723005431,4.6721816001,0.0059467486,0.000156198590517,294,302,False,1
15,4.6862301058,4.6860320488,0.0099030078,4.6781507158,4.6779830239,0.0083918607,0.000171262751874,272,324,False,2
16,4.6822022880,4.6819924796,0.0104894570,4.6676144352,4.6675415101,0.0036497447,0.000186159397838,276,320,True,0
17,4.6767981100,4.6766106906,0.0093702735,4.6660451951,4.6659883462,0.0028458472,0.00020072503119,301,295,True,0
18,4.6756058091,4.6754198490,0.0092991429,4.6637001285,4.6636077831,0.0046140727,0.000214799787717,290,306,True,0
19,4.6791711558,4.6790039363,0.0083584971,4.6607046870,4.6606133325,0.0045695339,0.000228229190798,308,288,True,0
20,4.6671965586,4.6670538819,0.0071315403,4.6751719760,4.6751179819,0.0026970994,0.000240865846846,288,308,False,1
21,4.6697489207,4.6696328285,0.0058033773,4.6584844961,4.6584150327,0.0034708444,0.000252571063021,283,313,True,0
22,4.6732741394,4.6731381160,0.0068040829,4.6556630320,4.6555956060,0.0033733429,0.000263216369444,294,302,True,0
23,4.6725636265,4.6724186136,0.0072499978,4.6694945979,4.6694274692,0.0033582456,0.000272684929211,287,309,False,1
24,4.6657076778,4.6656056411,0.0051022879,4.6514137565,4.6513307249,0.0041494182,0.000280872820727,298,298,True,0
25,4.6736061173,4.6734682762,0.0068868096,4.6604866610,4.6604114074,0.0037622891,0.000287690178294,299,297,False,1
