epoch,training_total_loss,training_official_loss,training_rank_loss,validation_total_loss,validation_official_loss,validation_rank_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
0,4.8435164028,4.8425352384,0.0490602620,4.8543964749,4.8532764980,0.0559957702,1.27910408698e-05,184,194,True,0
1,4.8260848283,4.8251816306,0.0451592718,4.8359691166,4.8349639938,0.0502551748,1.51554725672e-05,175,203,True,0
2,4.8094488426,4.8086568212,0.0395991723,4.8130268415,4.8122658548,0.0380488664,1.90673178408e-05,189,189,True,0
3,4.7941304338,4.7934662375,0.0332112954,4.7982536588,4.7976563862,0.0298627893,2.44835985032e-05,196,182,True,0
4,4.7790302171,4.7784721006,0.0279035205,4.7859163193,4.7853789466,0.0268699516,3.13448076188e-05,171,207,True,0
5,4.7563634449,4.7559334134,0.0215009894,4.7662079811,4.7657858122,0.0211068814,3.95755632872e-05,203,175,True,0
6,4.7496775445,4.7492019663,0.0237767820,4.7634045828,4.7630038488,0.0200378523,4.908543684e-05,189,189,True,0
7,4.7277379490,4.7273665686,0.0185678395,4.7437365396,4.7434912818,0.0122633562,5.97699463517e-05,188,190,True,0
8,4.7229822376,4.7225510481,0.0215637528,4.7509522847,4.7506601334,0.0146080023,7.15117045486e-05,176,202,False,1
9,4.6943296352,4.6940087742,0.0160401569,4.7297624225,4.7296473458,0.0057547604,8.41817085055e-05,181,197,True,0
10,4.7006920683,4.7003354370,0.0178302554,4.7213730812,4.7212779772,0.0047546964,9.76407569592e-05,209,169,True,0
11,4.7088458652,4.7083731782,0.0236332654,4.7594798951,4.7591370265,0.0171438684,0.000111740979668,186,192,False,1
12,4.6943894517,4.6939802094,0.0204606300,4.7808411962,4.7803655851,0.0237795956,0.000126327462015,189,189,False,2
13,4.6876424128,4.6872391474,0.0201681717,4.6984679222,4.6983689399,0.0049489816,0.000141239947004,187,191,True,0
14,4.6806337493,4.6802748700,0.0179470954,4.7010850861,4.7009461948,0.0069440725,0.000156314595954,202,176,False,1
15,4.6852848971,4.6849362484,0.0174307122,4.6968923205,4.6967104957,0.0090910873,0.00017138578854,180,198,True,0
16,4.6692706441,4.6689387175,0.0165997054,4.7149073192,4.7147369930,0.0085160728,0.000186287942409,200,178,False,1
17,4.6756391349,4.6753012718,0.0168951321,4.7057344709,4.7057123911,0.0011036837,0.000200857332385,196,182,False,2
18,4.6677799881,4.6674728091,0.0153629566,4.7733610789,4.7730726651,0.0144197494,0.000214933889261,206,172,False,3
19,4.6725369837,4.6722051504,0.0165906317,4.7305093992,4.7304393632,0.0035023700,0.000228362958428,185,193,False,4
20,4.6683835428,4.6679789906,0.0202265866,4.6676735015,4.6676624661,0.0005520741,0.000240996999018,197,181,True,0
21,4.6672081190,4.6668392035,0.0184478587,4.7182054202,4.7181794439,0.0012992584,0.000252697204885,199,179,False,1
22,4.6588556401,4.6586635731,0.0096056604,4.6906191145,4.6905829748,0.0018072168,0.000263335029626,174,204,False,2
23,4.6630953557,4.6627681773,0.0163629492,4.6928051858,4.6927368391,0.0034178480,0.000272793598879,176,202,False,3
24,4.6585991925,4.6583553900,0.0121896829,4.6617916879,4.6617792902,0.0006196786,0.000280968994381,199,179,True,0
25,4.6599962724,4.6597023994,0.0146894963,4.6781209900,4.6781083834,0.0006300179,0.000287771395688,197,181,False,1
26,4.6589728941,4.6586628868,0.0155001146,4.6681519236,4.6681379000,0.0007012940,0.000293126067003,188,190,False,2
27,4.6583205001,4.6579895221,0.0165494118,4.6693624814,4.6693573770,0.0002550275,0.000296974178272,190,188,False,3
28,4.6545320238,4.6543178155,0.0107074214,4.6977891014,4.6976339704,0.0077570065,0.000299273451532,195,183,False,4
29,4.6592000225,4.6588497036,0.0175154384,4.6699122429,4.6698810986,0.0015572742,0.000299999737735,184,194,False,5
30,4.6535560492,4.6532974344,0.0129283502,4.6987799690,4.6987655458,0.0007220897,0.000299836114086,186,192,False,6
31,4.6576547850,4.6573661395,0.0144277750,4.7408509073,4.7408427420,0.0004081065,0.000299370741653,191,187,False,7
32,4.6535180460,4.6532966674,0.0110682806,4.6607469150,4.6607335545,0.0006669934,0.000298604557633,191,187,True,0
33,4.6477362996,4.6475081040,0.0114116139,4.6560078485,4.6559983117,0.0004767833,0.000297539105019,197,181,True,0
34,4.6503620097,4.6501016264,0.0130206975,4.6633705548,4.6633617628,0.0004391888,0.000296176529491,189,189,False,1
35,4.6490573227,4.6487604222,0.0148388209,4.6954623268,4.6952995300,0.0081384724,0.000294519575094,192,186,False,2
36,4.6502778972,4.6500345235,0.0121728040,4.7425051780,4.7422591119,0.0123035877,0.000292571578714,196,182,False,3
37,4.6526198185,4.6523347633,0.0142509768,4.6717027074,4.6716918718,0.0005417730,0.000290336463357,187,191,False,4
38,4.6544501264,4.6542188125,0.0115673122,4.6848887489,4.6848771776,0.0005784821,0.000287818730248,189,189,False,5
39,4.6498203959,4.6495175362,0.0151426158,4.6835776556,4.6835631598,0.0007246097,0.000285023449765,170,208,False,6
40,4.6518991687,4.6516327606,0.0133203550,4.6955597378,4.6955499558,0.0004892835,0.000281956251232,186,192,False,7
41,4.6456481389,4.6454577875,0.0095176030,4.6520690464,4.6520625796,0.0003233683,0.000278623311578,198,180,True,0
42,4.6455211892,4.6453072230,0.0106968388,4.6582295100,4.6582081204,0.0010694767,0.000275031342901,184,194,False,1
43,4.6490251501,4.6488113025,0.0106929315,4.6600150154,4.6600150154,0.0000000000,0.000271187578947,181,197,False,2
44,4.6483240102,4.6480844311,0.0119793019,4.6689009530,4.6688940139,0.0003469926,0.000267099760545,180,198,False,3
45,4.6447173805,4.6444869117,0.0115261992,4.6704191435,4.6704120046,0.0003567289,0.000262776120018,186,192,False,4
