epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
0,3.4807846594,1.0135831153,4.6521760601,3.2780680944,1.0754578372,3.1401881398,0.9565168712,4.6489844446,2.9488848247,0.9505322150,1.27902315635e-05,596,0,True,0
1,3.4024221641,1.0147239162,4.6516700431,3.1994773077,1.0349073078,3.1758620801,0.9988495297,4.6500330405,2.9760921063,1.0642660547,1.5152253116e-05,596,0,False,1
2,3.3111214558,1.0172039502,4.6508842891,3.1076806984,0.9899138060,3.2461129969,1.0066034887,4.6510322620,3.0447924385,1.0626124484,1.90601404356e-05,596,0,False,2
3,3.3492642409,1.0022325756,4.6510005285,3.1488177728,1.0105847128,3.3943822848,0.9841928567,4.6520655434,3.1975435560,1.2362266438,2.44710027459e-05,596,0,False,3
4,3.3214390614,0.9824552040,4.6508873133,3.1249480344,1.0361406963,3.3080216724,0.9866959530,4.6513677015,3.1106824194,1.1854160095,3.13254534608e-05,596,0,False,4
5,3.2531700326,1.0035785365,4.6502965665,3.0524543580,0.9676935997,3.1062109656,0.9988635391,4.6491139771,2.9064383290,0.9756323254,3.95482619791e-05,596,0,True,0
6,3.1590816095,0.9811922520,4.6501422664,2.9628433221,0.8799880897,2.9930272443,1.0119353626,4.6477474052,2.7906403542,0.8565208695,4.90491793723e-05,596,0,True,0
7,3.1045830122,0.9869534441,4.6495281546,2.9071923118,0.8711741743,3.1208607191,0.9696802977,4.6491314467,2.9269247612,0.9614273805,5.97239289073e-05,596,0,False,1
8,3.0262127147,0.9713239510,4.6482988172,2.8319479859,0.7700104857,3.1072323260,1.0102220325,4.6492503154,2.9051879877,0.9801168674,7.14553505281e-05,596,0,False,2
9,2.9861105512,0.9665149074,4.6485379526,2.7928075038,0.7386937645,3.1726465070,0.9504531715,4.6495797355,2.9825557857,1.1008426152,8.41146867396e-05,596,0,False,3
10,2.8860194987,0.9487107512,4.6465700201,2.6962773160,0.7004981757,3.1322371960,0.9635801826,4.6495278594,2.9395212167,1.0460367683,9.75629957774e-05,596,0,False,4
11,3.0470910648,1.0851483097,4.6472056728,2.8300613861,0.8327142744,3.0497654104,1.0109317318,4.6472950044,2.8475790333,1.0483998772,0.000111652676554,596,0,False,5
12,3.0750668993,1.0813681743,4.6477121699,2.8587932123,0.8204231402,2.7395565634,0.9919745194,4.6437099135,2.5411616827,0.8277575567,0.000126229088647,596,0,True,0
13,2.7492714600,1.1457844141,4.6420053892,2.5201145395,0.6697748989,2.5716475109,1.0768145524,4.6423645948,2.3562847949,0.7348202157,0.000141132249543,596,0,True,0
14,2.6192104384,1.1753998531,4.6403923867,2.3841304683,0.5909525448,2.4830110135,1.1349398223,4.6386232128,2.2560230850,0.6625396230,0.000156198590517,596,0,True,0
15,2.5447639523,1.1800599402,4.6386102638,2.3087519703,0.5626360675,2.3876208144,1.0839794565,4.6378574247,2.1708249814,0.6413891764,0.000171262751874,596,0,True,0
16,2.3808389446,1.1949980099,4.6365236308,2.1418393426,0.4526493453,2.2562395505,1.1337220793,4.6340263169,2.0294951557,0.5798976677,0.000186159397838,596,0,True,0
17,2.2985039141,1.1770297425,4.6338394632,2.0630979466,0.4345265859,2.1975563811,1.1475066365,4.6318702636,1.9680550687,0.5228080432,0.00020072503119,596,0,True,0
18,2.2474272067,1.1501254467,4.6326209395,2.0174020761,0.4007913530,2.1277467152,1.0650917756,4.6316218562,1.9147283597,0.4814258171,0.000214799787717,596,0,True,0
19,2.3288137753,1.0804507380,4.6339085662,2.1127236465,0.4619953823,2.5847834055,0.9563035702,4.6415942613,2.3935227642,0.8017127359,0.000228229190798,596,0,False,1
