epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
0,0.3136675754,0.9985997421,4.6522744614,3.2877616098,1.1394762369,0.2886738084,0.9809976770,4.6478724975,2.9066541071,0.9247427080,1.27902315635e-05,294,302,True,0
1,0.3027798167,0.9843305741,4.6520194623,3.2086969158,1.0591369267,0.2895141000,0.9753244659,4.6499395432,2.8885107381,0.9444920815,1.5152253116e-05,307,289,False,1
2,0.3018422691,0.9698038165,4.6520064245,3.1905097913,1.0788150426,0.2961772889,0.9599764308,4.6506522476,3.0090294163,1.0418199587,1.90601404356e-05,281,315,False,2
3,0.2900100282,0.9441672692,4.6505876676,3.1200576917,1.0117656625,0.2906827083,0.9626260539,4.6510459788,3.0027901383,0.9815749240,2.44710027459e-05,297,299,False,3
4,0.2782752554,0.9148374780,4.6498052034,3.0143821255,0.9530775475,0.2864399436,0.9550772015,4.6494382078,2.8907787335,0.9542449481,3.13254534608e-05,305,291,True,0
5,0.2612253736,0.8893630581,4.6484173960,2.8936626415,0.8335276038,0.2678382319,0.9140166756,4.6453881635,2.6210354149,0.8503488736,3.95482619791e-05,306,290,True,0
6,0.2466490435,0.8212752854,4.6468316373,2.7952937584,0.8239398167,0.2640272476,0.8877791855,4.6446872748,2.5773912993,0.8647141240,4.90491793723e-05,306,290,True,0
7,0.2421419439,0.8168120768,4.6459947080,2.7188886700,0.7877952488,0.2508756940,0.8831194740,4.6426435879,2.4237343615,0.7425179900,5.97239289073e-05,286,310,True,0
8,0.2285699989,0.7659072492,4.6435772525,2.6186431526,0.7538854564,0.2256392004,0.8037598946,4.6382907087,2.2237652772,0.6488722129,7.14553505281e-05,323,273,True,0
9,0.2115103270,0.7371264136,4.6426090074,2.5114690281,0.6408503784,0.2111230657,0.7424030312,4.6370687609,2.1744789860,0.6264245123,8.41146867396e-05,312,284,True,0
10,0.2130686391,0.7153292630,4.6418530445,2.5313259659,0.7000278531,0.2329662287,0.8014678111,4.6412874321,2.3782371422,0.7267265831,9.75629957774e-05,278,318,False,1
11,0.1949162319,0.6931262136,4.6409669626,2.3731330497,0.5629098477,0.2003589818,0.7113120331,4.6357758200,2.0966360941,0.5809657527,0.000111652676554,274,322,True,0
12,0.1928876320,0.6705092584,4.6394192484,2.3695802017,0.5878578128,0.1944499184,0.6919927744,4.6339321818,2.0088877461,0.5605135018,0.000126229088647,274,322,True,0
13,0.1731302154,0.6409388409,4.6371315854,2.1990614017,0.4494244336,0.1943004960,0.6979846281,4.6349006071,2.0663819623,0.5470356438,0.000141132249543,307,289,True,0
