epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
0,3.5330898554,0.9954147331,4.6518781777,3.2266005974,1.0740635763,3.0842003977,0.9869326229,4.6458491969,2.8052805414,0.8153332572,1.27902315635e-05,294,302,True,0
1,3.4411444824,0.9923578165,4.6511358863,3.1384838747,1.0418904244,3.3095118349,0.9931212385,4.6499946272,3.0069618039,1.0392586357,1.5152253116e-05,307,289,False,1
2,3.3441444195,0.9933948885,4.6507830076,3.0489451277,0.9652025104,3.4117896897,0.9804582712,4.6515763270,3.0995908279,1.1610724864,1.90601404356e-05,281,315,False,2
3,3.4228503496,0.9858670455,4.6513813774,3.1238186279,1.0185832033,3.3222678637,0.9726162011,4.6510791283,3.0236247236,1.0411995092,2.44710027459e-05,297,299,False,3
4,3.2857672096,0.9909219782,4.6502914365,2.9982252025,0.8935758455,3.3153085616,0.9589837519,4.6513173425,3.0204821841,1.0302970827,3.13254534608e-05,305,291,False,4
5,3.2214952715,0.9963800843,4.6498040097,2.9390296200,0.8318962139,3.4595347039,0.9643009684,4.6517588999,3.1512397698,1.1543466689,3.95482619791e-05,306,290,False,5
6,3.2110474990,0.9766382475,4.6499808715,2.9311956575,0.8452416306,3.5173715554,0.9586195001,4.6524381080,3.2014550636,1.2419276764,4.90491793723e-05,306,290,False,6
7,3.3244419146,0.9755478137,4.6510025895,3.0357510900,0.9358131181,3.3089356175,0.9737475213,4.6503112719,3.0095145888,1.0467167551,5.97239289073e-05,286,310,False,7
8,3.2691610099,0.9587298684,4.6504567101,2.9871527397,0.9026215260,3.1506001020,0.9764046445,4.6497608098,2.8656513412,0.8966784570,7.14553505281e-05,323,273,False,8
9,3.1842610036,0.9534533588,4.6494163443,2.9103533950,0.8321691603,3.1228325924,0.9728718330,4.6480944435,2.8331274119,0.9513087691,8.41146867396e-05,312,284,False,9
10,3.2620019609,0.9663491793,4.6502779698,2.9777588716,0.9097322202,3.0895594900,0.9754651707,4.6483349552,2.8006518568,0.9381459557,9.75629957774e-05,278,318,False,10
11,3.1671476844,0.9329733289,4.6493428954,2.8960418765,0.8451114589,3.0377684847,0.9829537458,4.6480825536,2.7533206723,0.8785724392,0.000111652676554,274,322,True,0
12,3.0496633453,0.9041899571,4.6476670432,2.7914966833,0.7732862406,2.9744525265,0.9340843311,4.6464270678,2.7010087286,0.8662695800,0.000126229088647,274,322,True,0
13,2.9128979148,0.8428385074,4.6458924441,2.6717200503,0.7261015865,2.8497111735,0.8782605885,4.6435024831,2.5825399547,0.9151900356,0.000141132249543,307,289,True,0
14,2.7265392950,0.7985612074,4.6430356807,2.5034544836,0.6337259900,2.4426835915,0.8108751735,4.6389451089,2.2179112589,0.6259718669,0.000156198590517,294,302,True,0
15,2.6036474273,0.7829220151,4.6403228005,2.3878936608,0.5916945922,2.5058443639,0.8030713642,4.6382223786,2.2747445385,0.7048554157,0.000171262751874,272,324,False,1
16,2.5323437188,0.7613992547,4.6396346892,2.3264955994,0.5356825096,2.3376983729,0.8132425694,4.6379512378,2.1169552339,0.5809459408,0.000186159397838,276,320,True,0
17,2.3553285071,0.7321817019,4.6362530337,2.1606401309,0.4825200899,2.1470194606,0.7641490350,4.6315291702,1.9423192972,0.5187035784,0.00020072503119,301,295,True,0
18,2.2542213650,0.7023913952,4.6338052846,2.0702965052,0.4344655655,2.2473737698,0.7750985088,4.6340843114,2.0389754834,0.5337864246,0.000214799787717,290,306,False,1
19,2.3678573098,0.7208495460,4.6356580241,2.1746768271,0.4901053084,1.9748774055,0.6471652481,4.6281901830,1.8057174961,0.3972694177,0.000228229190798,308,288,True,0
20,2.1663024121,0.6691138760,4.6312730904,1.9948594602,0.3762018333,1.9497601785,0.6845078987,4.6283992049,1.7704203609,0.4243825039,0.000240865846846,288,308,True,0
21,2.0872078142,0.6504299545,4.6302369233,1.9215724484,0.3554939351,1.9241902782,0.6878653958,4.6268721803,1.7452211643,0.4139604385,0.000252571063021,283,313,True,0
22,2.1125867895,0.6581012927,4.6302971616,1.9424252070,0.3854135120,1.9491718682,0.6490717391,4.6274958214,1.7796153558,0.3974214490,0.000263216369444,294,302,False,1
23,1.9765727008,0.6196872364,4.6264797729,1.8221409081,0.3049436728,1.6680701507,0.5855247750,4.6191353550,1.5234707965,0.2749441023,0.000272684929211,287,309,True,0
24,1.9012236867,0.5773325362,4.6239577012,1.7580738004,0.2768333788,1.6694636082,0.5881495607,4.6182141614,1.5293171421,0.2251658401,0.000280872820727,298,298,False,1
