epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
0,8.0867357254,0.9949958724,4.6518600451,3.2358765314,1.0733639124,7.6202707167,0.9781417583,4.6462281401,2.7784141813,0.8002181951,1.27902315635e-05,294,302,True,0
1,8.0210279298,0.9752701589,4.6521658833,3.1738079410,1.0013437671,7.6983024424,0.9755344329,4.6481566677,2.8550387079,1.0294566572,1.5152253116e-05,307,289,False,1
2,7.9017452906,0.9625907632,4.6506797771,3.0585472408,0.9853239411,7.8398876933,0.9698088695,4.6503894422,2.9955366432,1.0250495246,1.90601404356e-05,281,315,False,2
3,7.8381542295,0.9465319054,4.6506268354,2.9982211606,0.9295068935,7.6813788909,0.9484367107,4.6489657613,2.8427255711,0.8845643858,2.44710027459e-05,297,299,False,3
4,7.8102083206,0.9301929534,4.6497147387,2.9744548494,0.8659929381,7.7676173495,0.9240906316,4.6490890330,2.9337101726,1.0571837348,3.13254534608e-05,305,291,False,4
5,7.7549221756,0.8953433297,4.6486205799,2.9272327151,0.8896399448,7.7068593409,0.9172965157,4.6483127421,2.8750875120,0.9837127297,3.95482619791e-05,306,290,False,5
6,7.5568152690,0.8581469731,4.6461704273,2.7390155040,0.7872978633,7.5185388280,0.8754916764,4.6456646300,2.6977760173,0.9316099781,4.90491793723e-05,306,290,True,0
7,7.4549232073,0.8534330634,4.6445355031,2.6397010192,0.7812139962,7.2672235997,0.8638925885,4.6425760628,2.4518690264,0.7471211715,5.97239289073e-05,286,310,True,0
8,7.3092426422,0.8152202500,4.6420467588,2.5041518355,0.6888052903,7.2237863479,0.8458236061,4.6413719004,2.4132498394,0.7560207016,7.14553505281e-05,323,273,True,0
9,7.2321487977,0.7942567488,4.6414001324,2.4318973586,0.6015978732,7.1404488861,0.8515664780,4.6400152925,2.3301205078,0.7407137310,8.41146867396e-05,312,284,True,0
10,7.1127980955,0.7823662714,4.6390594156,2.3172652561,0.5482356064,7.0440131534,0.8540653927,4.6378057901,2.2353946884,0.6897461035,9.75629957774e-05,278,318,True,0
11,7.0318363113,0.7531643074,4.6376086465,2.2435947329,0.5161283963,6.8216863979,0.8078763547,4.6331135762,2.0269975879,0.5818207999,0.000111652676554,274,322,True,0
12,6.9421698455,0.7287235572,4.6356722460,2.1607527557,0.4533944934,6.8257119501,0.7790323596,4.6338585878,2.0360469803,0.5331961149,0.000126229088647,274,322,False,1
13,6.9113905158,0.7289434647,4.6359165883,2.1296852219,0.4587776329,6.6370419527,0.7441737853,4.6299488080,1.8582585384,0.4726170108,0.000141132249543,307,289,True,0
14,6.9317689134,0.7441853933,4.6357030549,2.1472287114,0.4636251173,6.5952798918,0.7199227175,4.6296292404,1.8216660456,0.4340345155,0.000156198590517,294,302,True,0
15,6.7785801984,0.6964038686,4.6328966698,2.0064028093,0.4025746368,6.5577992588,0.6932559602,4.6283019920,1.7908459360,0.4030759760,0.000171262751874,272,324,True,0
16,6.8728435568,0.7109546853,4.6339814039,2.0966712124,0.4509529295,6.7067991604,0.7587184558,4.6303418581,1.9247136426,0.5293151016,0.000186159397838,276,320,False,1
17,6.6309023159,0.6742406239,4.6290923381,1.8669619600,0.3263854182,6.4911925081,0.6702115164,4.6252783429,1.7318721390,0.3936624165,0.00020072503119,301,295,True,0
18,6.6034702903,0.6536481460,4.6278033289,1.8449375293,0.3269060505,6.2279886828,0.5378370339,4.6182657774,1.5021555377,0.2347717850,0.000214799787717,290,306,True,0
19,6.7232568600,0.6677097842,4.6296656212,1.9600493284,0.4024071917,6.3874997226,0.6558821975,4.6227770285,1.6335464004,0.3247433976,0.000228229190798,308,288,False,1
20,6.5835291331,0.6386429679,4.6264777568,1.8293229029,0.3195241266,6.3038911386,0.5969297135,4.6193193460,1.5651859231,0.2566944074,0.000240865846846,288,308,False,2
21,6.5199994017,0.6261525414,4.6237607802,1.7710080419,0.3072299190,6.1893146503,0.5928897854,4.6174826560,1.4532541470,0.2295526357,0.000252571063021,283,313,True,0
22,6.6939281489,0.6322432596,4.6282118567,1.9392676994,0.4041658660,6.0965728512,0.5471444641,4.6139413165,1.3732028549,0.1612269328,0.000263216369444,294,302,True,0
23,6.5194854064,0.6213099484,4.6227997229,1.7724237442,0.3027754574,6.1724083207,0.5633757153,4.6157189840,1.4440142195,0.2254529187,0.000272684929211,287,309,False,1
24,6.3982960938,0.5710877908,4.6198304004,1.6642481009,0.2516077032,6.4535346712,0.7233998675,4.6240275680,1.6848269918,0.4123224620,0.000280872820727,298,298,False,2
25,6.5398573235,0.5842475921,4.6240025015,1.7990053372,0.3040602859,6.2279145377,0.6593818812,4.6159502500,1.4800879909,0.2296376071,0.000287690178294,299,297,False,3
26,6.4070982709,0.5820861079,4.6193614326,1.6713196383,0.2539986414,6.1001083882,0.6000732303,4.6139863188,1.3661075691,0.2020143178,0.000293062178424,294,302,False,4
27,6.3272628656,0.5606695966,4.6166470227,1.5984817439,0.2295877300,6.1841838267,0.5928310539,4.6162691054,1.4493484373,0.2515408469,0.00029692986106,324,272,False,5
28,6.4060241200,0.5669203545,4.6190972424,1.6735427596,0.2655058615,6.0452488676,0.4438698938,4.6116273001,1.3448475661,0.1774377840,0.00029925077669,291,305,True,0
29,6.3883712884,0.5270644970,4.6177172469,1.6652410798,0.2706625314,6.1434519136,0.4879589301,4.6131420569,1.4327180169,0.2398756813,0.000299999895385,310,286,False,1
30,6.4911447755,0.5462317859,4.6197825854,1.7621157585,0.3265022587,6.0096372196,0.4100978355,4.6112911980,1.3163264185,0.1699510684,0.000299840907969,318,278,True,0
31,6.2296835432,0.4757814311,4.6134999422,1.5210272834,0.2045998510,6.1004772310,0.4727120771,4.6144126112,1.3915221227,0.2150881712,0.000299380162113,293,303,False,1
32,6.1382300838,0.4675181964,4.6087104970,1.4360159836,0.1722963810,6.0498072575,0.4348875698,4.6119930032,1.3508366966,0.1776121911,0.0002986185857,306,290,False,2
33,6.2682555474,0.4985062972,4.6144516516,1.5541025160,0.2213500256,6.0166227539,0.4216453998,4.6115146860,1.3207789087,0.1553682321,0.000297557712442,274,322,False,3
34,6.3155224467,0.5002601453,4.6168936371,1.5985767825,0.2379774596,6.3065020512,0.5512864117,4.6192022918,1.5770425688,0.3066148935,0.000296199678797,303,293,False,4
35,6.4188539326,0.5362514353,4.6192283278,1.6923751271,0.3038105235,6.0471975029,0.5123057981,4.6117655457,1.3329708282,0.2069004292,0.000294547219663,302,294,False,5
36,6.2404163796,0.4950828836,4.6122993751,1.5291004677,0.1947181979,6.0065872576,0.4810472630,4.6108878061,1.2994900090,0.1754547670,0.000292603662875,279,317,True,0
