epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
0,3.3999812376,0.9772377143,4.6517205364,3.0842887485,1.2024498361,4.2880599930,1.0032544908,4.6539523806,3.9097987697,1.7761027154,1.27910408698e-05,378,0,True,0
1,3.3097035456,0.9804667272,4.6511418706,3.0007633292,1.1284685696,3.7486429850,0.9920443450,4.6543501127,3.4204139210,1.2982018230,1.51554725672e-05,378,0,True,0
2,3.2104593143,1.0076864359,4.6498177493,2.9041606156,1.0476149106,3.3788163231,0.9653616326,4.6519044467,3.0806954293,1.0504855401,1.90673178408e-05,378,0,True,0
3,3.0631144577,1.0263152892,4.6476191036,2.7618835729,0.9596779908,3.4018286115,0.9913542657,4.6513608342,3.0971664065,1.0639132318,2.44835985032e-05,378,0,False,1
4,3.0054606609,1.0287252911,4.6469483426,2.7068110862,0.9290452858,3.1524729093,1.0077443713,4.6498500234,2.8578508808,0.9307315333,3.13448076188e-05,378,0,True,0
5,2.9941922243,1.0384498109,4.6462753210,2.6937281013,0.9277423317,2.9613557770,1.0401476236,4.6477985927,2.6750558558,0.7827040735,3.95755632872e-05,378,0,True,0
6,2.9542297005,1.0628693558,4.6453297605,2.6499193446,0.9173647550,2.9621367682,1.0524828105,4.6464800426,2.6711185705,0.8052167482,4.908543684e-05,378,0,False,1
7,2.7450632128,1.0685909249,4.6428303769,2.4470992000,0.8424576675,2.6771554697,1.0491748310,4.6440807297,2.4094983305,0.5782214473,5.97699463517e-05,378,0,True,0
8,2.6969904345,1.0927546214,4.6414613068,2.4021815396,0.7625806966,2.8764896120,1.0297207424,4.6448605628,2.5985314551,0.7201396399,7.15117045486e-05,378,0,False,1
9,2.4157216574,1.1183896222,4.6377535421,2.1285334157,0.6351033455,2.6411503111,1.0420086196,4.6421666100,2.3720896675,0.6065890556,8.41817085055e-05,378,0,True,0
10,2.4215390871,1.1511957778,4.6366474994,2.1312172722,0.6008262368,2.6431680679,1.0139455318,4.6417713302,2.3794568947,0.6092206550,9.76407569592e-05,378,0,False,1
11,2.7269084971,1.1343968867,4.6400324806,2.4198533303,0.8017581361,2.5610992931,1.0845341813,4.6404174532,2.2860330900,0.5815936979,0.000111740979668,378,0,True,0
12,2.5671342353,1.1147501582,4.6380365034,2.2741593116,0.7002492899,2.7308416162,1.0713558833,4.6418133372,2.4535124801,0.6305793080,0.000126327462015,378,0,False,1
13,2.5422648009,1.1143307856,4.6372000982,2.2473227025,0.7207592738,2.4299283527,1.0595261131,4.6389407340,2.1736636298,0.4435947441,0.000141239947004,378,0,True,0
14,2.3621910710,1.1587357761,4.6344522799,2.0750391212,0.5540482290,2.4828812281,1.0507963544,4.6396698452,2.2219214598,0.5080053358,0.000156314595954,378,0,False,1
15,2.3304465637,1.1393182454,4.6340246276,2.0471754926,0.5540739960,2.1771224476,1.1164475520,4.6317903564,1.9188254879,0.3500744488,0.00017138578854,378,0,True,0
16,2.0664228573,1.1523337995,4.6285619206,1.7930131564,0.4294300893,2.0111795948,1.0778294802,4.6298074859,1.7688120501,0.2680163520,0.000186287942409,378,0,True,0
17,2.2918352210,1.1007797005,4.6319734558,2.0168693526,0.5480999920,2.2661535036,1.0399230264,4.6347984087,2.0159936655,0.4217523276,0.000200857332385,378,0,False,1
18,2.1304053302,1.1259339884,4.6303793942,1.8626345983,0.4258393683,2.7299176806,1.0095893042,4.6429512478,2.4578704448,0.7012937651,0.000214933889261,378,0,False,2
19,2.2363365252,1.1032906014,4.6312109781,1.9659160741,0.4976231306,2.3740414574,1.0170475188,4.6368492399,2.1236888624,0.4694308704,0.000228362958428,378,0,False,3
20,2.1267436863,1.0835695166,4.6298806579,1.8648515101,0.4517821487,1.8341231607,1.0838194711,4.6240597861,1.5978972798,0.1946197320,0.000240996999018,378,0,True,0
21,2.1860617620,1.0966628758,4.6295440992,1.9220800097,0.4464922117,1.9558402652,1.0827677908,4.6261631466,1.7152164527,0.2407025344,0.000252697204885,378,0,False,1
22,1.9394138686,1.1224846935,4.6239323666,1.6813417938,0.3357516053,1.8087311484,1.0817292792,4.6228503227,1.5758840368,0.1650127099,0.000263335029626,378,0,True,0
23,2.0829965299,1.0924688868,4.6287632897,1.8232887403,0.4121401042,2.7086818059,1.0151349136,4.6412286758,2.4349149318,0.7073989992,0.000272793598879,378,0,False,1
24,2.1025367515,1.0788953992,4.6273864867,1.8446678913,0.4208977431,2.1112722227,1.0217383918,4.6305264882,1.8705098357,0.3641469392,0.000280968994381,378,0,False,2
25,2.0806114377,1.0801608171,4.6275560061,1.8213752432,0.4320402703,1.7650758323,1.0747266542,4.6222731136,1.5324912911,0.1763922799,0.000287771395688,378,0,True,0
26,1.9606894488,1.1066744599,4.6252796082,1.7027972785,0.3655730812,1.9116207327,1.0268355211,4.6265008836,1.6805345149,0.2571910709,0.000293126067003,378,0,False,1
27,2.0701091504,1.0945205581,4.6259251322,1.8114542595,0.3975080723,1.7238452821,1.0629520359,4.6191322872,1.4977138406,0.1354101747,0.000296974178272,378,0,True,0
28,1.8625025692,1.0897260072,4.6230638595,1.6121463290,0.3241108996,3.0186473687,1.0086151770,4.6454198792,2.7276873679,0.8923695400,0.000299273451532,378,0,False,1
29,2.0538095438,1.0588860534,4.6252959796,1.8033480922,0.3868424435,1.9594263962,1.0181534540,4.6258707728,1.7291433879,0.2665231151,0.000299999737735,378,0,False,2
30,1.9245223230,1.0531069589,4.6243322917,1.6765554834,0.3734537905,1.8329967942,1.0383337032,4.6248006639,1.6074260553,0.1790398723,0.000299836114086,378,0,False,3
31,1.9924951981,1.0786220321,4.6258336198,1.7417378255,0.3503297704,1.7063042436,1.0422653153,4.6198605401,1.4830206882,0.1483050512,0.000299370741653,378,0,True,0
32,1.9602713370,1.0233965418,4.6251222898,1.7205608162,0.3503114738,1.6374691498,1.0475830634,4.6183286985,1.4185118573,0.0944067035,0.000298604557633,378,0,True,0
33,1.8085380275,1.0668620338,4.6214820821,1.5684561370,0.2670943450,2.3454118842,1.0287642808,4.6339083354,2.0858545122,0.5380449231,0.000297539105019,378,0,False,1
34,1.9560117860,1.0639744202,4.6239627884,1.7084704467,0.3474645523,1.6559574877,1.0822773264,4.6179349491,1.4281459763,0.1135605948,0.000296176529491,378,0,False,2
35,1.9122413113,1.0178540784,4.6250366206,1.6723575548,0.3631293026,1.7156196799,1.0620736247,4.6214309829,1.4900715147,0.1313344222,0.000294519575094,378,0,False,3
36,1.8954274717,1.0256138214,4.6233400491,1.6579555134,0.3234919049,1.6241245951,1.0899478742,4.6168729873,1.3947615169,0.1137351469,0.000292571578714,378,0,True,0
37,1.9735613525,1.0259352153,4.6238468892,1.7347450496,0.3362924813,1.5179569755,0.9558578741,4.6158708890,1.3207196940,0.0606570159,0.000290336463357,378,0,True,0
38,1.8110654518,1.0013976999,4.6227997674,1.5828717581,0.2791413432,1.5829473484,1.0412987153,4.6169449715,1.3658852997,0.0880230908,0.000287818730248,378,0,False,1
39,1.9168703865,1.0054851742,4.6224942485,1.6816840140,0.3408933684,1.7848490431,1.0237973849,4.6220868701,1.5619547730,0.1813480849,0.000285023449765,378,0,False,2
40,1.9307213877,1.0054526228,4.6224778670,1.6963243018,0.3330653427,1.5380899259,1.0324970518,4.6151956150,1.3244168509,0.0717367173,0.000281956251232,378,0,False,3
41,1.7751966242,1.0057604959,4.6202526244,1.5470379925,0.2700652838,1.6476997364,1.0727599019,4.6183516548,1.4234450386,0.0970270108,0.000278623311578,378,0,False,4
42,1.8024401993,0.9817891253,4.6220954411,1.5768102130,0.2927215016,1.7903968641,1.0224888064,4.6235239483,1.5710042613,0.1489482722,0.000275031342901,378,0,False,5
43,1.8730664903,0.9864779257,4.6230458709,1.6440625563,0.3170835706,1.6881114948,1.0121548914,4.6183644567,1.4733068546,0.1237367165,0.000271187578947,378,0,False,6
44,1.8312397905,0.9681322029,4.6215416086,1.6087286756,0.2888471603,1.6093403339,1.0548551662,4.6166771616,1.3896866424,0.0868264444,0.000267099760545,378,0,False,7
45,1.8263526203,0.9757684406,4.6191812167,1.6030048302,0.2819405927,1.9982657262,1.0236150185,4.6266191891,1.7666471413,0.2689557079,0.000262776120018,378,0,False,8
46,1.8375622450,0.9591205423,4.6219806722,1.6162755269,0.2946254742,1.6396724803,1.0456855218,4.6190062023,1.4215916827,0.0894370063,0.000258225364602,378,0,False,9
47,1.7747333151,0.9450657440,4.6200268761,1.5576493349,0.2807078199,1.5673525072,0.9209309907,4.6163695199,1.3747619345,0.0840436503,0.000253456658913,378,0,False,10
