epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
0,0.3206977879,0.9882580256,4.6524638701,3.1587116226,1.2304617406,0.3699848476,1.0082618151,4.6533498673,3.8420112269,1.6833248136,1.27910408698e-05,184,194,True,0
1,0.3159941421,0.9692575143,4.6517823562,3.1396607785,1.2214263835,0.3101522131,0.9669743793,4.6537754331,3.3717323780,1.1675733348,1.51554725672e-05,175,203,True,0
2,0.3169550856,0.9766920666,4.6512275095,3.0963110671,1.2161666754,0.2713121132,0.9099211216,4.6518857366,3.0157167616,0.8932788316,1.90673178408e-05,189,189,True,0
3,0.3079638159,0.9692891518,4.6502155400,2.9836498430,1.1410598799,0.2802337695,0.9768528484,4.6526599657,3.1263192041,0.8486319257,2.44835985032e-05,196,182,False,1
4,0.3105684940,0.9529581757,4.6511937071,3.0328057544,1.1997685190,0.2747893566,0.9935323057,4.6505844298,2.9090163958,0.7608288992,3.13448076188e-05,171,207,False,2
5,0.2900120690,0.9120939122,4.6485214889,2.8784659249,1.0759327708,0.2833034948,0.9709390811,4.6525899478,3.0964435032,0.8911567173,3.95755632872e-05,203,175,False,3
6,0.2858715437,0.9026396965,4.6487701835,2.8914622693,1.0534360216,0.2572978648,0.9141350110,4.6511709940,2.9179571243,0.7447086008,4.908543684e-05,189,189,True,0
7,0.2780415824,0.8884586124,4.6473921216,2.7629689931,1.0034985618,0.2843881089,0.9604652144,4.6518312863,3.0873161180,0.9229506160,5.97699463517e-05,188,190,False,1
8,0.2618621985,0.8689335894,4.6450460550,2.6615576870,0.8807548146,0.2769834020,0.9543017768,4.6520176660,3.0387463774,0.8612304408,7.15117045486e-05,176,202,False,2
9,0.2534265656,0.8375698710,4.6424912801,2.4984109704,0.8591258684,0.2852304774,0.9300174026,4.6503616197,2.9752407483,0.9922699182,8.41817085055e-05,181,197,False,3
10,0.2324693708,0.7742540467,4.6400693106,2.3791126662,0.7761855160,0.2664906249,0.9195385348,4.6484266145,2.7670411110,0.8258291245,9.76407569592e-05,209,169,False,4
11,0.2306627209,0.7434318157,4.6413699735,2.5131106162,0.8197634939,0.2473657260,0.8229899690,4.6473883493,2.7784848872,0.8276772808,0.000111740979668,186,192,True,0
12,0.2182830606,0.7302272228,4.6390573184,2.3914546613,0.7223760462,0.2709813518,0.9270808856,4.6502866609,2.8390756176,0.8556517209,0.000126327462015,189,189,False,1
13,0.2094198502,0.7112482490,4.6379178819,2.2867744448,0.6717019431,0.2171348444,0.8006935744,4.6430316017,2.3873026734,0.5699612605,0.000141239947004,187,191,True,0
14,0.1790234651,0.6277258693,4.6345009854,2.1142509595,0.5347828852,0.2764834963,0.8940933489,4.6499523163,2.8937930743,0.9766482393,0.000156314595954,202,176,False,1
15,0.1682660396,0.5988209150,4.6327727762,2.0533219872,0.4850185640,0.2060940927,0.7345568731,4.6402893838,2.2898140249,0.5918271207,0.00017138578854,180,198,True,0
16,0.1449656524,0.5009614412,4.6297889916,1.8628032031,0.4477336432,0.1803111369,0.6879018846,4.6366765022,2.0796252818,0.4273075776,0.000186287942409,200,178,True,0
17,0.1632784721,0.5379189619,4.6311131432,2.0594381927,0.5569467548,0.2165159206,0.7329820372,4.6407539822,2.3906542347,0.6991951115,0.000200857332385,196,182,False,1
