epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
0,3.3400055605,0.9933717503,4.6523612593,3.1413311845,1.2150433827,4.0488351209,1.0083391757,4.6534980320,3.8471672898,1.6672019760,1.27910408698e-05,184,194,True,0
1,3.2887857238,0.9680939913,4.6522374532,3.0951669595,1.1586260140,3.4967287223,0.9514010021,4.6539710953,3.3064485346,1.1672442104,1.51554725672e-05,175,203,True,0
2,3.1859549656,0.9631078786,4.6498659200,2.9933333107,1.1453184489,3.1659902663,0.9345650730,4.6512676693,2.9790772665,0.9604877895,1.90673178408e-05,189,189,True,0
3,3.1334646240,0.9579748880,4.6489345838,2.9418696134,1.1233084161,3.3827351071,1.0266509783,4.6528424081,3.1774049259,0.9803932167,2.44835985032e-05,196,182,False,1
4,2.9889931590,0.9387412696,4.6476026136,2.8012448593,1.0193483971,3.0889628592,1.0191177141,4.6508435476,2.8851393132,0.8198333099,3.13448076188e-05,171,207,True,0
5,2.8400465723,0.9253142381,4.6460433713,2.6549836328,0.9382832675,3.2443078177,0.9860902514,4.6518810136,3.0470897947,0.8962405198,3.95755632872e-05,203,175,False,1
6,2.9314572710,0.8996985753,4.6463367144,2.7515175935,0.9702588553,3.0453049773,0.9283190739,4.6492195175,2.8596411841,0.8401566432,4.908543684e-05,189,189,True,0
7,2.7048446388,0.8731529419,4.6426708459,2.5302140675,0.8788289693,2.8236748037,0.9403495244,4.6458038739,2.6356049265,0.6824378596,5.97699463517e-05,188,190,True,0
8,2.6129691487,0.8535590582,4.6414037356,2.4422572971,0.7866783136,2.8747879301,0.9079338573,4.6466845240,2.6932011491,0.7127207969,7.15117045486e-05,176,202,False,1
9,2.4040497195,0.8334128768,4.6390426651,2.2373671752,0.6764801561,2.7305166540,0.9051003536,4.6443065189,2.5494966189,0.6994531386,8.41817085055e-05,181,197,True,0
10,2.3303386692,0.7839463293,4.6365250658,2.1735494408,0.6323351143,2.6508625621,0.9108848833,4.6435984657,2.4686855929,0.6379485452,9.76407569592e-05,209,169,True,0
11,2.4851254799,0.7828692857,4.6389512234,2.3285516519,0.7373952033,2.9972714333,0.8497225449,4.6467205956,2.8273269131,1.0188908033,0.000111740979668,186,192,False,1
12,2.4390997609,0.7659418441,4.6366810748,2.2859113929,0.6848332727,2.9614184720,0.8935618151,4.6469065712,2.7827060768,0.8996850467,0.000126327462015,189,189,False,2
13,2.3589358923,0.7726403689,4.6366162552,2.2044077386,0.6575165733,2.4244419189,0.8433791115,4.6396211034,2.2557661215,0.5686665507,0.000141239947004,187,191,True,0
