epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
0,8.0319474841,0.9922513703,4.6526567671,3.1808402463,1.2527810297,8.6887314479,1.0092391071,4.6534250486,3.8334585757,1.6468366487,1.27910408698e-05,184,194,True,0
1,7.9642254612,0.9596633835,4.6519150759,3.1203776693,1.2012810171,7.9952000527,0.9593487376,4.6527863911,3.1505438850,1.0273605020,1.51554725672e-05,175,203,True,0
2,7.7892519835,0.9502028795,4.6500207659,2.9491907983,1.0863029452,7.9203096299,0.9328830867,4.6518149376,3.0819179739,0.9624079334,1.90673178408e-05,189,189,True,0
3,7.7897904638,0.9515295804,4.6492855259,2.9501990843,1.1677503116,7.9782572701,0.9918323154,4.6527200517,3.1271707944,0.9128830247,2.44835985032e-05,196,182,False,1
4,7.5733359882,0.9362462772,4.6472403486,2.7388462806,0.9830927697,7.8168891180,0.9703044494,4.6512683868,2.9715598606,0.8948811723,3.13448076188e-05,171,207,True,0
5,7.5093609618,0.9217417912,4.6467006169,2.6783121212,0.9285917030,7.9922290075,0.9406457095,4.6523701486,3.1517297268,1.0451093381,3.95755632872e-05,203,175,False,1
6,7.5733230656,0.8986721064,4.6466802794,2.7469085121,0.9314492238,7.7672778266,0.9040483231,4.6500650724,2.9364030668,0.9291663221,4.908543684e-05,189,189,True,0
7,7.3704192752,0.8636953616,4.6443073712,2.5533727729,0.8767823145,7.9551250367,0.9317354634,4.6519389834,3.1168389979,0.9744564361,5.97699463517e-05,188,190,False,1
8,7.4392351297,0.8618381537,4.6441179709,2.6227494497,0.9154983380,7.6428461256,0.8699406800,4.6472359294,2.8216220402,0.8714923121,7.15117045486e-05,176,202,True,0
9,7.0328643637,0.8273198419,4.6387008384,2.2286997586,0.6706338165,7.6958734240,0.9452830281,4.6484273002,2.8583896183,0.9045430260,8.41817085055e-05,181,197,False,1
10,7.0416915934,0.7886861957,4.6383762158,2.2455781395,0.6714357174,7.2706464041,0.8940870240,4.6427529608,2.4490760599,0.6839989446,9.76407569592e-05,209,169,True,0
11,7.2268335100,0.8003855603,4.6401234506,2.4266326516,0.7940880659,7.2904186022,0.8518125205,4.6439869563,2.4760691211,0.6046038283,0.000111740979668,186,192,False,1
12,7.1448000802,0.7729653221,4.6382819055,2.3519251151,0.7366520349,7.1790503502,0.8429488511,4.6427778062,2.3676827249,0.6004540984,0.000126327462015,189,189,True,0
13,7.0430604314,0.7473485763,4.6373042959,2.2562865101,0.6316803591,7.5561250868,0.9044249608,4.6460084325,2.7292316777,0.8880122808,0.000141239947004,187,191,False,1
14,6.8492781397,0.7233488651,4.6340504071,2.0705577955,0.5489974910,6.9309652419,0.7813045876,4.6364129929,2.1382912409,0.5051436307,0.000156314595954,202,176,True,0
15,6.8528209439,0.7209577769,4.6340534725,2.0745759994,0.5426105649,7.5606164115,0.9342406330,4.6472548258,2.7265134380,0.8296193994,0.00017138578854,180,198,False,1
16,6.5827133340,0.6479360322,4.6296240716,1.8235021558,0.4517543269,6.6587957110,0.7070537085,4.6322021802,1.8851827973,0.3229042067,0.000186287942409,200,178,True,0
17,6.7544309021,0.6598704514,4.6314021847,1.9910545248,0.5011275322,6.7165940194,0.7744816746,4.6337668555,1.9279308047,0.3149623072,0.000200857332385,196,182,False,1
18,6.5640595325,0.6379641802,4.6288691475,1.8075975829,0.3883982528,6.9170984223,0.7937637164,4.6366714841,2.1216741744,0.4721073618,0.000214933889261,206,172,False,2
19,6.7832254733,0.6570636857,4.6302248662,2.0215878323,0.5029288918,7.3029913993,0.8584761154,4.6436999412,2.4875962291,0.7165904525,0.000228362958428,185,193,False,3
20,6.8064489794,0.7028007403,4.6323851606,2.0335036220,0.5770264252,6.4625611941,0.6653971093,4.6277730760,1.7017086983,0.2470743076,0.000240996999018,197,181,True,0
21,6.7363753344,0.6908883919,4.6318610131,1.9663365423,0.4819069172,6.4298971676,0.7042811547,4.6262537502,1.6627872410,0.1846497306,0.000252697204885,199,179,True,0
22,6.4304737767,0.6027693266,4.6248725508,1.6850472405,0.3419649538,6.3946176256,0.6296633845,4.6247244381,1.6439604759,0.2154757538,0.000263335029626,174,204,True,0
23,6.6201187593,0.6280974093,4.6281862663,1.8663131566,0.4204764754,6.3844002633,0.6619478884,4.6261555218,1.6258552290,0.1860376471,0.000272793598879,176,202,True,0
24,6.7762977762,0.6774111737,4.6317781519,2.0090374417,0.5181225481,6.7357811519,0.7688022534,4.6320051329,1.9500155801,0.4173314619,0.000280968994381,199,179,False,1
25,6.6102462269,0.6512485137,4.6274410808,1.8525553399,0.4642861996,6.4325728053,0.6542986648,4.6272845495,1.6744285935,0.2400988440,0.000287771395688,197,181,False,2
26,6.5232823715,0.6423909879,4.6265607738,1.7682433463,0.4040175130,6.6756132398,0.6894161349,4.6319974264,1.9057326430,0.3751289006,0.000293126067003,188,190,False,3
27,6.6330163088,0.6045356573,4.6277957871,1.8843134112,0.4409155565,6.3084116073,0.6085291749,4.6233488991,1.5633568843,0.1661283108,0.000296974178272,190,188,True,0
28,6.3952369967,0.5530813948,4.6236120633,1.6610086715,0.3370566304,6.2748717762,0.5309768467,4.6229731333,1.5457033521,0.1542376044,0.000299273451532,195,183,True,0
29,6.6790016921,0.6392292998,4.6274342411,1.9237214743,0.4794430435,6.2623148600,0.6882601931,4.6201208160,1.5045420238,0.1476712515,0.000299999737735,184,194,True,0
30,6.3869355469,0.6176652338,4.6240095512,1.6393928982,0.3240168930,6.2353605407,0.5909080074,4.6211302984,1.4960486707,0.1376735850,0.000299836114086,186,192,True,0
31,6.5637891734,0.6138481413,4.6268717322,1.8141477657,0.3755037360,6.2642620904,0.5931837298,4.6228046917,1.5228206453,0.1391031181,0.000299370741653,191,187,False,1
32,6.5558598029,0.5782797401,4.6260419825,1.8141618362,0.3703116538,6.6147580873,0.6736369360,4.6310486021,1.8489820537,0.3136463045,0.000298604557633,191,187,False,2
33,6.3219185431,0.5105275431,4.6221224366,1.5976905564,0.2793022877,6.1920237677,0.5237801484,4.6200251852,1.4672425281,0.1213335465,0.000297539105019,197,181,True,0
34,6.4721377413,0.5270366199,4.6245096222,1.7422204547,0.3598325748,6.0867566109,0.4668132180,4.6176354590,1.3757585185,0.0760342628,0.000296176529491,189,189,True,0
35,6.4337042803,0.5322556422,4.6235690621,1.7036840764,0.3598918156,6.3481932141,0.7356571606,4.6228327388,1.5782290527,0.1800295911,0.000294519575094,192,186,False,1
36,6.4303443571,0.5191269170,4.6232665607,1.7032523250,0.3435993389,6.0681219964,0.4541960994,4.6172295389,1.3600532577,0.0615205430,0.000292571578714,196,182,True,0
37,6.5617709437,0.5696097297,4.6258714842,1.8219774362,0.3804949468,6.2488355001,0.5308072204,4.6208734649,1.5218006021,0.1395915494,0.000290336463357,187,191,False,1
38,6.4584980768,0.5482995438,4.6260706811,1.7227673045,0.3338309300,6.8974296842,0.7348037419,4.6350076358,2.1154612814,0.4845704805,0.000287818730248,189,189,False,2
39,6.4733572284,0.5179486407,4.6246894150,1.7450780969,0.3788484136,6.3772314753,0.6392124880,4.6250247501,1.6243642114,0.1853952675,0.000285023449765,170,208,False,3
40,6.4731173263,0.5303519305,4.6246746305,1.7423723324,0.3602792264,6.3847960745,0.5347570204,4.6242472013,1.6535974355,0.2584627447,0.000281956251232,186,192,False,4
41,6.3955363723,0.5292853617,4.6227545536,1.6669247762,0.3238997987,6.0451984496,0.4458277095,4.6163160869,1.3397168069,0.0586507424,0.000278623311578,198,180,True,0
42,6.3375871724,0.4655851842,4.6220742735,1.6223958787,0.2952376457,6.0834403083,0.4499394564,4.6170744987,1.3763779652,0.0742329341,0.000275031342901,184,194,False,1
43,6.4294513723,0.5276181304,4.6241823302,1.6997454412,0.3513657738,6.4603105318,0.6184874603,4.6250203360,1.7115926777,0.2915729525,0.000271187578947,181,197,False,2
44,6.5256352980,0.5604654374,4.6267051772,1.7868370095,0.3875828641,6.3630270095,0.5723118351,4.6237258366,1.6248387428,0.2262224212,0.000267099760545,180,198,False,3
45,6.4192310111,0.5103154053,4.6229654141,1.6942026678,0.3354088762,6.2333363533,0.5201950630,4.6211575599,1.5081398203,0.1470453411,0.000262776120018,186,192,False,4
46,6.3827086000,0.5310585576,4.6224501120,1.6540467361,0.3231657286,6.1382300513,0.4734178055,4.6187281018,1.4248183977,0.0964674028,0.000258225364602,173,205,False,5
47,6.3285346914,0.5180470644,4.6216299647,1.6032951950,0.2851849608,6.1203833489,0.4522865131,4.6178613754,1.4120646375,0.0966144318,0.000253456658913,188,190,False,6
48,6.4576714329,0.5568130116,4.6244447093,1.7218641983,0.3250295842,6.1198290053,0.4813773365,4.6171059291,1.4064475888,0.0828825649,0.000248479606489,188,190,False,7
49,6.3950576984,0.5065670417,4.6225776748,1.6711666515,0.3152784758,6.0683288166,0.4073202508,4.6163174538,1.3705472628,0.0691884783,0.000243304230452,170,208,False,8
50,6.2782963319,0.4587752053,4.6199413002,1.5666000471,0.2711306305,6.2633772123,0.5447428016,4.6215366500,1.5328920546,0.1191185159,0.000237940953321,202,176,False,9
51,6.2691159475,0.5111310037,4.6199423422,1.5469472963,0.2547348647,5.9699088415,0.3949542784,4.6142516681,1.2766663211,0.0428319430,0.000232400576021,192,186,True,0
52,6.3509266162,0.4816750927,4.6219349362,1.6326568032,0.3012576456,6.1364658401,0.4038483376,4.6187177340,1.4369784639,0.1037041997,0.000226694256136,202,176,False,1
53,6.3843215534,0.5190768794,4.6223584508,1.6581477198,0.3235828993,5.9857601302,0.3743841063,4.6144710223,1.2964123329,0.0476708411,0.000220833485433,182,196,False,2
54,6.2296492032,0.4599509783,4.6185162635,1.5191428478,0.2349713184,6.2038070724,0.5205440811,4.6205615679,1.4791367519,0.1167160670,0.000214830066727,190,188,False,3
55,6.1578696367,0.4559793475,4.6169909699,1.4496826299,0.1994944018,6.0511995588,0.4027321191,4.6159729912,1.3546801249,0.0720950569,0.000208696090101,199,179,False,4
56,6.2320867266,0.4644521863,4.6189898789,1.5202063833,0.2331356026,5.9991719700,0.4084726476,4.6144994554,1.3029779241,0.0486791978,0.00020244390857,210,168,False,5
57,6.2914802738,0.4398864027,4.6189676744,1.5845353124,0.2898445652,6.3030139106,0.5216434132,4.6233003616,1.5753849041,0.1990220043,0.000196086113195,173,205,False,6
58,6.4193467287,0.4785923494,4.6237510474,1.6998770344,0.3784901785,6.6676471983,0.7218915088,4.6314781779,1.8917907817,0.3383506183,0.00018963550773,193,185,False,7
59,6.4647161797,0.4987439035,4.6237028516,1.7412644190,0.3623324936,6.0780071304,0.3741443100,4.6163525808,1.3868256546,0.0753189954,0.000183105082835,193,185,False,8
60,6.3697729994,0.4661684295,4.6208116491,1.6557276148,0.3291075687,6.1477473441,0.4467719941,4.6185175850,1.4398753745,0.0858051988,0.000176507989917,182,196,False,9
61,6.4176061368,0.5077336859,4.6242379638,1.6918211784,0.3423551941,6.0145580700,0.4040878211,4.6160044125,1.3177360637,0.0539936465,0.000169857514644,180,198,False,10
