epoch,training_total_loss,validation_total_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,is_best,epochs_without_improvement
0,4.8484346403,4.8459894193,1.27902315635e-05,313,74,61,71,77,True,0
1,4.8219389147,4.8185976450,1.5152253116e-05,293,81,70,63,89,True,0
2,4.7913497118,4.7973078629,1.90601404356e-05,276,73,84,88,75,True,0
3,4.7783999219,4.7679784762,2.44710027459e-05,310,77,62,75,72,True,0
4,4.7608205744,4.7509245253,3.13254534608e-05,289,80,68,82,77,True,0
5,4.7534015803,4.7496069066,3.95482619791e-05,317,73,66,74,66,True,0
6,4.7435909054,4.7248220691,4.90491793723e-05,304,77,64,78,73,True,0
7,4.7337632723,4.7268492897,5.97239289073e-05,284,86,75,57,94,False,1
8,4.7195339075,4.7036775428,7.14553505281e-05,275,86,75,83,77,True,0
9,4.7114627441,4.7061919237,8.41146867396e-05,297,73,59,95,72,False,1
10,4.7179058958,4.7596410652,9.75629957774e-05,302,57,75,86,76,False,2
11,4.7042486844,4.6781866705,0.000111652676554,294,74,77,77,74,True,0
12,4.6988696380,4.6673534381,0.000126229088647,274,80,87,83,72,True,0
13,4.6933162164,4.6690286351,0.000141132249543,323,62,68,70,73,False,1
14,4.6909832122,4.6630413501,0.000156198590517,324,66,79,53,74,True,0
15,4.6828708873,4.6639321996,0.000171262751874,277,83,90,84,62,False,1
16,4.6809608664,4.6803514059,0.000186159397838,289,74,82,75,76,False,2
17,4.6798978844,4.8257422881,0.00020072503119,296,74,77,69,80,False,3
18,4.6802090414,4.6529268104,0.000214799787717,302,63,77,79,75,True,0
19,4.6728163982,4.6959004526,0.000228229190798,293,78,86,76,63,False,1
20,4.6694042827,4.6581568718,0.000240865846846,290,87,64,83,72,False,2
21,4.6714292437,4.6502538285,0.000252571063021,307,73,76,77,63,True,0
22,4.6690248867,4.6472564982,0.000263216369444,294,64,67,87,84,True,0
23,4.6705048100,4.6542999218,0.000272684929211,289,60,73,89,85,False,1
24,4.6688402515,4.6536970448,0.000280872820727,292,69,84,70,81,False,2
25,4.6650808130,4.6512928628,0.000287690178294,299,87,70,76,64,False,3
26,4.6671779140,4.6464752594,0.000293062178424,283,83,79,80,71,True,0
27,4.6635981758,4.6447076736,0.00029692986106,286,85,81,69,75,True,0
28,4.6596229124,4.6659880056,0.00029925077669,302,77,70,67,80,False,1
29,4.6687397925,4.6544474750,0.000299999895385,294,70,78,75,79,False,2
30,4.6668826270,4.6438973105,0.000299840907969,307,68,67,77,77,True,0
31,4.6607584473,4.6695196845,0.000299380162113,329,76,68,63,60,False,1
32,4.6580170081,4.6440015582,0.0002986185857,303,84,72,73,64,False,2
33,4.6639964789,4.6467233695,0.000297557712442,302,71,67,87,69,False,3
34,4.6570004905,4.6402693600,0.000296199678797,309,73,58,83,73,True,0
35,4.6603298123,4.6421994110,0.000294547219663,276,82,74,87,77,False,1
36,4.6557925916,4.6487093777,0.000292603662875,294,74,80,73,75,False,2
37,4.6517852041,4.6433534374,0.000290372922495,298,92,69,70,67,False,3
38,4.6586847977,4.6464227020,0.00028785949094,303,69,72,84,68,False,4
39,4.6539436923,4.6443175155,0.000285068429924,285,86,65,90,70,False,5
40,4.6553755799,4.6403033269,0.000282005360274,311,62,66,71,86,False,6
41,4.6520644482,4.6599697386,0.000278676450605,284,58,74,92,88,False,7
42,4.6541299596,4.6415156885,0.000275088404897,296,77,68,76,79,False,8
43,4.6544561642,4.6600272253,0.000271248448997,308,61,78,69,80,False,9
44,4.6492412362,4.6426060231,0.000267164316065,296,74,68,77,81,False,10
