epoch,training_total_loss,training_official_component,training_concentration_loss,training_pearson_loss,validation_total_loss,validation_official_component,validation_concentration_loss,validation_pearson_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
0,4.8463836927,4.8463836927,0.0000000000,0.0000000000,4.8579585257,4.8579585257,0.0000000000,0.0000000000,1.27910408698e-05,187,191,True,0
1,4.8295243884,4.8295243884,0.0000000000,0.0000000000,4.8482447306,4.8482447306,0.0000000000,0.0000000000,1.51554725672e-05,192,186,True,0
2,4.8169101584,4.8169101584,0.0000000000,0.0000000000,4.8234101659,4.8234101659,0.0000000000,0.0000000000,1.90673178408e-05,192,186,True,0
3,4.7995935546,4.7995935546,0.0000000000,0.0000000000,4.7926623571,4.7926623571,0.0000000000,0.0000000000,2.44835985032e-05,199,179,True,0
4,4.7839437591,4.7839437591,0.0000000000,0.0000000000,4.7843718756,4.7843718756,0.0000000000,0.0000000000,3.13448076188e-05,167,211,True,0
5,4.7639592564,4.7639592564,0.0000000000,0.0000000000,4.7806876864,4.7806876864,0.0000000000,0.0000000000,3.95755632872e-05,192,186,True,0
6,4.7518123218,4.7518123218,0.0000000000,0.0000000000,4.7493647394,4.7493647394,0.0000000000,0.0000000000,4.908543684e-05,189,189,True,0
7,4.7283306803,4.7283306803,0.0000000000,0.0000000000,4.7496449834,4.7496449834,0.0000000000,0.0000000000,5.97699463517e-05,189,189,False,1
8,4.7131042279,4.7131042279,0.0000000000,0.0000000000,4.7217211950,4.7217211950,0.0000000000,0.0000000000,7.15117045486e-05,178,200,True,0
9,4.7043373673,4.7043373673,0.0000000000,0.0000000000,4.7919519016,4.7919519016,0.0000000000,0.0000000000,8.41817085055e-05,183,195,False,1
10,4.6976146547,4.6976146547,0.0000000000,0.0000000000,4.7115715209,4.7115715209,0.0000000000,0.0000000000,9.76407569592e-05,201,177,True,0
11,4.6937805938,4.6937805938,0.0000000000,0.0000000000,4.7070297423,4.7070297423,0.0000000000,0.0000000000,0.000111740979668,190,188,True,0
