epoch,training_total_loss,training_official_component,training_concentration_loss,training_pearson_loss,validation_total_loss,validation_official_component,validation_concentration_loss,validation_pearson_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
0,7.9071421421,4.8502676071,3.0568744026,0.9981180903,8.5214761007,4.8522558121,3.6692203317,0.9936998878,1.27910408698e-05,185,193,True,0
1,8.0008056176,4.8536962655,3.1471093231,1.0096462747,8.3445884614,4.8528218360,3.4917666571,0.9889200687,1.51554725672e-05,190,188,True,0
2,7.7909936526,4.8513400416,2.9396535240,1.0077187952,8.0558422452,4.8531139646,3.2027283464,0.9979890176,1.90673178408e-05,196,182,True,0
3,7.7654861521,4.8528871965,2.9125992634,1.0187144727,8.0998913720,4.8554600262,3.2444313889,1.0120380583,2.44835985032e-05,191,187,False,1
4,7.7107386690,4.8490593976,2.8616791276,1.0061877345,7.9907516843,4.8524833407,3.1382683323,1.0012849978,3.13448076188e-05,180,198,True,0
5,7.4342046692,4.8495829976,2.5846217423,1.0223357677,7.6979128611,4.8493831498,2.8485296499,0.9995144662,3.95755632872e-05,192,186,True,0
6,7.2875369037,4.8489571047,2.4385797851,1.0329404552,7.6293525151,4.8484043984,2.7809481053,1.0043756269,4.908543684e-05,173,205,True,0
7,7.2218697437,4.8498335112,2.3720361001,1.0462962837,7.5111914408,4.8439578510,2.6672335761,0.9861657858,5.97699463517e-05,188,190,True,0
8,7.1990938136,4.8494832377,2.3496102322,1.0482019142,7.2735181264,4.8467282431,2.4267898582,1.0157420964,7.15117045486e-05,193,185,True,0
9,6.9953470836,4.8520627425,2.1432843252,1.0763879497,7.2314706439,4.8487047877,2.3827658472,1.0299575908,8.41817085055e-05,181,197,True,0
10,7.1117317538,4.8542844682,2.2574475997,1.0792657941,7.2338911874,4.8514851116,2.3824060304,1.0426491090,9.76407569592e-05,188,190,False,1
11,6.9237308073,4.8538919858,2.0698388638,1.0926757559,7.0405626025,4.8492837406,2.1912788743,1.0512508199,0.000111740979668,209,169,True,0
