epoch,training_total_loss,validation_total_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,is_best,epochs_without_improvement
0,4.8487760403,4.8506361961,1.27910408698e-05,187,51,52,47,41,True,0
1,4.8404161690,4.8502353487,1.51554725672e-05,176,54,57,47,44,True,0
2,4.8254985280,4.8181129728,1.90673178408e-05,187,46,59,42,44,True,0
3,4.8038808252,4.8090437480,2.44835985032e-05,165,52,59,45,57,True,0
4,4.7798094623,4.7954362778,3.13448076188e-05,185,47,43,53,50,True,0
5,4.7537490249,4.7655389877,3.95755632872e-05,193,37,53,43,52,True,0
6,4.7399337077,4.7533943767,4.908543684e-05,193,35,58,47,45,True,0
7,4.7267631904,4.7382796106,5.97699463517e-05,183,51,55,43,46,True,0
8,4.7089349605,4.7451440993,7.15117045486e-05,190,41,40,46,61,False,1
9,4.7001356372,4.7422120140,8.41817085055e-05,201,44,46,54,33,False,2
10,4.6818047175,4.6907163166,9.76407569592e-05,197,41,40,49,51,True,0
11,4.6919152875,4.7168637639,0.000111740979668,192,36,43,48,59,False,1
12,4.6796331128,4.7015788260,0.000126327462015,178,50,35,59,56,False,2
13,4.6816218114,4.6853027980,0.000141239947004,200,44,29,52,53,True,0
14,4.6889881634,4.7292393139,0.000156314595954,180,46,43,54,55,False,1
15,4.6838448010,4.6926111403,0.00017138578854,186,45,51,45,51,False,2
16,4.6760342386,4.6741031783,0.000186287942409,180,64,48,43,43,True,0
17,4.6732074268,4.6763764518,0.000200857332385,185,57,55,44,37,False,1
18,4.6704440041,4.6822855541,0.000214933889261,183,39,56,51,49,False,2
19,4.6670938951,4.6820613225,0.000228362958428,174,53,53,44,54,False,3
20,4.6709516692,4.6834766751,0.000240996999018,191,41,54,54,38,False,4
21,4.6638355028,4.7195275761,0.000252697204885,187,51,47,48,45,False,5
22,4.6675398514,4.7348979450,0.000263335029626,182,59,64,35,38,False,6
23,4.6636510854,4.6871885890,0.000272793598879,174,54,50,45,55,False,7
24,4.6561747682,4.6755829402,0.000280968994381,198,39,52,46,43,False,8
25,4.6522684879,4.6871369271,0.000287771395688,177,51,47,52,51,False,9
26,4.6548029102,4.6682197207,0.000293126067003,200,44,46,42,46,True,0
