model,status,epochs_run,best_val_loss,best_val_hr_mae,params,reach_samples,eval_val_model_mae,eval_val_chrom_mae,eval_test_model_mae,eval_test_chrom_mae
simple_tcn_rf31_h4,ok,39,3.0028766642805564,3.8496209138335753,229,31,,,,
simple_tcn_rf61_h4,ok,31,3.0861551605213884,12.55285688595115,281,61,,,,
simple_tcn_rf121_h4,ok,300,4.82059158782816,36.35038881248253,333,121,,,,
simple_tcn_rf61_h8,ok,70,3.000025676139181,3.2666321082325216,1041,61,,,,
simple_tcn_rf121_h8,ok,300,2.998116512218143,92.8908041879856,1241,121,,,,
simple_tcn_rf31_h4_causal,ok,31,3.089108776353516,23.342537115306193,229,31,,,,
simple_tcn_rf61_h4_causal,ok,63,3.101763621377632,30.458751225315083,281,61,,,,
simple_tcn_rf121_h4_causal,ok,71,4.811057454531955,25.6280370589831,333,121,,,,
simple_tcn_rf31_h8_causal,ok,47,3.0314606409153315,3.824579385026326,841,31,,,,
simple_tcn_rf61_h8_causal,ok,84,4.82965326041067,36.35038881248253,1041,61,,,,
simple_tcn_rf121_h8_causal,ok,35,4.811776163875218,36.726085069811894,1241,121,,,,
