epoch,lr,train_loss,val_loss,val_hr_mae
1,0.0003,3.486960507687007,3.0861551605213884,25.305452630133303
2,0.0003,3.1530445995509067,3.0909114563252844,19.927454480972933
3,0.0003,3.1395824163205157,3.091437889910683,20.198766480457483
4,0.0003,3.138036173793757,3.091288360123782,18.7217975194586
5,0.0003,3.1385888963325,3.0934999579006863,15.092794755740822
6,0.0003,3.1417673050354575,3.0895592002189374,23.77389540220938
7,0.00015,3.1387009080548154,3.092426757892941,13.355940928722836
8,0.00015,3.138253480162576,3.09360265597743,13.078553255629965
9,0.00015,3.1359251009860887,3.091238262950536,12.965398466240723
10,0.00015,3.1364334176856783,3.0909620951354895,12.55285688595115
11,0.00015,3.1363370283073353,3.0920978828133436,13.342118467475727
12,0.00015,3.1380914057080993,3.09411112057794,14.22653809237279
13,7.5e-05,3.13752970330069,3.0932361145609435,13.157332536988763
14,7.5e-05,3.1348678809014436,3.0931372787758025,13.192722984642879
15,7.5e-05,3.136310206707393,3.091800617300246,14.938781051403357
16,7.5e-05,3.1380850635065096,3.0941882973646826,14.354960989482848
17,7.5e-05,3.1385404117976394,3.092528156398498,13.230522030631068
18,7.5e-05,3.1357059059856094,3.093425491980112,18.645959370138495
19,3.75e-05,3.1371573438377025,3.0964075538077527,13.650346998645528
20,3.75e-05,3.1376685990128563,3.094569195288861,19.407236513068103
21,3.75e-05,3.136606503959014,3.093090153902406,17.949779996720004
22,3.75e-05,3.138347475907513,3.096733559149945,16.0594783633696
23,3.75e-05,3.1381319934631065,3.0940680492672836,18.40505552023733
24,3.75e-05,3.1360185649016192,3.094015736834625,18.498194856295097
25,1.875e-05,3.135147451062069,3.094298431330344,17.05731194960032
26,1.875e-05,3.1360428859140272,3.094058426049902,17.938861868821693
27,1.875e-05,3.1365155520394583,3.0933115229834547,17.010480555397614
28,1.875e-05,3.1386910914483472,3.0937720938274094,17.899644066042843
29,1.875e-05,3.134850363865077,3.093501872846537,14.224284478181305
30,1.875e-05,3.1361197593724617,3.093819808602445,16.652006434858013
31,1e-05,3.1335671861595085,3.0946157825473546,17.93131769094494
