model,status,epochs_run,best_val_loss,best_val_hr_mae,params,reach_samples,eval_val_model_mae,eval_val_chrom_mae,eval_test_model_mae,eval_test_chrom_mae
tcn_rf31_h4,ok,89,3.0099932796617703,3.495499616710516,345,29,,,,
tcn_rf61_h4,ok,58,3.009708760046132,4.011206779283347,457,61,,,,
tcn_rf121_h4,ok,62,3.0633556277481553,5.002744837352463,569,125,,,,
tcn_rf31_h8,ok,61,3.0106093239985343,3.675816866652141,1169,29,,,,
tcn_rf61_h8,ok,78,3.012288704472607,3.6347400272909236,1585,61,,,,
tcn_rf121_h8,ok,64,3.0109502484894515,3.501506134630255,2001,125,,,,
tcn_rf31_h4_causal,ok,47,3.019556513431481,3.6572682091088193,345,29,,,,
tcn_rf61_h4_causal,ok,128,3.02793056940295,3.62448321220019,457,61,,,,
tcn_rf121_h4_causal,ok,36,3.089602477548272,40.20145996016884,569,125,,,,
tcn_rf31_h8_causal,ok,61,3.0227293248699443,3.720251802875265,1169,29,,,,
tcn_rf61_h8_causal,ok,72,3.0236622972139826,3.6855834533705707,1585,61,,,,
tcn_rf121_h8_causal,ok,51,3.0238082636821573,3.6503183727747053,2001,125,,,,
